jersey_number,Name,Pos,line_number,team,home,lineups_url,game_url
31.0,TAYLOR Danny,GK,0,BLR,True,https://www.iihf.com//en/events/2022/ogqmd/gamecenter/lineup/27513/1-blr-vs-pol,https://www.iihf.com//en/events/2022/ogqmd/gamecenter/playbyplay/27513/1-blr-vs-pol
90.0,KULBAKOV Ivan,GK,0,BLR,True,https://www.iihf.com//en/events/2022/ogqmd/gamecenter/lineup/27513/1-blr-vs-pol,https://www.iihf.com//en/events/2022/ogqmd/gamecenter/playbyplay/27513/1-blr-vs-pol
51.0,KOLYACHONOK Vladislav,D,1,BLR,True,https://www.iihf.com//en/events/2022/ogqmd/gamecenter/lineup/27513/1-blr-vs-pol,https://www.iihf.com//en/events/2022/ogqmd/gamecenter/playbyplay/27513/1-blr-vs-pol
10.0,BAILEN Nick,D,1,BLR,True,https://www.iihf.com//en/events/2022/ogqmd/gamecenter/lineup/27513/1-blr-vs-pol,https://www.iihf.com//en/events/2022/ogqmd/gamecenter/playbyplay/27513/1-blr-vs-pol
92.0,PRINCE Shane,F,1,BLR,True,https://www.iihf.com//en/events/2022/ogqmd/gamecenter/lineup/27513/1-blr-vs-pol,https://www.iihf.com//en/events/2022/ogqmd/gamecenter/playbyplay/27513/1-blr-vs-pol
12.0,PROTAS Alexei,F,1,BLR,True,https://www.iihf.com//en/events/2022/ogqmd/gamecenter/lineup/27513/1-blr-vs-pol,https://www.iihf.com//en/events/2022/ogqmd/gamecenter/playbyplay/27513/1-blr-vs-pol
17.0,SHARANGOVICH Yegor,F,1,BLR,True,https://www.iihf.com//en/events/2022/ogqmd/gamecenter/lineup/27513/1-blr-vs-pol,https://www.iihf.com//en/events/2022/ogqmd/gamecenter/playbyplay/27513/1-blr-vs-pol
14.0,LISOVETS Yevgeni,D,2,BLR,True,https://www.iihf.com//en/events/2022/ogqmd/gamecenter/lineup/27513/1-blr-vs-pol,https://www.iihf.com//en/events/2022/ogqmd/gamecenter/playbyplay/27513/1-blr-vs-pol
94.0,YERYOMENKO Vladislav,D,2,BLR,True,https://www.iihf.com//en/events/2022/ogqmd/gamecenter/lineup/27513/1-blr-vs-pol,https://www.iihf.com//en/events/2022/ogqmd/gamecenter/playbyplay/27513/1-blr-vs-pol
16.0,PLATT Geoff,F,2,BLR,True,https://www.iihf.com//en/events/2022/ogqmd/gamecenter/lineup/27513/1-blr-vs-pol,https://www.iihf.com//en/events/2022/ogqmd/gamecenter/playbyplay/27513/1-blr-vs-pol
91.0,PARE Francis,F,2,BLR,True,https://www.iihf.com//en/events/2022/ogqmd/gamecenter/lineup/27513/1-blr-vs-pol,https://www.iihf.com//en/events/2022/ogqmd/gamecenter/playbyplay/27513/1-blr-vs-pol
15.0,DEMKOV Artyom,F,2,BLR,True,https://www.iihf.com//en/events/2022/ogqmd/gamecenter/lineup/27513/1-blr-vs-pol,https://www.iihf.com//en/events/2022/ogqmd/gamecenter/playbyplay/27513/1-blr-vs-pol
