jersey_number,name,team,home,pos,sog,ga,svs,svs%,statistics_url,game_url
35,BUYSSE Henri Corentin,FRA,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/ogqme/gamecenter/statistics/27505/1-fra-vs-hun,https://www.iihf.com//en/events/2022/ogqme/gamecenter/playbyplay/27505/1-fra-vs-hun
49,HARDY Florian,FRA,True,GK,33,3,30,90.91,https://www.iihf.com//en/events/2022/ogqme/gamecenter/statistics/27505/1-fra-vs-hun,https://www.iihf.com//en/events/2022/ogqme/gamecenter/playbyplay/27505/1-fra-vs-hun
29,HETENYI Zoltan,HUN,False,GK,31,5,26,83.87,https://www.iihf.com//en/events/2022/ogqme/gamecenter/statistics/27505/1-fra-vs-hun,https://www.iihf.com//en/events/2022/ogqme/gamecenter/playbyplay/27505/1-fra-vs-hun
31,RAJNA Miklos,HUN,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/ogqme/gamecenter/statistics/27505/1-fra-vs-hun,https://www.iihf.com//en/events/2022/ogqme/gamecenter/playbyplay/27505/1-fra-vs-hun
1,BERNARD Andreas,ITA,True,GK,36,6,30,83.33,https://www.iihf.com//en/events/2022/ogqme/gamecenter/statistics/27506/2-ita-vs-lat,https://www.iihf.com//en/events/2022/ogqme/gamecenter/playbyplay/27506/2-ita-vs-lat
32,FAZIO Justin,ITA,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/ogqme/gamecenter/statistics/27506/2-ita-vs-lat,https://www.iihf.com//en/events/2022/ogqme/gamecenter/playbyplay/27506/2-ita-vs-lat
35,MITENS Mareks,LAT,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/ogqme/gamecenter/statistics/27506/2-ita-vs-lat,https://www.iihf.com//en/events/2022/ogqme/gamecenter/playbyplay/27506/2-ita-vs-lat
74,PUNNENOVS Ivars,LAT,False,GK,16,0,16,100.0,https://www.iihf.com//en/events/2022/ogqme/gamecenter/statistics/27506/2-ita-vs-lat,https://www.iihf.com//en/events/2022/ogqme/gamecenter/playbyplay/27506/2-ita-vs-lat
35,BUYSSE Henri Corentin,FRA,True,GK,23,0,23,100.0,https://www.iihf.com//en/events/2022/ogqme/gamecenter/statistics/27507/3-fra-vs-ita,https://www.iihf.com//en/events/2022/ogqme/gamecenter/playbyplay/27507/3-fra-vs-ita
49,HARDY Florian,FRA,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/ogqme/gamecenter/statistics/27507/3-fra-vs-ita,https://www.iihf.com//en/events/2022/ogqme/gamecenter/playbyplay/27507/3-fra-vs-ita
