jersey_number,Name,Pos,line_number,team,home,lineups_url,game_url
49.0,HARDY Florian,GK,0,FRA,True,https://www.iihf.com//en/events/2022/ogqme/gamecenter/lineup/27505/1-fra-vs-hun,https://www.iihf.com//en/events/2022/ogqme/gamecenter/playbyplay/27505/1-fra-vs-hun
35.0,BUYSSE Henri Corentin,GK,0,FRA,True,https://www.iihf.com//en/events/2022/ogqme/gamecenter/lineup/27505/1-fra-vs-hun,https://www.iihf.com//en/events/2022/ogqme/gamecenter/playbyplay/27505/1-fra-vs-hun
62.0,CHAKIACHVILI Florian,D,1,FRA,True,https://www.iihf.com//en/events/2022/ogqme/gamecenter/lineup/27505/1-fra-vs-hun,https://www.iihf.com//en/events/2022/ogqme/gamecenter/playbyplay/27505/1-fra-vs-hun
91.0,BAULT Romain,D,1,FRA,True,https://www.iihf.com//en/events/2022/ogqme/gamecenter/lineup/27505/1-fra-vs-hun,https://www.iihf.com//en/events/2022/ogqme/gamecenter/playbyplay/27505/1-fra-vs-hun
21.0,ROUSSEL Antoine,F,1,FRA,True,https://www.iihf.com//en/events/2022/ogqme/gamecenter/lineup/27505/1-fra-vs-hun,https://www.iihf.com//en/events/2022/ogqme/gamecenter/playbyplay/27505/1-fra-vs-hun
14.0,da COSTA Stephane,F,1,FRA,True,https://www.iihf.com//en/events/2022/ogqme/gamecenter/lineup/27505/1-fra-vs-hun,https://www.iihf.com//en/events/2022/ogqme/gamecenter/playbyplay/27505/1-fra-vs-hun
9.0,FLEURY Damien,F,1,FRA,True,https://www.iihf.com//en/events/2022/ogqme/gamecenter/lineup/27505/1-fra-vs-hun,https://www.iihf.com//en/events/2022/ogqme/gamecenter/playbyplay/27505/1-fra-vs-hun
8.0,GALLET Hugo,D,2,FRA,True,https://www.iihf.com//en/events/2022/ogqme/gamecenter/lineup/27505/1-fra-vs-hun,https://www.iihf.com//en/events/2022/ogqme/gamecenter/playbyplay/27505/1-fra-vs-hun
4.0,MANAVIAN Antonin,D,2,FRA,True,https://www.iihf.com//en/events/2022/ogqme/gamecenter/lineup/27505/1-fra-vs-hun,https://www.iihf.com//en/events/2022/ogqme/gamecenter/playbyplay/27505/1-fra-vs-hun
42.0,TEXIER Alexandre,F,2,FRA,True,https://www.iihf.com//en/events/2022/ogqme/gamecenter/lineup/27505/1-fra-vs-hun,https://www.iihf.com//en/events/2022/ogqme/gamecenter/playbyplay/27505/1-fra-vs-hun
41.0,BELLEMARE Pierre-Edouard,F,2,FRA,True,https://www.iihf.com//en/events/2022/ogqme/gamecenter/lineup/27505/1-fra-vs-hun,https://www.iihf.com//en/events/2022/ogqme/gamecenter/playbyplay/27505/1-fra-vs-hun
82.0,BERTRAND Charles,F,2,FRA,True,https://www.iihf.com//en/events/2022/ogqme/gamecenter/lineup/27505/1-fra-vs-hun,https://www.iihf.com//en/events/2022/ogqme/gamecenter/playbyplay/27505/1-fra-vs-hun
7.0,CRINON Pierre,D,3,FRA,True,https://www.iihf.com//en/events/2022/ogqme/gamecenter/lineup/27505/1-fra-vs-hun,https://www.iihf.com//en/events/2022/ogqme/gamecenter/playbyplay/27505/1-fra-vs-hun
74.0,THIRY Thomas,D,3,FRA,True,https://www.iihf.com//en/events/2022/ogqme/gamecenter/lineup/27505/1-fra-vs-hun,https://www.iihf.com//en/events/2022/ogqme/gamecenter/playbyplay/27505/1-fra-vs-hun
81.0,RECH Anthony,F,3,FRA,True,https://www.iihf.com//en/events/2022/ogqme/gamecenter/lineup/27505/1-fra-vs-hun,https://www.iihf.com//en/events/2022/ogqme/gamecenter/playbyplay/27505/1-fra-vs-hun
12.0,CLAIREAUX Valentin,F,3,FRA,True,https://www.iihf.com//en/events/2022/ogqme/gamecenter/lineup/27505/1-fra-vs-hun,https://www.iihf.com//en/events/2022/ogqme/gamecenter/playbyplay/27505/1-fra-vs-hun
94.0,BOZON Tim,F,3,FRA,True,https://www.iihf.com//en/events/2022/ogqme/gamecenter/lineup/27505/1-fra-vs-hun,https://www.iihf.com//en/events/2022/ogqme/gamecenter/playbyplay/27505/1-fra-vs-hun
29.0,DOUAY Floran,F,4,FRA,True,https://www.iihf.com//en/events/2022/ogqme/gamecenter/lineup/27505/1-fra-vs-hun,https://www.iihf.com//en/events/2022/ogqme/gamecenter/playbyplay/27505/1-fra-vs-hun
84.0,HECQUEFEUILLE Kevin,D,4,FRA,True,https://www.iihf.com//en/events/2022/ogqme/gamecenter/lineup/27505/1-fra-vs-hun,https://www.iihf.com//en/events/2022/ogqme/gamecenter/playbyplay/27505/1-fra-vs-hun
72.0,PERRET Jordann,F,4,FRA,True,https://www.iihf.com//en/events/2022/ogqme/gamecenter/lineup/27505/1-fra-vs-hun,https://www.iihf.com//en/events/2022/ogqme/gamecenter/playbyplay/27505/1-fra-vs-hun
25.0,RITZ Nicolas,F,4,FRA,True,https://www.iihf.com//en/events/2022/ogqme/gamecenter/lineup/27505/1-fra-vs-hun,https://www.iihf.com//en/events/2022/ogqme/gamecenter/playbyplay/27505/1-fra-vs-hun
77.0,TREILLE Sacha,F,4,FRA,True,https://www.iihf.com//en/events/2022/ogqme/gamecenter/lineup/27505/1-fra-vs-hun,https://www.iihf.com//en/events/2022/ogqme/gamecenter/playbyplay/27505/1-fra-vs-hun
,BOZON Philippe,He. Co.,5,FRA,True,https://www.iihf.com//en/events/2022/ogqme/gamecenter/lineup/27505/1-fra-vs-hun,https://www.iihf.com//en/events/2022/ogqme/gamecenter/playbyplay/27505/1-fra-vs-hun
29.0,HETENYI Zoltan,GK,0,HUN,False,https://www.iihf.com//en/events/2022/ogqme/gamecenter/lineup/27505/1-fra-vs-hun,https://www.iihf.com//en/events/2022/ogqme/gamecenter/playbyplay/27505/1-fra-vs-hun
31.0,RAJNA Miklos,GK,0,HUN,False,https://www.iihf.com//en/events/2022/ogqme/gamecenter/lineup/27505/1-fra-vs-hun,https://www.iihf.com//en/events/2022/ogqme/gamecenter/playbyplay/27505/1-fra-vs-hun
