jersey_number,Name,Pos,line_number,team,home,lineups_url,game_url
32.0,DAHM Sebastian,GK,0,DEN,True,https://www.iihf.com//en/events/2022/ogqmf/gamecenter/lineup/27521/1-den-vs-slo,https://www.iihf.com//en/events/2022/ogqmf/gamecenter/playbyplay/27521/1-den-vs-slo
30.0,SOGAARD Mads,GK,0,DEN,True,https://www.iihf.com//en/events/2022/ogqmf/gamecenter/lineup/27521/1-den-vs-slo,https://www.iihf.com//en/events/2022/ogqmf/gamecenter/playbyplay/27521/1-den-vs-slo
41.0,JENSEN AABO Jesper,D,1,DEN,True,https://www.iihf.com//en/events/2022/ogqmf/gamecenter/lineup/27521/1-den-vs-slo,https://www.iihf.com//en/events/2022/ogqmf/gamecenter/playbyplay/27521/1-den-vs-slo
36.0,LARSEN Philip,D,1,DEN,True,https://www.iihf.com//en/events/2022/ogqmf/gamecenter/lineup/27521/1-den-vs-slo,https://www.iihf.com//en/events/2022/ogqmf/gamecenter/playbyplay/27521/1-den-vs-slo
24.0,EHLERS Nikolaj,F,1,DEN,True,https://www.iihf.com//en/events/2022/ogqmf/gamecenter/lineup/27521/1-den-vs-slo,https://www.iihf.com//en/events/2022/ogqmf/gamecenter/playbyplay/27521/1-den-vs-slo
51.0,NIELSEN Frans,F,1,DEN,True,https://www.iihf.com//en/events/2022/ogqmf/gamecenter/lineup/27521/1-den-vs-slo,https://www.iihf.com//en/events/2022/ogqmf/gamecenter/playbyplay/27521/1-den-vs-slo
27.0,BJORKSTRAND Oliver,F,1,DEN,True,https://www.iihf.com//en/events/2022/ogqmf/gamecenter/lineup/27521/1-den-vs-slo,https://www.iihf.com//en/events/2022/ogqmf/gamecenter/playbyplay/27521/1-den-vs-slo
15.0,LASSEN Matias,D,2,DEN,True,https://www.iihf.com//en/events/2022/ogqmf/gamecenter/lineup/27521/1-den-vs-slo,https://www.iihf.com//en/events/2022/ogqmf/gamecenter/playbyplay/27521/1-den-vs-slo
22.0,LAURIDSEN Markus,D,2,DEN,True,https://www.iihf.com//en/events/2022/ogqmf/gamecenter/lineup/27521/1-den-vs-slo,https://www.iihf.com//en/events/2022/ogqmf/gamecenter/playbyplay/27521/1-den-vs-slo
17.0,JENSEN Nicklas,F,2,DEN,True,https://www.iihf.com//en/events/2022/ogqmf/gamecenter/lineup/27521/1-den-vs-slo,https://www.iihf.com//en/events/2022/ogqmf/gamecenter/playbyplay/27521/1-den-vs-slo
89.0,BOEDKER Mikkel,F,2,DEN,True,https://www.iihf.com//en/events/2022/ogqmf/gamecenter/lineup/27521/1-den-vs-slo,https://www.iihf.com//en/events/2022/ogqmf/gamecenter/playbyplay/27521/1-den-vs-slo
93.0,REGIN Peter,F,2,DEN,True,https://www.iihf.com//en/events/2022/ogqmf/gamecenter/lineup/27521/1-den-vs-slo,https://www.iihf.com//en/events/2022/ogqmf/gamecenter/playbyplay/27521/1-den-vs-slo
25.0,LAURIDSEN Oliver,D,3,DEN,True,https://www.iihf.com//en/events/2022/ogqmf/gamecenter/lineup/27521/1-den-vs-slo,https://www.iihf.com//en/events/2022/ogqmf/gamecenter/playbyplay/27521/1-den-vs-slo
48.0,JENSEN Nicholas,D,3,DEN,True,https://www.iihf.com//en/events/2022/ogqmf/gamecenter/lineup/27521/1-den-vs-slo,https://www.iihf.com//en/events/2022/ogqmf/gamecenter/playbyplay/27521/1-den-vs-slo
9.0,STORM Frederik,F,3,DEN,True,https://www.iihf.com//en/events/2022/ogqmf/gamecenter/lineup/27521/1-den-vs-slo,https://www.iihf.com//en/events/2022/ogqmf/gamecenter/playbyplay/27521/1-den-vs-slo
11.0,TRUE Alexander,F,3,DEN,True,https://www.iihf.com//en/events/2022/ogqmf/gamecenter/lineup/27521/1-den-vs-slo,https://www.iihf.com//en/events/2022/ogqmf/gamecenter/playbyplay/27521/1-den-vs-slo
86.0,BLICHFELD Joachim,F,3,DEN,True,https://www.iihf.com//en/events/2022/ogqmf/gamecenter/lineup/27521/1-den-vs-slo,https://www.iihf.com//en/events/2022/ogqmf/gamecenter/playbyplay/27521/1-den-vs-slo
28.0,KRISTENSEN Emil,D,4,DEN,True,https://www.iihf.com//en/events/2022/ogqmf/gamecenter/lineup/27521/1-den-vs-slo,https://www.iihf.com//en/events/2022/ogqmf/gamecenter/playbyplay/27521/1-den-vs-slo
40.0,JENSEN Jesper,F,4,DEN,True,https://www.iihf.com//en/events/2022/ogqmf/gamecenter/lineup/27521/1-den-vs-slo,https://www.iihf.com//en/events/2022/ogqmf/gamecenter/playbyplay/27521/1-den-vs-slo
38.0,POULSEN Morten,F,4,DEN,True,https://www.iihf.com//en/events/2022/ogqmf/gamecenter/lineup/27521/1-den-vs-slo,https://www.iihf.com//en/events/2022/ogqmf/gamecenter/playbyplay/27521/1-den-vs-slo
33.0,JAKOBSEN Julian,F,4,DEN,True,https://www.iihf.com//en/events/2022/ogqmf/gamecenter/lineup/27521/1-den-vs-slo,https://www.iihf.com//en/events/2022/ogqmf/gamecenter/playbyplay/27521/1-den-vs-slo
63.0,RUSSELL Patrick,F,4,DEN,True,https://www.iihf.com//en/events/2022/ogqmf/gamecenter/lineup/27521/1-den-vs-slo,https://www.iihf.com//en/events/2022/ogqmf/gamecenter/playbyplay/27521/1-den-vs-slo
,EHLERS Heinz,He. Co.,5,DEN,True,https://www.iihf.com//en/events/2022/ogqmf/gamecenter/lineup/27521/1-den-vs-slo,https://www.iihf.com//en/events/2022/ogqmf/gamecenter/playbyplay/27521/1-den-vs-slo
32.0,KROSELJ Gasper,GK,0,SLO,False,https://www.iihf.com//en/events/2022/ogqmf/gamecenter/lineup/27521/1-den-vs-slo,https://www.iihf.com//en/events/2022/ogqmf/gamecenter/playbyplay/27521/1-den-vs-slo
35.0,GRACNAR Luka,GK,0,SLO,False,https://www.iihf.com//en/events/2022/ogqmf/gamecenter/lineup/27521/1-den-vs-slo,https://www.iihf.com//en/events/2022/ogqmf/gamecenter/playbyplay/27521/1-den-vs-slo
14.0,PODLIPNIK Matic,D,1,SLO,False,https://www.iihf.com//en/events/2022/ogqmf/gamecenter/lineup/27521/1-den-vs-slo,https://www.iihf.com//en/events/2022/ogqmf/gamecenter/playbyplay/27521/1-den-vs-slo
7.0,PRETNAR Klemen,D,1,SLO,False,https://www.iihf.com//en/events/2022/ogqmf/gamecenter/lineup/27521/1-den-vs-slo,https://www.iihf.com//en/events/2022/ogqmf/gamecenter/playbyplay/27521/1-den-vs-slo
