jersey_number,name,team,home,pos,sog,ga,svs,svs%,statistics_url,game_url
1,HEDSTROM Dennis,ISL,True,GK,26,4,22,84.62,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/statistics/15067/1-isl-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/playbyplay/15067/1-isl-vs-kgz
20,RAGNARSSON Johann,ISL,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/statistics/15067/1-isl-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/playbyplay/15067/1-isl-vs-kgz
1,PETROV Alexander,KGZ,False,GK,42,7,35,83.33,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/statistics/15067/1-isl-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/playbyplay/15067/1-isl-vs-kgz
20,ALYMBEKOV Kadyr,KGZ,False,GK,4,2,2,50.0,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/statistics/15067/1-isl-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/playbyplay/15067/1-isl-vs-kgz
1,SHARIR Omer,ISR,True,GK,10,6,4,40.0,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/statistics/15068/2-isr-vs-rou,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/playbyplay/15068/2-isr-vs-rou
20,REISINGER Yehonatan,ISR,True,GK,82,9,73,89.02,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/statistics/15068/2-isr-vs-rou,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/playbyplay/15068/2-isr-vs-rou
1,POLC Patrik,ROU,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/statistics/15068/2-isr-vs-rou,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/playbyplay/15068/2-isr-vs-rou
30,TOKE Zoltan,ROU,False,GK,6,0,6,100.0,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/statistics/15068/2-isr-vs-rou,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/playbyplay/15068/2-isr-vs-rou
1,HEDSTROM Dennis,ISL,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/statistics/15069/3-isl-vs-isr,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/playbyplay/15069/3-isl-vs-isr
20,RAGNARSSON Johann,ISL,True,GK,9,0,9,100.0,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/statistics/15069/3-isl-vs-isr,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/playbyplay/15069/3-isl-vs-isr
