period,team,shooter_number,opponent,goalie_number,x,y,shot_chart_url,team1,team2,game_url
1,ISL,4,KGZ,1,2.9581780821015764,0.6375215785491295,https://www.iihf.com//pdf/894/ihm894901_77a_1_0,ISL,KGZ,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/playbyplay/15067/1-isl-vs-kgz
1,ISL,3,KGZ,1,5.307463288159571,1.5596836180685099,https://www.iihf.com//pdf/894/ihm894901_77a_1_0,ISL,KGZ,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/playbyplay/15067/1-isl-vs-kgz
2,KGZ,16,ISL,1,2.883598053218002,0.4082399288509886,https://www.iihf.com//pdf/894/ihm894901_77a_1_0,ISL,KGZ,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/playbyplay/15067/1-isl-vs-kgz
2,KGZ,9,ISL,1,5.34475356253273,2.9032237522969853,https://www.iihf.com//pdf/894/ihm894901_77a_1_0,ISL,KGZ,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/playbyplay/15067/1-isl-vs-kgz
2,ISL,23,KGZ,1,5.45662679664626,3.709207846511633,https://www.iihf.com//pdf/894/ihm894901_77a_1_0,ISL,KGZ,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/playbyplay/15067/1-isl-vs-kgz
2,ISL,4,KGZ,1,0.5716038394996008,3.5931176602163797,https://www.iihf.com//pdf/894/ihm894901_77a_1_0,ISL,KGZ,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/playbyplay/15067/1-isl-vs-kgz
3,ISL,15,KGZ,1,2.1750831000593682,3.6325268066315846,https://www.iihf.com//pdf/894/ihm894901_77a_1_0,ISL,KGZ,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/playbyplay/15067/1-isl-vs-kgz
3,ISL,4,KGZ,1,5.083722161783365,0.7910586412122731,https://www.iihf.com//pdf/894/ihm894901_77a_1_0,ISL,KGZ,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/playbyplay/15067/1-isl-vs-kgz
3,ISL,4,KGZ,20,3.070048905221051,0.6375210434332179,https://www.iihf.com//pdf/894/ihm894901_77a_1_0,ISL,KGZ,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/playbyplay/15067/1-isl-vs-kgz
3,ISL,2,KGZ,20,0.34786095543147394,0.523568110088326,https://www.iihf.com//pdf/894/ihm894901_77a_1_0,ISL,KGZ,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/playbyplay/15067/1-isl-vs-kgz
3,ISL,15,KGZ,20,4.598948594932309,1.7133084397411324,https://www.iihf.com//pdf/894/ihm894901_77a_1_0,ISL,KGZ,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/playbyplay/15067/1-isl-vs-kgz
3,KGZ,15,ISL,1,0.9817964799041787,0.21631793162716972,https://www.iihf.com//pdf/894/ihm894901_77a_1_0,ISL,KGZ,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/playbyplay/15067/1-isl-vs-kgz
3,KGZ,15,ISL,1,5.232886112589832,2.711302290189078,https://www.iihf.com//pdf/894/ihm894901_77a_1_0,ISL,KGZ,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/playbyplay/15067/1-isl-vs-kgz
1,ROU,11,ISR,20,5.158304498269896,3.63270125441872,https://www.iihf.com//pdf/894/ihm894902_77a_3_0,ISR,ROU,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/playbyplay/15068/2-isr-vs-rou
2,ROU,10,ISR,20,0.4597317785509485,2.9799925511865126,https://www.iihf.com//pdf/894/ihm894902_77a_3_0,ISR,ROU,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/playbyplay/15068/2-isr-vs-rou
2,ROU,26,ISR,20,0.4970220529241066,0.17793406729831762,https://www.iihf.com//pdf/894/ihm894902_77a_3_0,ISR,ROU,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/playbyplay/15068/2-isr-vs-rou
2,ROU,23,ISR,20,5.382043836905888,3.709207846511633,https://www.iihf.com//pdf/894/ihm894902_77a_3_0,ISR,ROU,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/playbyplay/15068/2-isr-vs-rou
2,ROU,5,ISR,20,5.382043836905888,1.2876692170291006,https://www.iihf.com//pdf/894/ihm894902_77a_3_0,ISR,ROU,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/playbyplay/15068/2-isr-vs-rou
