jersey_number,Name,Pos,line_number,team,home,lineups_url,game_url
1.0,HEDSTROM Dennis,GK,0,ISL,True,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/lineup/15067/1-isl-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/playbyplay/15067/1-isl-vs-kgz
20.0,RAGNARSSON Johann,GK,0,ISL,True,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/lineup/15067/1-isl-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/playbyplay/15067/1-isl-vs-kgz
17.0,JOHANNESSON Bjarki,F,1,ISL,True,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/lineup/15067/1-isl-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/playbyplay/15067/1-isl-vs-kgz
9.0,PALSSON Robert,D,1,ISL,True,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/lineup/15067/1-isl-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/playbyplay/15067/1-isl-vs-kgz
7.0,SIGURDSSON Robert,F,1,ISL,True,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/lineup/15067/1-isl-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/playbyplay/15067/1-isl-vs-kgz
18.0,RACANSKY Miloslav,F,1,ISL,True,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/lineup/15067/1-isl-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/playbyplay/15067/1-isl-vs-kgz
21.0,ORONGAN Axel,F,1,ISL,True,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/lineup/15067/1-isl-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/playbyplay/15067/1-isl-vs-kgz
24.0,SVEINSSON Atli,D,2,ISL,True,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/lineup/15067/1-isl-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/playbyplay/15067/1-isl-vs-kgz
22.0,THORSTEINSSON Sigurdur,D,2,ISL,True,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/lineup/15067/1-isl-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/playbyplay/15067/1-isl-vs-kgz
19.0,MIKAELSSON Andri,F,2,ISL,True,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/lineup/15067/1-isl-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/playbyplay/15067/1-isl-vs-kgz
