jersey_number,name,team,home,pos,g,a,p,pim,ts,+/-,tot,shf,avg,ts_1,tot_1,ts_2,tot_2,ts_3,tot_3,statistics_url,game_url,ts_4,tot_4
7,SIGURDSSON Robert,ISL,True,F,0,2,2,0,4,-2.0,0:00,0.0,0:00,0,0:00,3,0:00,1,0:00,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/statistics/15067/1-isl-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/playbyplay/15067/1-isl-vs-kgz,,
9,PALSSON Robert,ISL,True,D,0,1,1,0,3,-1.0,0:00,0.0,0:00,0,0:00,2,0:00,1,0:00,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/statistics/15067/1-isl-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/playbyplay/15067/1-isl-vs-kgz,,
17,JOHANNESSON Bjarki,ISL,True,F,0,1,1,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/statistics/15067/1-isl-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/playbyplay/15067/1-isl-vs-kgz,,
18,RACANSKY Miloslav,ISL,True,F,0,0,0,0,3,-2.0,0:00,0.0,0:00,1,0:00,1,0:00,1,0:00,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/statistics/15067/1-isl-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/playbyplay/15067/1-isl-vs-kgz,,
21,ORONGAN Axel,ISL,True,F,0,2,2,0,6,-1.0,0:00,0.0,0:00,0,0:00,4,0:00,2,0:00,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/statistics/15067/1-isl-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/playbyplay/15067/1-isl-vs-kgz,,
15,SIGRUNARSON Hafthor,ISL,True,F,2,0,2,12,4,2.0,0:00,0.0,0:00,1,0:00,1,0:00,2,0:00,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/statistics/15067/1-isl-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/playbyplay/15067/1-isl-vs-kgz,,
19,MIKAELSSON Andri,ISL,True,F,0,1,1,0,7,2.0,0:00,0.0,0:00,3,0:00,2,0:00,2,0:00,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/statistics/15067/1-isl-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/playbyplay/15067/1-isl-vs-kgz,,
22,THORSTEINSSON Sigurdur,ISL,True,D,0,1,1,0,2,2.0,0:00,0.0,0:00,2,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/statistics/15067/1-isl-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/playbyplay/15067/1-isl-vs-kgz,,
23,LEIFSSON Johann,ISL,True,F,1,2,3,0,1,1.0,0:00,0.0,0:00,0,0:00,1,0:00,0,0:00,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/statistics/15067/1-isl-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/playbyplay/15067/1-isl-vs-kgz,,
24,SVEINSSON Atli,ISL,True,D,0,1,1,0,2,2.0,0:00,0.0,0:00,0,0:00,1,0:00,1,0:00,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/statistics/15067/1-isl-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1k/gamecenter/playbyplay/15067/1-isl-vs-kgz,,
