jersey_number,name,team,home,pos,sog,ga,svs,svs%,statistics_url,game_url
20,GARCIA del VALLE Gerardo,MEX,True,GK,77,13,64,83.12,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/statistics/15074/1-mex-vs-ned,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15074/1-mex-vs-ned
25,RIVERA Paulo,MEX,True,GK,11,4,7,63.64,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/statistics/15074/1-mex-vs-ned,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15074/1-mex-vs-ned
1,MEIERDRES Frederik,NED,False,GK,7,1,6,85.71,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/statistics/15074/1-mex-vs-ned,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15074/1-mex-vs-ned
30,OOSTERWIJK Martijn,NED,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/statistics/15074/1-mex-vs-ned,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15074/1-mex-vs-ned
1,ALCAINE Ander,ESP,True,GK,5,0,5,100.0,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/statistics/15075/2-esp-vs-tpe,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15075/2-esp-vs-tpe
25,BARBO Raul,ESP,True,GK,3,0,3,100.0,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/statistics/15075/2-esp-vs-tpe,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15075/2-esp-vs-tpe
1,HE Wei-Chih,TPE,False,GK,16,3,13,81.25,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/statistics/15075/2-esp-vs-tpe,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15075/2-esp-vs-tpe
25,LIAO Yu-Cheng,TPE,False,GK,49,8,41,83.67,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/statistics/15075/2-esp-vs-tpe,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15075/2-esp-vs-tpe
1,MEIERDRES Frederik,NED,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/statistics/15076/3-ned-vs-tpe,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15076/3-ned-vs-tpe
30,OOSTERWIJK Martijn,NED,True,GK,11,1,10,90.91,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/statistics/15076/3-ned-vs-tpe,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15076/3-ned-vs-tpe
