jersey_number,Name,Pos,line_number,team,home,lineups_url,game_url
20.0,GARCIA del VALLE Gerardo,GK,0,MEX,True,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/lineup/15074/1-mex-vs-ned,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15074/1-mex-vs-ned
25.0,RIVERA Paulo,GK,0,MEX,True,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/lineup/15074/1-mex-vs-ned,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15074/1-mex-vs-ned
14.0,COSIO Joaquin,D,1,MEX,True,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/lineup/15074/1-mex-vs-ned,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15074/1-mex-vs-ned
15.0,UGARTE Fernando,D,1,MEX,True,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/lineup/15074/1-mex-vs-ned,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15074/1-mex-vs-ned
17.0,GARCIA Arturo,F,1,MEX,True,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/lineup/15074/1-mex-vs-ned,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15074/1-mex-vs-ned
13.0,SIERRA Santiago,F,1,MEX,True,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/lineup/15074/1-mex-vs-ned,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15074/1-mex-vs-ned
18.0,PEREZ Jorge,F,1,MEX,True,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/lineup/15074/1-mex-vs-ned,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15074/1-mex-vs-ned
22.0,BONILLA Raul,D,2,MEX,True,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/lineup/15074/1-mex-vs-ned,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15074/1-mex-vs-ned
11.0,HAGERMAN Gonzalo,D,2,MEX,True,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/lineup/15074/1-mex-vs-ned,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15074/1-mex-vs-ned
21.0,ROJAS Juan,F,2,MEX,True,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/lineup/15074/1-mex-vs-ned,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15074/1-mex-vs-ned
6.0,RAMOS Carlos,F,2,MEX,True,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/lineup/15074/1-mex-vs-ned,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15074/1-mex-vs-ned
4.0,DUNN Benjamin,F,2,MEX,True,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/lineup/15074/1-mex-vs-ned,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15074/1-mex-vs-ned
10.0,MENDEZ Christopher,D,3,MEX,True,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/lineup/15074/1-mex-vs-ned,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15074/1-mex-vs-ned
16.0,GARCIA Alvaro,F,3,MEX,True,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/lineup/15074/1-mex-vs-ned,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15074/1-mex-vs-ned
23.0,GARZA Edgar,F,3,MEX,True,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/lineup/15074/1-mex-vs-ned,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15074/1-mex-vs-ned
