jersey_number,name,team,home,pos,g,a,p,pim,ts,+/-,tot,shf,avg,ts_1,tot_1,ts_2,tot_2,ts_3,tot_3,statistics_url,game_url
13,SIERRA Santiago,MEX,True,F,1,0,1,4,1,-5.0,0:00,0.0,0:00,1,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/statistics/15074/1-mex-vs-ned,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15074/1-mex-vs-ned
14,COSIO Joaquin,MEX,True,D,0,0,0,2,0,-5.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/statistics/15074/1-mex-vs-ned,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15074/1-mex-vs-ned
15,UGARTE Fernando,MEX,True,D,0,0,0,0,0,-4.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/statistics/15074/1-mex-vs-ned,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15074/1-mex-vs-ned
17,GARCIA Arturo,MEX,True,F,0,1,1,2,1,-5.0,0:00,0.0,0:00,0,0:00,0,0:00,1,0:00,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/statistics/15074/1-mex-vs-ned,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15074/1-mex-vs-ned
18,PEREZ Jorge,MEX,True,F,0,1,1,2,2,-5.0,0:00,0.0,0:00,1,0:00,0,0:00,1,0:00,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/statistics/15074/1-mex-vs-ned,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15074/1-mex-vs-ned
4,DUNN Benjamin,MEX,True,F,0,0,0,0,0,-4.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/statistics/15074/1-mex-vs-ned,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15074/1-mex-vs-ned
6,RAMOS Carlos,MEX,True,F,0,0,0,2,0,-3.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/statistics/15074/1-mex-vs-ned,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15074/1-mex-vs-ned
11,HAGERMAN Gonzalo,MEX,True,D,0,0,0,2,2,-2.0,0:00,0.0,0:00,2,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/statistics/15074/1-mex-vs-ned,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15074/1-mex-vs-ned
21,ROJAS Juan,MEX,True,F,0,0,0,0,1,-4.0,0:00,0.0,0:00,0,0:00,0,0:00,1,0:00,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/statistics/15074/1-mex-vs-ned,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15074/1-mex-vs-ned
22,BONILLA Raul,MEX,True,D,0,0,0,2,0,-6.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/statistics/15074/1-mex-vs-ned,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15074/1-mex-vs-ned
8,GARCIA Jesus,MEX,True,F,0,0,0,0,0,-3.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/statistics/15074/1-mex-vs-ned,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15074/1-mex-vs-ned
9,BOLANOS Augusto,MEX,True,F,0,0,0,0,0,-2.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/statistics/15074/1-mex-vs-ned,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15074/1-mex-vs-ned
10,MENDEZ Christopher,MEX,True,D,0,0,0,0,0,-2.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/statistics/15074/1-mex-vs-ned,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15074/1-mex-vs-ned
16,GARCIA Alvaro,MEX,True,F,0,0,0,2,0,-3.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/statistics/15074/1-mex-vs-ned,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15074/1-mex-vs-ned
23,GARZA Edgar,MEX,True,F,0,0,0,0,0,-2.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/statistics/15074/1-mex-vs-ned,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15074/1-mex-vs-ned
20,GARCIA del VALLE Gerardo,MEX,True,GK,0,0,0,0,0,,,,,0,,0,,0,,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/statistics/15074/1-mex-vs-ned,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15074/1-mex-vs-ned
25,RIVERA Paulo,MEX,True,GK,0,0,0,0,0,,,,,0,,0,,0,,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/statistics/15074/1-mex-vs-ned,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15074/1-mex-vs-ned
2,LOGINOV Alexei,NED,False,D,0,2,2,2,3,1.0,0:00,0.0,0:00,0,0:00,1,0:00,2,0:00,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/statistics/15074/1-mex-vs-ned,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15074/1-mex-vs-ned
10,van der SCHUIT Raymond,NED,False,F,1,1,2,2,11,2.0,0:00,0.0,0:00,2,0:00,4,0:00,5,0:00,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/statistics/15074/1-mex-vs-ned,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15074/1-mex-vs-ned
15,NORDEMANN Jasper,NED,False,F,1,0,1,0,3,1.0,0:00,0.0,0:00,0,0:00,2,0:00,1,0:00,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/statistics/15074/1-mex-vs-ned,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15074/1-mex-vs-ned
16,van GORP Kilian,NED,False,D,0,0,0,0,3,2.0,0:00,0.0,0:00,1,0:00,1,0:00,1,0:00,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/statistics/15074/1-mex-vs-ned,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15074/1-mex-vs-ned
24,BASTINGS Mickey,NED,False,F,0,0,0,12,2,1.0,0:00,0.0,0:00,1,0:00,1,0:00,0,0:00,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/statistics/15074/1-mex-vs-ned,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15074/1-mex-vs-ned
9,BISON Bartek,NED,False,F,3,0,3,0,8,4.0,0:00,0.0,0:00,4,0:00,3,0:00,1,0:00,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/statistics/15074/1-mex-vs-ned,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15074/1-mex-vs-ned
13,VERKIEL Jordy,NED,False,D,1,0,1,0,5,1.0,0:00,0.0,0:00,2,0:00,3,0:00,0,0:00,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/statistics/15074/1-mex-vs-ned,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15074/1-mex-vs-ned
14,van OORSCHOT Jordy,NED,False,D,0,3,3,0,4,4.0,0:00,0.0,0:00,2,0:00,1,0:00,1,0:00,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/statistics/15074/1-mex-vs-ned,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15074/1-mex-vs-ned
22,STEMPHER Danny,NED,False,F,2,1,3,0,7,4.0,0:00,0.0,0:00,3,0:00,1,0:00,3,0:00,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/statistics/15074/1-mex-vs-ned,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15074/1-mex-vs-ned
26,de BONTH Jonne,NED,False,D,1,2,3,0,7,3.0,0:00,0.0,0:00,3,0:00,1,0:00,3,0:00,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/statistics/15074/1-mex-vs-ned,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15074/1-mex-vs-ned
3,OOSTERVELD Joey,NED,False,F,0,4,4,0,4,5.0,0:00,0.0,0:00,1,0:00,3,0:00,0,0:00,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/statistics/15074/1-mex-vs-ned,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15074/1-mex-vs-ned
6,KLEM Ernesto,NED,False,D,0,0,0,0,0,2.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/statistics/15074/1-mex-vs-ned,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15074/1-mex-vs-ned
11,VERSCHUREN Nick,NED,False,F,4,2,6,0,12,5.0,0:00,0.0,0:00,3,0:00,5,0:00,4,0:00,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/statistics/15074/1-mex-vs-ned,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15074/1-mex-vs-ned
17,SMIT Jord,NED,False,F,1,3,4,2,2,4.0,0:00,0.0,0:00,0,0:00,1,0:00,1,0:00,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/statistics/15074/1-mex-vs-ned,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15074/1-mex-vs-ned
20,HOEKSTRA Mark,NED,False,D,0,0,0,0,0,3.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/statistics/15074/1-mex-vs-ned,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15074/1-mex-vs-ned
8,den EDEL Lars,NED,False,F,0,1,1,0,0,1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/statistics/15074/1-mex-vs-ned,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15074/1-mex-vs-ned
12,BORGMAN Thomas,NED,False,F,1,0,1,0,3,1.0,0:00,0.0,0:00,1,0:00,0,0:00,2,0:00,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/statistics/15074/1-mex-vs-ned,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15074/1-mex-vs-ned
19,TURPIJN Joy,NED,False,F,1,1,2,0,4,2.0,0:00,0.0,0:00,0,0:00,4,0:00,0,0:00,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/statistics/15074/1-mex-vs-ned,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15074/1-mex-vs-ned
25,KNOOP Stijn,NED,False,D,1,2,3,0,2,5.0,0:00,0.0,0:00,1,0:00,0,0:00,1,0:00,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/statistics/15074/1-mex-vs-ned,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15074/1-mex-vs-ned
27,van GESTEL Boet,NED,False,D,0,2,2,0,8,4.0,0:00,0.0,0:00,3,0:00,3,0:00,2,0:00,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/statistics/15074/1-mex-vs-ned,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15074/1-mex-vs-ned
1,MEIERDRES Frederik,NED,False,GK,0,0,0,0,0,,,,,0,,0,,0,,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/statistics/15074/1-mex-vs-ned,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15074/1-mex-vs-ned
30,OOSTERWIJK Martijn,NED,False,GK,0,0,0,0,0,,,,,0,,0,,0,,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/statistics/15074/1-mex-vs-ned,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15074/1-mex-vs-ned
3,BALDRIS Bruno,ESP,True,D,1,2,3,0,4,5.0,0:00,0.0,0:00,0,0:00,3,0:00,1,0:00,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/statistics/15075/2-esp-vs-tpe,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15075/2-esp-vs-tpe
13,CARBONELL Alejandro,ESP,True,F,1,0,1,0,2,3.0,0:00,0.0,0:00,1,0:00,1,0:00,0,0:00,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/statistics/15075/2-esp-vs-tpe,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15075/2-esp-vs-tpe
19,UBIETO Adrian,ESP,True,D,0,3,3,0,2,5.0,0:00,0.0,0:00,1,0:00,1,0:00,0,0:00,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/statistics/15075/2-esp-vs-tpe,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15075/2-esp-vs-tpe
21,RUBIO Oriol,ESP,True,F,1,0,1,0,2,3.0,0:00,0.0,0:00,0,0:00,0,0:00,2,0:00,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/statistics/15075/2-esp-vs-tpe,https://www.iihf.com//en/events/2020/ogqp1l/gamecenter/playbyplay/15075/2-esp-vs-tpe
