jersey_number,name,team,home,pos,sog,ga,svs,svs%,statistics_url,game_url
1,MITIC Jug,SRB,True,GK,14,3,11,78.57,https://www.iihf.com//en/events/2020/ogqp1m/gamecenter/statistics/15081/1-srb-vs-tur,https://www.iihf.com//en/events/2020/ogqp1m/gamecenter/playbyplay/15081/1-srb-vs-tur
25,RANKOVIC Arsenije,SRB,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/ogqp1m/gamecenter/statistics/15081/1-srb-vs-tur,https://www.iihf.com//en/events/2020/ogqp1m/gamecenter/playbyplay/15081/1-srb-vs-tur
1,BOZACI Tolga,TUR,False,GK,36,8,28,77.78,https://www.iihf.com//en/events/2020/ogqp1m/gamecenter/statistics/15081/1-srb-vs-tur,https://www.iihf.com//en/events/2020/ogqp1m/gamecenter/playbyplay/15081/1-srb-vs-tur
25,KAYA Onurcan,TUR,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/ogqp1m/gamecenter/statistics/15081/1-srb-vs-tur,https://www.iihf.com//en/events/2020/ogqp1m/gamecenter/playbyplay/15081/1-srb-vs-tur
1,DIMITROV Dimitar,BUL,True,GK,60,12,48,80.0,https://www.iihf.com//en/events/2020/ogqp1m/gamecenter/statistics/15082/2-bul-vs-cro,https://www.iihf.com//en/events/2020/ogqp1m/gamecenter/playbyplay/15082/2-bul-vs-cro
25,STOYNOV Ivan,BUL,True,GK,2,0,2,100.0,https://www.iihf.com//en/events/2020/ogqp1m/gamecenter/statistics/15082/2-bul-vs-cro,https://www.iihf.com//en/events/2020/ogqp1m/gamecenter/playbyplay/15082/2-bul-vs-cro
1,ROSANDIC Vilim,CRO,False,GK,14,1,13,92.86,https://www.iihf.com//en/events/2020/ogqp1m/gamecenter/statistics/15082/2-bul-vs-cro,https://www.iihf.com//en/events/2020/ogqp1m/gamecenter/playbyplay/15082/2-bul-vs-cro
20,GORSIC Luka,CRO,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/ogqp1m/gamecenter/statistics/15082/2-bul-vs-cro,https://www.iihf.com//en/events/2020/ogqp1m/gamecenter/playbyplay/15082/2-bul-vs-cro
25,STIMAC ROJTINIC Ivan,CRO,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/ogqp1m/gamecenter/statistics/15082/2-bul-vs-cro,https://www.iihf.com//en/events/2020/ogqp1m/gamecenter/playbyplay/15082/2-bul-vs-cro
1,MITIC Jug,SRB,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/ogqp1m/gamecenter/statistics/15083/3-srb-vs-bul,https://www.iihf.com//en/events/2020/ogqp1m/gamecenter/playbyplay/15083/3-srb-vs-bul
25,RANKOVIC Arsenije,SRB,True,GK,7,0,7,100.0,https://www.iihf.com//en/events/2020/ogqp1m/gamecenter/statistics/15083/3-srb-vs-bul,https://www.iihf.com//en/events/2020/ogqp1m/gamecenter/playbyplay/15083/3-srb-vs-bul
