period,team,shooter_number,opponent,goalie_number,x,y,shot_chart_url,team1,team2,game_url
1,SRB,11,TUR,1,5.08372288394996,3.863007651087302,https://www.iihf.com//pdf/892/ihm892901_77a_3_0,SRB,TUR,https://www.iihf.com//en/events/2020/ogqp1m/gamecenter/playbyplay/15081/1-srb-vs-tur
1,SRB,12,TUR,1,0.2732815411232366,0.8306427705305248,https://www.iihf.com//pdf/892/ihm892901_77a_3_0,SRB,TUR,https://www.iihf.com//en/events/2020/ogqp1m/gamecenter/playbyplay/15081/1-srb-vs-tur
1,SRB,7,TUR,1,5.009141269630024,0.4819473296110672,https://www.iihf.com//pdf/892/ihm892901_77a_3_0,SRB,TUR,https://www.iihf.com//en/events/2020/ogqp1m/gamecenter/playbyplay/15081/1-srb-vs-tur
1,SRB,11,TUR,1,0.4224406108597285,3.5175480560844283,https://www.iihf.com//pdf/892/ihm892901_77a_3_0,SRB,TUR,https://www.iihf.com//en/events/2020/ogqp1m/gamecenter/playbyplay/15081/1-srb-vs-tur
1,SRB,5,TUR,1,5.344756454618047,3.821037439919861,https://www.iihf.com//pdf/892/ihm892901_77a_3_0,SRB,TUR,https://www.iihf.com//en/events/2020/ogqp1m/gamecenter/playbyplay/15081/1-srb-vs-tur
1,SRB,6,TUR,1,0.9445035932925204,0.4082399288509886,https://www.iihf.com//pdf/892/ihm892901_77a_3_0,SRB,TUR,https://www.iihf.com//en/events/2020/ogqp1m/gamecenter/playbyplay/15081/1-srb-vs-tur
2,SRB,23,TUR,1,0.3478609554314739,3.286979987735143,https://www.iihf.com//pdf/892/ihm892901_77a_3_0,SRB,TUR,https://www.iihf.com//en/events/2020/ogqp1m/gamecenter/playbyplay/15081/1-srb-vs-tur
2,TUR,15,SRB,1,5.3820451823263245,3.6709106709604367,https://www.iihf.com//pdf/892/ihm892901_77a_3_0,SRB,TUR,https://www.iihf.com//en/events/2020/ogqp1m/gamecenter/playbyplay/15081/1-srb-vs-tur
2,TUR,18,SRB,1,4.859982199893532,3.709295605521112,https://www.iihf.com//pdf/892/ihm892901_77a_3_0,SRB,TUR,https://www.iihf.com//en/events/2020/ogqp1m/gamecenter/playbyplay/15081/1-srb-vs-tur
2,TUR,7,SRB,1,1.130955549640671,0.4051785307215394,https://www.iihf.com//pdf/892/ihm892901_77a_3_0,SRB,TUR,https://www.iihf.com//en/events/2020/ogqp1m/gamecenter/playbyplay/15081/1-srb-vs-tur
3,SRB,11,TUR,1,5.493915524354538,3.786238852197775,https://www.iihf.com//pdf/892/ihm892901_77a_3_0,SRB,TUR,https://www.iihf.com//en/events/2020/ogqp1m/gamecenter/playbyplay/15081/1-srb-vs-tur
