jersey_number,Name,Pos,line_number,team,home,lineups_url,game_url
1.0,MITIC Jug,GK,0,SRB,True,https://www.iihf.com//en/events/2020/ogqp1m/gamecenter/lineup/15081/1-srb-vs-tur,https://www.iihf.com//en/events/2020/ogqp1m/gamecenter/playbyplay/15081/1-srb-vs-tur
25.0,RANKOVIC Arsenije,GK,0,SRB,True,https://www.iihf.com//en/events/2020/ogqp1m/gamecenter/lineup/15081/1-srb-vs-tur,https://www.iihf.com//en/events/2020/ogqp1m/gamecenter/playbyplay/15081/1-srb-vs-tur
8.0,NOVAKOVIC Ugljesa,D,1,SRB,True,https://www.iihf.com//en/events/2020/ogqp1m/gamecenter/lineup/15081/1-srb-vs-tur,https://www.iihf.com//en/events/2020/ogqp1m/gamecenter/playbyplay/15081/1-srb-vs-tur
2.0,ANIC Ivan,D,1,SRB,True,https://www.iihf.com//en/events/2020/ogqp1m/gamecenter/lineup/15081/1-srb-vs-tur,https://www.iihf.com//en/events/2020/ogqp1m/gamecenter/playbyplay/15081/1-srb-vs-tur
11.0,DUMIC Mirko,F,1,SRB,True,https://www.iihf.com//en/events/2020/ogqp1m/gamecenter/lineup/15081/1-srb-vs-tur,https://www.iihf.com//en/events/2020/ogqp1m/gamecenter/playbyplay/15081/1-srb-vs-tur
18.0,SUBOTIC Srdjan,F,1,SRB,True,https://www.iihf.com//en/events/2020/ogqp1m/gamecenter/lineup/15081/1-srb-vs-tur,https://www.iihf.com//en/events/2020/ogqp1m/gamecenter/playbyplay/15081/1-srb-vs-tur
6.0,VUCUREVIC Nemanja,F,1,SRB,True,https://www.iihf.com//en/events/2020/ogqp1m/gamecenter/lineup/15081/1-srb-vs-tur,https://www.iihf.com//en/events/2020/ogqp1m/gamecenter/playbyplay/15081/1-srb-vs-tur
13.0,LUKOVIC Aleksa,D,2,SRB,True,https://www.iihf.com//en/events/2020/ogqp1m/gamecenter/lineup/15081/1-srb-vs-tur,https://www.iihf.com//en/events/2020/ogqp1m/gamecenter/playbyplay/15081/1-srb-vs-tur
17.0,PODUNAVAC Pavle,D,2,SRB,True,https://www.iihf.com//en/events/2020/ogqp1m/gamecenter/lineup/15081/1-srb-vs-tur,https://www.iihf.com//en/events/2020/ogqp1m/gamecenter/playbyplay/15081/1-srb-vs-tur
19.0,RADOSAVLJEVIC Relja,F,2,SRB,True,https://www.iihf.com//en/events/2020/ogqp1m/gamecenter/lineup/15081/1-srb-vs-tur,https://www.iihf.com//en/events/2020/ogqp1m/gamecenter/playbyplay/15081/1-srb-vs-tur
