jersey_number,name,team,home,pos,sog,ga,svs,svs%,statistics_url,game_url
1,AL SUWAIDI Khaled,UAE,True,GK,40,8,32,80.0,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/statistics/15138/1-uae-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
20,AL DHAHERI Ahmed,UAE,True,GK,5,1,4,80.0,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/statistics/15138/1-uae-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
1,PETROV Aleksandr,KGZ,False,GK,25,4,21,84.0,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/statistics/15138/1-uae-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
20,ALYMBEKOV Kadyr,KGZ,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/statistics/15138/1-uae-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
1,PRIBISIC Edis,BIH,True,GK,50,10,40,80.0,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/statistics/15139/2-bih-vs-lux,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15139/2-bih-vs-lux
25,HADZIC Ismar,BIH,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/statistics/15139/2-bih-vs-lux,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15139/2-bih-vs-lux
1,ANSELM Marcus,LUX,False,GK,14,1,13,92.86,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/statistics/15139/2-bih-vs-lux,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15139/2-bih-vs-lux
20,LEPAGE Philippe,LUX,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/statistics/15139/2-bih-vs-lux,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15139/2-bih-vs-lux
1,AL SUWAIDI Khaled,UAE,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/statistics/15140/3-uae-vs-bih,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15140/3-uae-vs-bih
20,AL DHAHERI Ahmed,UAE,True,GK,14,3,11,78.57,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/statistics/15140/3-uae-vs-bih,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15140/3-uae-vs-bih
1,PRIBISIC Edis,BIH,False,GK,26,1,25,96.15,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/statistics/15140/3-uae-vs-bih,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15140/3-uae-vs-bih
20,PASOVIC Dino,BIH,False,GK,16,5,11,68.75,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/statistics/15140/3-uae-vs-bih,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15140/3-uae-vs-bih
1,ANSELM Marcus,LUX,True,GK,11,0,11,100.0,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/statistics/15141/4-lux-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15141/4-lux-vs-kgz
20,LEPAGE Philippe,LUX,True,GK,23,4,19,82.61,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/statistics/15141/4-lux-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15141/4-lux-vs-kgz
1,PETROV Aleksandr,KGZ,False,GK,21,3,18,85.71,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/statistics/15141/4-lux-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15141/4-lux-vs-kgz
20,ALYMBEKOV Kadyr,KGZ,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/statistics/15141/4-lux-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15141/4-lux-vs-kgz
1,PETROV Aleksandr,KGZ,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/statistics/15142/5-kgz-vs-bih,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15142/5-kgz-vs-bih
20,ALYMBEKOV Kadyr,KGZ,True,GK,12,3,9,75.0,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/statistics/15142/5-kgz-vs-bih,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15142/5-kgz-vs-bih
20,PASOVIC Dino,BIH,False,GK,31,9,22,70.97,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/statistics/15142/5-kgz-vs-bih,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15142/5-kgz-vs-bih
25,HADZIC Ismar,BIH,False,GK,18,6,12,66.67,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/statistics/15142/5-kgz-vs-bih,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15142/5-kgz-vs-bih
1,ANSELM Marcus,LUX,True,GK,23,3,20,86.96,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/statistics/15143/6-lux-vs-uae,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15143/6-lux-vs-uae
20,LEPAGE Philippe,LUX,True,GK,9,2,7,77.78,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/statistics/15143/6-lux-vs-uae,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15143/6-lux-vs-uae
1,AL SUWAIDI Khaled,UAE,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/statistics/15143/6-lux-vs-uae,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15143/6-lux-vs-uae
20,AL DHAHERI Ahmed,UAE,False,GK,24,4,20,83.33,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/statistics/15143/6-lux-vs-uae,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15143/6-lux-vs-uae
