period,team,shooter_number,opponent,goalie_number,x,y,shot_chart_url,team1,team2,game_url
1,KGZ,19,UAE,1,0.571602601670423,0.4850081926246044,https://www.iihf.com//pdf/888/ihm888901_77a_3_0,UAE,KGZ,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
1,UAE,18,KGZ,1,5.195593225978174,3.2102989478550947,https://www.iihf.com//pdf/888/ihm888901_77a_3_0,UAE,KGZ,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
1,UAE,19,KGZ,1,0.2732815411232366,0.600161926074807,https://www.iihf.com//pdf/888/ihm888901_77a_3_0,UAE,KGZ,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
2,UAE,19,KGZ,1,4.449788017302419,3.517373073181382,https://www.iihf.com//pdf/888/ihm888901_77a_3_0,UAE,KGZ,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
2,UAE,19,KGZ,1,0.19870011787021244,0.6769307249643344,https://www.iihf.com//pdf/888/ihm888901_77a_3_0,UAE,KGZ,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
2,KGZ,7,UAE,1,0.3478631554431727,1.8254002399459748,https://www.iihf.com//pdf/888/ihm888901_77a_3_0,UAE,KGZ,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
2,KGZ,7,UAE,1,5.158304498269896,3.322390748059937,https://www.iihf.com//pdf/888/ihm888901_77a_3_0,UAE,KGZ,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
2,KGZ,9,UAE,1,0.7580557958477508,1.8668455024042756,https://www.iihf.com//pdf/888/ihm888901_77a_3_0,UAE,KGZ,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
3,KGZ,25,UAE,1,1.7276000675128416,2.1739206979623855,https://www.iihf.com//pdf/888/ihm888901_77a_3_0,UAE,KGZ,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
3,KGZ,9,UAE,1,5.046431887410207,2.3274582957414403,https://www.iihf.com//pdf/888/ihm888901_77a_3_0,UAE,KGZ,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
3,KGZ,19,UAE,1,5.382043836905888,2.4809958935204954,https://www.iihf.com//pdf/888/ihm888901_77a_3_0,UAE,KGZ,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
3,KGZ,13,UAE,20,5.307463288159571,3.3253638520639957,https://www.iihf.com//pdf/888/ihm888901_77a_3_0,UAE,KGZ,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
3,KGZ,9,UAE,20,4.822690241171258,1.1375429831855879,https://www.iihf.com//pdf/888/ihm888901_77a_3_0,UAE,KGZ,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
1,LUX,12,BIH,1,0.7580537136048426,0.8690271699752885,https://www.iihf.com//pdf/888/ihm888902_77a_3_0,BIH,LUX,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15139/2-bih-vs-lux
1,LUX,17,BIH,1,0.31057094098968696,1.0993335666438706,https://www.iihf.com//pdf/888/ihm888902_77a_3_0,BIH,LUX,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15139/2-bih-vs-lux
1,LUX,10,BIH,1,0.23599039224337062,0.7536995238538622,https://www.iihf.com//pdf/888/ihm888902_77a_3_0,BIH,LUX,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15139/2-bih-vs-lux
1,LUX,12,BIH,1,2.5479855838595786,2.4811703413076307,https://www.iihf.com//pdf/888/ihm888902_77a_3_0,BIH,LUX,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15139/2-bih-vs-lux
2,LUX,16,BIH,1,2.9581780676071334,3.3254516110734746,https://www.iihf.com//pdf/888/ihm888902_77a_3_0,BIH,LUX,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15139/2-bih-vs-lux
2,LUX,12,BIH,1,2.9581780676071334,3.402395392866049,https://www.iihf.com//pdf/888/ihm888902_77a_3_0,BIH,LUX,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15139/2-bih-vs-lux
2,LUX,23,BIH,1,3.9650153047644396,0.3313833709519818,https://www.iihf.com//pdf/888/ihm888902_77a_3_0,BIH,LUX,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15139/2-bih-vs-lux
2,LUX,9,BIH,1,4.598948629225445,3.5941418720709093,https://www.iihf.com//pdf/888/ihm888902_77a_3_0,BIH,LUX,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15139/2-bih-vs-lux
2,LUX,23,BIH,1,4.449789559488954,3.2102111888456157,https://www.iihf.com//pdf/888/ihm888902_77a_3_0,BIH,LUX,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15139/2-bih-vs-lux
3,LUX,8,BIH,1,3.070048905221051,0.600161926074807,https://www.iihf.com//pdf/888/ihm888902_77a_3_0,BIH,LUX,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15139/2-bih-vs-lux
1,BIH,8,UAE,20,3.666692775328839,2.9799925511865126,https://www.iihf.com//pdf/888/ihm888903_77a_3_0,UAE,BIH,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15140/3-uae-vs-bih
