jersey_number,Name,Pos,line_number,team,home,lineups_url,game_url
1.0,AL SUWAIDI Khaled,GK,0,UAE,True,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15138/1-uae-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
20.0,AL DHAHERI Ahmed,GK,0,UAE,True,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15138/1-uae-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
21.0,SAUKO Vitali,D,1,UAE,True,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15138/1-uae-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
16.0,AL SHAMSI Mohammed,D,1,UAE,True,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15138/1-uae-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
8.0,ALKAABI Mohamed,F,1,UAE,True,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15138/1-uae-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
7.0,AL DHAHERI Juma,F,1,UAE,True,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15138/1-uae-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
19.0,ZAINUTDINOV Artur,F,1,UAE,True,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15138/1-uae-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
23.0,REM Nils,D,2,UAE,True,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15138/1-uae-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
22.0,AL ZAABI Mohamed,D,2,UAE,True,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15138/1-uae-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
11.0,AL MAZROUEI Mubarak,F,2,UAE,True,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15138/1-uae-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
2.0,AL MEHAIRI Suhail,F,2,UAE,True,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15138/1-uae-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
18.0,AL NUAIMI Saeed,F,2,UAE,True,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15138/1-uae-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
14.0,AL YAFEAI Salem,F,3,UAE,True,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15138/1-uae-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
6.0,ALSUWAIDI Ahmed,D,3,UAE,True,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15138/1-uae-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
24.0,AL HARMOODI Abdulla,F,3,UAE,True,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15138/1-uae-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
17.0,ALAMERI Saif,D,3,UAE,True,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15138/1-uae-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
9.0,ALHUMAIDI Abdulla,F,3,UAE,True,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15138/1-uae-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
12.0,ALHADDAD Abdulla,D,4,UAE,True,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15138/1-uae-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
4.0,ALHADDAD Hasan,D,4,UAE,True,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15138/1-uae-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
5.0,ALSHKEILI Khalifa,D,4,UAE,True,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15138/1-uae-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
,SENKEVICH Artyom,He. Co.,5,UAE,True,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15138/1-uae-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
1.0,PETROV Aleksandr,GK,0,KGZ,False,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15138/1-uae-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
20.0,ALYMBEKOV Kadyr,GK,0,KGZ,False,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15138/1-uae-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
10.0,EGOROV Maksim,D,1,KGZ,False,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15138/1-uae-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
16.0,TERENTYEV Kuzma,D,1,KGZ,False,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15138/1-uae-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
9.0,TONKIKH Vladimir,F,1,KGZ,False,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15138/1-uae-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
19.0,NOSOV Vladimir,F,1,KGZ,False,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15138/1-uae-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
6.0,CHUVALOV Mikhail,F,1,KGZ,False,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15138/1-uae-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
11.0,KOLODII Oleg,F,2,KGZ,False,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15138/1-uae-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
18.0,SHUSHENKOV Daniil,D,2,KGZ,False,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15138/1-uae-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
17.0,KUDASHEV Anton,F,2,KGZ,False,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15138/1-uae-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
25.0,GOROBETS Artem,F,2,KGZ,False,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15138/1-uae-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
7.0,TITOV Aleksandr,D,2,KGZ,False,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15138/1-uae-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
14.0,AIAPOV Artur,D,3,KGZ,False,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15138/1-uae-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
4.0,KACHKYNBEKOV Adis,D,3,KGZ,False,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15138/1-uae-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
24.0,MIRBEKOV Ersultan,F,3,KGZ,False,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15138/1-uae-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
15.0,NICHIPURENKO Vladimir,D,3,KGZ,False,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15138/1-uae-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
8.0,TRISHKIN Andrei,D,3,KGZ,False,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15138/1-uae-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
21.0,ULUGBEK UULY Azhymukhamed,F,4,KGZ,False,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15138/1-uae-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
22.0,TURSUNBEKOV Uran,D,4,KGZ,False,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15138/1-uae-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
13.0,TAGAEV Zhanbolot,F,4,KGZ,False,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15138/1-uae-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
,SAZONOV Pavel,He. Co.,5,KGZ,False,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15138/1-uae-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
1.0,PRIBISIC Edis,GK,0,BIH,True,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15139/2-bih-vs-lux,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15139/2-bih-vs-lux
25.0,HADZIC Ismar,GK,0,BIH,True,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15139/2-bih-vs-lux,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15139/2-bih-vs-lux
4.0,ALIC Nermin,D,1,BIH,True,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15139/2-bih-vs-lux,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15139/2-bih-vs-lux
6.0,LJEVAK Igor,D,1,BIH,True,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15139/2-bih-vs-lux,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15139/2-bih-vs-lux
11.0,MRKVA Haris,F,1,BIH,True,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15139/2-bih-vs-lux,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15139/2-bih-vs-lux
18.0,CATOVIC Tarik,F,1,BIH,True,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15139/2-bih-vs-lux,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15139/2-bih-vs-lux
12.0,FILIPOVIC Din Alen,F,1,BIH,True,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15139/2-bih-vs-lux,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15139/2-bih-vs-lux
9.0,HASOVIC Ermin,D,2,BIH,True,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15139/2-bih-vs-lux,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15139/2-bih-vs-lux
19.0,VIDEN Emir,D,2,BIH,True,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15139/2-bih-vs-lux,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15139/2-bih-vs-lux
8.0,HODZIC Mirzet,F,2,BIH,True,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15139/2-bih-vs-lux,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15139/2-bih-vs-lux
21.0,MUSIC Samir,F,2,BIH,True,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15139/2-bih-vs-lux,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15139/2-bih-vs-lux
22.0,LEMES Amar,F,2,BIH,True,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15139/2-bih-vs-lux,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15139/2-bih-vs-lux
16.0,ISMAILOVIC Ensar,F,3,BIH,True,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15139/2-bih-vs-lux,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15139/2-bih-vs-lux
24.0,DINALIC Muhamed,D,3,BIH,True,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15139/2-bih-vs-lux,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15139/2-bih-vs-lux
17.0,CORDALIJA Dino,F,3,BIH,True,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15139/2-bih-vs-lux,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15139/2-bih-vs-lux
10.0,RAKIC Amon,D,3,BIH,True,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15139/2-bih-vs-lux,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15139/2-bih-vs-lux
2.0,HADZIHASANOVIC Amar,F,3,BIH,True,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15139/2-bih-vs-lux,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15139/2-bih-vs-lux
14.0,KREHIC Tarik,F,4,BIH,True,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15139/2-bih-vs-lux,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15139/2-bih-vs-lux
7.0,RAMIC Faris,F,4,BIH,True,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15139/2-bih-vs-lux,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15139/2-bih-vs-lux
23.0,KOKOROVIC Anes,F,4,BIH,True,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15139/2-bih-vs-lux,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15139/2-bih-vs-lux
,BRESTOVAC Uros,He. Co.,5,BIH,True,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15139/2-bih-vs-lux,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15139/2-bih-vs-lux
1.0,ANSELM Marcus,GK,0,LUX,False,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15139/2-bih-vs-lux,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15139/2-bih-vs-lux
20.0,LEPAGE Philippe,GK,0,LUX,False,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15139/2-bih-vs-lux,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15139/2-bih-vs-lux
23.0,GREIN Sebastian,D,1,LUX,False,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15139/2-bih-vs-lux,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15139/2-bih-vs-lux
18.0,BECHTOLD Philippe,D,1,LUX,False,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/lineup/15139/2-bih-vs-lux,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15139/2-bih-vs-lux
