jersey_number,name,team,home,pos,g,a,p,pim,ts,+/-,tot,shf,avg,ts_1,tot_1,ts_2,tot_2,ts_3,tot_3,statistics_url,game_url
7,AL DHAHERI Juma,UAE,True,F,0,0,0,0,2,-3.0,0:00,0.0,0:00,1,0:00,0,0:00,1,0:00,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/statistics/15138/1-uae-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
8,ALKAABI Mohamed,UAE,True,F,0,0,0,4,1,-2.0,0:00,0.0,0:00,0,0:00,0,0:00,1,0:00,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/statistics/15138/1-uae-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
16,AL SHAMSI Mohammed,UAE,True,D,0,0,0,0,0,-3.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/statistics/15138/1-uae-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
19,ZAINUTDINOV Artur,UAE,True,F,3,0,3,0,14,0.0,0:00,0.0,0:00,4,0:00,4,0:00,6,0:00,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/statistics/15138/1-uae-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
21,SAUKO Vitali,UAE,True,D,0,0,0,2,2,-3.0,0:00,0.0,0:00,1,0:00,1,0:00,0,0:00,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/statistics/15138/1-uae-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
2,AL MEHAIRI Suhail,UAE,True,F,0,1,1,0,1,0.0,0:00,0.0,0:00,1,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/statistics/15138/1-uae-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
11,AL MAZROUEI Mubarak,UAE,True,F,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/statistics/15138/1-uae-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
18,AL NUAIMI Saeed,UAE,True,F,1,0,1,0,4,-1.0,0:00,0.0,0:00,2,0:00,1,0:00,1,0:00,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/statistics/15138/1-uae-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
22,AL ZAABI Mohamed,UAE,True,D,0,0,0,0,0,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/statistics/15138/1-uae-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
23,REM Nils,UAE,True,D,0,0,0,2,1,2.0,0:00,0.0,0:00,1,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/statistics/15138/1-uae-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
6,ALSUWAIDI Ahmed,UAE,True,D,0,0,0,4,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/statistics/15138/1-uae-vs-kgz,https://www.iihf.com//en/events/2020/ogqp1n/gamecenter/playbyplay/15138/1-uae-vs-kgz
