jersey_number,name,team,home,pos,sog,ga,svs,svs%,statistics_url,game_url
1,HE Wei-Chih,TPE,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/statistics/15346/1-tpe-vs-tha,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15346/1-tpe-vs-tha
25,LIAO Yu-Cheng,TPE,True,GK,46,3,43,93.48,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/statistics/15346/1-tpe-vs-tha,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15346/1-tpe-vs-tha
35,RUNGRUANGWAT Supanat,THA,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/statistics/15346/1-tpe-vs-tha,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15346/1-tpe-vs-tha
50,UNGKULPATTANASUK Pattarapol,THA,False,GK,28,4,24,85.71,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/statistics/15346/1-tpe-vs-tha,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15346/1-tpe-vs-tha
1,AL SARRAF Jasem,KUW,True,GK,26,7,19,73.08,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/statistics/15347/2-kuw-vs-hkg,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15347/2-kuw-vs-hkg
25,ALSAEGH Ahmad,KUW,True,GK,28,5,23,82.14,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/statistics/15347/2-kuw-vs-hkg,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15347/2-kuw-vs-hkg
1,CHEUNG Ching Ho,HKG,False,GK,13,0,13,100.0,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/statistics/15347/2-kuw-vs-hkg,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15347/2-kuw-vs-hkg
25,HO King Chi King,HKG,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/statistics/15347/2-kuw-vs-hkg,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15347/2-kuw-vs-hkg
1,HE Wei-Chih,TPE,True,GK,13,0,13,100.0,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/statistics/15348/3-tpe-vs-kuw,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15348/3-tpe-vs-kuw
25,LIAO Yu-Cheng,TPE,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/statistics/15348/3-tpe-vs-kuw,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15348/3-tpe-vs-kuw
1,AL SARRAF Jasem,KUW,False,GK,60,8,52,86.67,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/statistics/15348/3-tpe-vs-kuw,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15348/3-tpe-vs-kuw
25,ALSAEGH Ahmad,KUW,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/statistics/15348/3-tpe-vs-kuw,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15348/3-tpe-vs-kuw
1,CHEUNG Ching Ho,HKG,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/statistics/15349/4-hkg-vs-tha,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15349/4-hkg-vs-tha
25,HO King Chi King,HKG,True,GK,55,7,48,87.27,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/statistics/15349/4-hkg-vs-tha,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15349/4-hkg-vs-tha
17,KAEWJEEN Prawes,THA,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/statistics/15349/4-hkg-vs-tha,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15349/4-hkg-vs-tha
50,UNGKULPATTANASUK Pattarapol,THA,False,GK,30,2,28,93.33,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/statistics/15349/4-hkg-vs-tha,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15349/4-hkg-vs-tha
17,KAEWJEEN Prawes,THA,True,GK,4,0,4,100.0,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/statistics/15350/5-tha-vs-kuw,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15350/5-tha-vs-kuw
35,RUNGRUANGWAT Supanat,THA,True,GK,5,1,4,80.0,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/statistics/15350/5-tha-vs-kuw,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15350/5-tha-vs-kuw
1,AL SARRAF Jasem,KUW,False,GK,45,8,37,82.22,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/statistics/15350/5-tha-vs-kuw,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15350/5-tha-vs-kuw
25,ALSAEGH Ahmad,KUW,False,GK,19,3,16,84.21,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/statistics/15350/5-tha-vs-kuw,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15350/5-tha-vs-kuw
1,CHEUNG Ching Ho,HKG,True,GK,49,6,43,87.76,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/statistics/15351/6-hkg-vs-tpe,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15351/6-hkg-vs-tpe
25,HO King Chi King,HKG,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/statistics/15351/6-hkg-vs-tpe,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15351/6-hkg-vs-tpe
1,HE Wei-Chih,TPE,False,GK,8,0,8,100.0,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/statistics/15351/6-hkg-vs-tpe,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15351/6-hkg-vs-tpe
25,LIAO Yu-Cheng,TPE,False,GK,14,5,9,64.29,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/statistics/15351/6-hkg-vs-tpe,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15351/6-hkg-vs-tpe
