period,team,shooter_number,opponent,goalie_number,x,y,shot_chart_url,team1,team2,game_url
1,TPE,14,THA,50,4.859980515544416,0.408414911754035,https://www.iihf.com//pdf/891/ihm891901_77a_3_0,TPE,THA,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15346/1-tpe-vs-tha
1,THA,96,TPE,25,5.643078752994411,1.1375429831855879,https://www.iihf.com//pdf/891/ihm891901_77a_3_0,TPE,THA,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15346/1-tpe-vs-tha
3,TPE,22,THA,50,5.382043836905888,0.523568110088326,https://www.iihf.com//pdf/891/ihm891901_77a_3_0,TPE,THA,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15346/1-tpe-vs-tha
3,TPE,24,THA,50,2.6971461614894694,0.3700305123092713,https://www.iihf.com//pdf/891/ihm891901_77a_3_0,TPE,THA,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15346/1-tpe-vs-tha
3,TPE,14,THA,50,5.307463288159571,0.6771051727514696,https://www.iihf.com//pdf/891/ihm891901_77a_3_0,TPE,THA,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15346/1-tpe-vs-tha
3,TPE,8,THA,-1,5.605785483144837,0.29308619540078595,https://www.iihf.com//pdf/891/ihm891901_77a_3_0,TPE,THA,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15346/1-tpe-vs-tha
3,THA,56,TPE,25,1.5038594623369708,1.0991585837408242,https://www.iihf.com//pdf/891/ihm891901_77a_3_0,TPE,THA,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15346/1-tpe-vs-tha
3,THA,89,TPE,25,4.785400585573596,2.2123050974071496,https://www.iihf.com//pdf/891/ihm891901_77a_3_0,TPE,THA,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15346/1-tpe-vs-tha
1,HKG,19,KUW,1,0.6088925672078787,3.402220409963002,https://www.iihf.com//pdf/891/ihm891902_77a_3_0,KUW,HKG,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15347/2-kuw-vs-hkg
1,HKG,21,KUW,1,1.6903114186851211,3.9013920505320656,https://www.iihf.com//pdf/891/ihm891902_77a_3_0,KUW,HKG,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15347/2-kuw-vs-hkg
1,HKG,16,KUW,1,4.598948629225445,0.5617775266300433,https://www.iihf.com//pdf/891/ihm891902_77a_3_0,KUW,HKG,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15347/2-kuw-vs-hkg
1,HKG,2,KUW,1,1.3546962336970987,1.9437892841968498,https://www.iihf.com//pdf/891/ihm891902_77a_3_0,KUW,HKG,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15347/2-kuw-vs-hkg
2,HKG,21,KUW,1,5.34475356253273,2.1740956808654324,https://www.iihf.com//pdf/891/ihm891902_77a_3_0,KUW,HKG,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15347/2-kuw-vs-hkg
2,HKG,19,KUW,1,5.1955924650400975,1.0223897848512968,https://www.iihf.com//pdf/891/ihm891902_77a_3_0,KUW,HKG,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15347/2-kuw-vs-hkg
2,HKG,12,KUW,1,2.7344369557253696,4.054929648311121,https://www.iihf.com//pdf/891/ihm891902_77a_3_0,KUW,HKG,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15347/2-kuw-vs-hkg
3,HKG,19,KUW,25,5.307463568006388,0.06278086896402613,https://www.iihf.com//pdf/891/ihm891902_77a_3_0,KUW,HKG,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15347/2-kuw-vs-hkg
3,HKG,12,KUW,25,4.748111857865318,1.4447920914149215,https://www.iihf.com//pdf/891/ihm891902_77a_3_0,KUW,HKG,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15347/2-kuw-vs-hkg
3,HKG,4,KUW,25,5.08372288394996,2.9405834047713073,https://www.iihf.com//pdf/891/ihm891902_77a_3_0,KUW,HKG,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15347/2-kuw-vs-hkg
3,HKG,19,KUW,25,4.636241515837104,0.17793353218240604,https://www.iihf.com//pdf/891/ihm891902_77a_3_0,KUW,HKG,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15347/2-kuw-vs-hkg
3,HKG,11,KUW,25,4.859982199893532,1.5599463599810357,https://www.iihf.com//pdf/891/ihm891902_77a_3_0,KUW,HKG,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15347/2-kuw-vs-hkg
2,TPE,3,KUW,1,0.3851518831514506,3.78597664540116,https://www.iihf.com//pdf/891/ihm891903_77a_3_0,TPE,KUW,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15348/3-tpe-vs-kuw
2,TPE,24,KUW,1,4.561659901517167,1.8286366209784704,https://www.iihf.com//pdf/891/ihm891903_77a_3_0,TPE,KUW,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15348/3-tpe-vs-kuw
2,TPE,6,KUW,1,4.934563814213468,3.901217067629019,https://www.iihf.com//pdf/891/ihm891903_77a_3_0,TPE,KUW,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15348/3-tpe-vs-kuw
2,TPE,7,KUW,1,1.205537163960607,3.629464873386224,https://www.iihf.com//pdf/891/ihm891903_77a_3_0,TPE,KUW,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15348/3-tpe-vs-kuw
