jersey_number,Name,Pos,line_number,team,home,lineups_url,game_url
25.0,LIAO Yu-Cheng,GK,0,TPE,True,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/lineup/15346/1-tpe-vs-tha,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15346/1-tpe-vs-tha
1.0,HE Wei-Chih,GK,0,TPE,True,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/lineup/15346/1-tpe-vs-tha,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15346/1-tpe-vs-tha
14.0,YU Shao-Yang,F,1,TPE,True,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/lineup/15346/1-tpe-vs-tha,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15346/1-tpe-vs-tha
8.0,YU Sung-Yin,F,1,TPE,True,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/lineup/15346/1-tpe-vs-tha,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15346/1-tpe-vs-tha
19.0,LIN Hung-Ju,F,1,TPE,True,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/lineup/15346/1-tpe-vs-tha,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15346/1-tpe-vs-tha
22.0,YANG Chang-Hsing,F,1,TPE,True,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/lineup/15346/1-tpe-vs-tha,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15346/1-tpe-vs-tha
12.0,YIN Wei-Lun,D,1,TPE,True,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/lineup/15346/1-tpe-vs-tha,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15346/1-tpe-vs-tha
18.0,CHANG Wei-Ting,D,2,TPE,True,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/lineup/15346/1-tpe-vs-tha,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15346/1-tpe-vs-tha
11.0,TANG Yi-Cheng,D,2,TPE,True,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/lineup/15346/1-tpe-vs-tha,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15346/1-tpe-vs-tha
7.0,HSIAO Po-Yun,F,2,TPE,True,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/lineup/15346/1-tpe-vs-tha,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15346/1-tpe-vs-tha
6.0,SHEN Yen-Chin,D,2,TPE,True,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/lineup/15346/1-tpe-vs-tha,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15346/1-tpe-vs-tha
24.0,HSIAO Po-Yuan,F,2,TPE,True,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/lineup/15346/1-tpe-vs-tha,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15346/1-tpe-vs-tha
23.0,PAO Yi,D,3,TPE,True,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/lineup/15346/1-tpe-vs-tha,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15346/1-tpe-vs-tha
10.0,SUN Cheng-Yu,F,3,TPE,True,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/lineup/15346/1-tpe-vs-tha,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15346/1-tpe-vs-tha
3.0,LU Ping-En,F,3,TPE,True,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/lineup/15346/1-tpe-vs-tha,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15346/1-tpe-vs-tha
21.0,CHEN Wei-Lin,F,3,TPE,True,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/lineup/15346/1-tpe-vs-tha,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15346/1-tpe-vs-tha
17.0,YEN Da-Wei,F,3,TPE,True,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/lineup/15346/1-tpe-vs-tha,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15346/1-tpe-vs-tha
15.0,HUANG Po-Jui,F,4,TPE,True,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/lineup/15346/1-tpe-vs-tha,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15346/1-tpe-vs-tha
16.0,LIN Kuan-Hung,F,4,TPE,True,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/lineup/15346/1-tpe-vs-tha,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15346/1-tpe-vs-tha
9.0,CHUANG Ho-Yun,D,4,TPE,True,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/lineup/15346/1-tpe-vs-tha,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15346/1-tpe-vs-tha
,LANG Ryan Conrad,He. Co.,5,TPE,True,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/lineup/15346/1-tpe-vs-tha,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15346/1-tpe-vs-tha
