jersey_number,name,team,home,pos,g,a,p,pim,ts,+/-,tot,shf,avg,ts_1,tot_1,ts_2,tot_2,ts_3,tot_3,statistics_url,game_url
8,YU Sung-Yin,TPE,True,F,1,0,1,0,3,2.0,0:00,0.0,0:00,2,0:00,0,0:00,1,0:00,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/statistics/15346/1-tpe-vs-tha,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15346/1-tpe-vs-tha
12,YIN Wei-Lun,TPE,True,D,0,1,1,2,1,1.0,0:00,0.0,0:00,1,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/statistics/15346/1-tpe-vs-tha,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15346/1-tpe-vs-tha
14,YU Shao-Yang,TPE,True,F,2,0,2,0,3,3.0,0:00,0.0,0:00,1,0:00,0,0:00,2,0:00,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/statistics/15346/1-tpe-vs-tha,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15346/1-tpe-vs-tha
19,LIN Hung-Ju,TPE,True,F,0,2,2,0,6,2.0,0:00,0.0,0:00,2,0:00,3,0:00,1,0:00,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/statistics/15346/1-tpe-vs-tha,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15346/1-tpe-vs-tha
22,YANG Chang-Hsing,TPE,True,F,1,1,2,0,8,2.0,0:00,0.0,0:00,2,0:00,3,0:00,3,0:00,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/statistics/15346/1-tpe-vs-tha,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15346/1-tpe-vs-tha
6,SHEN Yen-Chin,TPE,True,D,0,1,1,2,3,1.0,0:00,0.0,0:00,0,0:00,3,0:00,0,0:00,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/statistics/15346/1-tpe-vs-tha,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15346/1-tpe-vs-tha
7,HSIAO Po-Yun,TPE,True,F,0,0,0,0,2,1.0,0:00,0.0,0:00,0,0:00,0,0:00,2,0:00,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/statistics/15346/1-tpe-vs-tha,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15346/1-tpe-vs-tha
11,TANG Yi-Cheng,TPE,True,D,0,0,0,2,0,3.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/statistics/15346/1-tpe-vs-tha,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15346/1-tpe-vs-tha
18,CHANG Wei-Ting,TPE,True,D,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/statistics/15346/1-tpe-vs-tha,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15346/1-tpe-vs-tha
24,HSIAO Po-Yuan,TPE,True,F,1,0,1,2,1,1.0,0:00,0.0,0:00,0,0:00,0,0:00,1,0:00,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/statistics/15346/1-tpe-vs-tha,https://www.iihf.com//en/events/2020/ogqp1o/gamecenter/playbyplay/15346/1-tpe-vs-tha
