jersey_number,Name,Pos,line_number,team,home,lineups_url,game_url
20.0,DUKARIC Pia,GK,0,SLO,True,https://www.iihf.com//en/events/2022/ogqp2f/gamecenter/lineup/28878/1-slo-vs-kor,https://www.iihf.com//en/events/2022/ogqp2f/gamecenter/playbyplay/28878/1-slo-vs-kor
25.0,DOVZAN Nusa,GK,0,SLO,True,https://www.iihf.com//en/events/2022/ogqp2f/gamecenter/lineup/28878/1-slo-vs-kor,https://www.iihf.com//en/events/2022/ogqp2f/gamecenter/playbyplay/28878/1-slo-vs-kor
9.0,LONCAR Nina,D,1,SLO,True,https://www.iihf.com//en/events/2022/ogqp2f/gamecenter/lineup/28878/1-slo-vs-kor,https://www.iihf.com//en/events/2022/ogqp2f/gamecenter/playbyplay/28878/1-slo-vs-kor
14.0,POREKAR Nusa,D,1,SLO,True,https://www.iihf.com//en/events/2022/ogqp2f/gamecenter/lineup/28878/1-slo-vs-kor,https://www.iihf.com//en/events/2022/ogqp2f/gamecenter/playbyplay/28878/1-slo-vs-kor
8.0,CONFIDENTI Sara,F,1,SLO,True,https://www.iihf.com//en/events/2022/ogqp2f/gamecenter/lineup/28878/1-slo-vs-kor,https://www.iihf.com//en/events/2022/ogqp2f/gamecenter/playbyplay/28878/1-slo-vs-kor
15.0,PREN Pia,F,1,SLO,True,https://www.iihf.com//en/events/2022/ogqp2f/gamecenter/lineup/28878/1-slo-vs-kor,https://www.iihf.com//en/events/2022/ogqp2f/gamecenter/playbyplay/28878/1-slo-vs-kor
17.0,BLAZINSEK Julija,F,1,SLO,True,https://www.iihf.com//en/events/2022/ogqp2f/gamecenter/lineup/28878/1-slo-vs-kor,https://www.iihf.com//en/events/2022/ogqp2f/gamecenter/playbyplay/28878/1-slo-vs-kor
3.0,USNIK Patricija,D,2,SLO,True,https://www.iihf.com//en/events/2022/ogqp2f/gamecenter/lineup/28878/1-slo-vs-kor,https://www.iihf.com//en/events/2022/ogqp2f/gamecenter/playbyplay/28878/1-slo-vs-kor
10.0,BISCAK Katja,D,2,SLO,True,https://www.iihf.com//en/events/2022/ogqp2f/gamecenter/lineup/28878/1-slo-vs-kor,https://www.iihf.com//en/events/2022/ogqp2f/gamecenter/playbyplay/28878/1-slo-vs-kor
21.0,MAVER Nina,F,2,SLO,True,https://www.iihf.com//en/events/2022/ogqp2f/gamecenter/lineup/28878/1-slo-vs-kor,https://www.iihf.com//en/events/2022/ogqp2f/gamecenter/playbyplay/28878/1-slo-vs-kor
24.0,PAZLAR Ursa,F,2,SLO,True,https://www.iihf.com//en/events/2022/ogqp2f/gamecenter/lineup/28878/1-slo-vs-kor,https://www.iihf.com//en/events/2022/ogqp2f/gamecenter/playbyplay/28878/1-slo-vs-kor
6.0,DUKARIC Eva,F,2,SLO,True,https://www.iihf.com//en/events/2022/ogqp2f/gamecenter/lineup/28878/1-slo-vs-kor,https://www.iihf.com//en/events/2022/ogqp2f/gamecenter/playbyplay/28878/1-slo-vs-kor
4.0,BERIBAK Patricija,D,3,SLO,True,https://www.iihf.com//en/events/2022/ogqp2f/gamecenter/lineup/28878/1-slo-vs-kor,https://www.iihf.com//en/events/2022/ogqp2f/gamecenter/playbyplay/28878/1-slo-vs-kor
18.0,SVETINA Tamara,D,3,SLO,True,https://www.iihf.com//en/events/2022/ogqp2f/gamecenter/lineup/28878/1-slo-vs-kor,https://www.iihf.com//en/events/2022/ogqp2f/gamecenter/playbyplay/28878/1-slo-vs-kor
16.0,BREZNIK Tamara,F,3,SLO,True,https://www.iihf.com//en/events/2022/ogqp2f/gamecenter/lineup/28878/1-slo-vs-kor,https://www.iihf.com//en/events/2022/ogqp2f/gamecenter/playbyplay/28878/1-slo-vs-kor
7.0,GLAVIC Deja,F,3,SLO,True,https://www.iihf.com//en/events/2022/ogqp2f/gamecenter/lineup/28878/1-slo-vs-kor,https://www.iihf.com//en/events/2022/ogqp2f/gamecenter/playbyplay/28878/1-slo-vs-kor
19.0,PEZDIR Gaja,F,3,SLO,True,https://www.iihf.com//en/events/2022/ogqp2f/gamecenter/lineup/28878/1-slo-vs-kor,https://www.iihf.com//en/events/2022/ogqp2f/gamecenter/playbyplay/28878/1-slo-vs-kor
