jersey_number,name,team,home,pos,sog,ga,svs,svs%,statistics_url,game_url
20,DMITRIEVA Darya,KAZ,True,GK,16,1,15,93.75,https://www.iihf.com//en/events/2022/ogqp2g/gamecenter/statistics/28909/1-kaz-vs-tpe,https://www.iihf.com//en/events/2022/ogqp2g/gamecenter/playbyplay/28909/1-kaz-vs-tpe
25,SHYOKOLOVA Arina,KAZ,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/ogqp2g/gamecenter/statistics/28909/1-kaz-vs-tpe,https://www.iihf.com//en/events/2022/ogqp2g/gamecenter/playbyplay/28909/1-kaz-vs-tpe
20,HSU Tzu-Ting,TPE,False,GK,59,7,52,88.14,https://www.iihf.com//en/events/2022/ogqp2g/gamecenter/statistics/28909/1-kaz-vs-tpe,https://www.iihf.com//en/events/2022/ogqp2g/gamecenter/playbyplay/28909/1-kaz-vs-tpe
25,WANG Yun-Tzu,TPE,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/ogqp2g/gamecenter/statistics/28909/1-kaz-vs-tpe,https://www.iihf.com//en/events/2022/ogqp2g/gamecenter/playbyplay/28909/1-kaz-vs-tpe
1,MORENO Carolina,ESP,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/ogqp2g/gamecenter/statistics/28910/2-esp-vs-ita,https://www.iihf.com//en/events/2022/ogqp2g/gamecenter/playbyplay/28910/2-esp-vs-ita
20,GONZALO Alba,ESP,True,GK,46,4,42,91.3,https://www.iihf.com//en/events/2022/ogqp2g/gamecenter/statistics/28910/2-esp-vs-ita,https://www.iihf.com//en/events/2022/ogqp2g/gamecenter/playbyplay/28910/2-esp-vs-ita
20,BIONDI Elisa,ITA,False,GK,16,1,15,93.75,https://www.iihf.com//en/events/2022/ogqp2g/gamecenter/statistics/28910/2-esp-vs-ita,https://www.iihf.com//en/events/2022/ogqp2g/gamecenter/playbyplay/28910/2-esp-vs-ita
25,FEDEL Martina,ITA,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/ogqp2g/gamecenter/statistics/28910/2-esp-vs-ita,https://www.iihf.com//en/events/2022/ogqp2g/gamecenter/playbyplay/28910/2-esp-vs-ita
20,DMITRIEVA Darya,KAZ,True,GK,9,0,9,100.0,https://www.iihf.com//en/events/2022/ogqp2g/gamecenter/statistics/28911/3-kaz-vs-esp,https://www.iihf.com//en/events/2022/ogqp2g/gamecenter/playbyplay/28911/3-kaz-vs-esp
25,SHYOKOLOVA Arina,KAZ,True,GK,4,2,2,50.0,https://www.iihf.com//en/events/2022/ogqp2g/gamecenter/statistics/28911/3-kaz-vs-esp,https://www.iihf.com//en/events/2022/ogqp2g/gamecenter/playbyplay/28911/3-kaz-vs-esp
1,MORENO Carolina,ESP,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/ogqp2g/gamecenter/statistics/28911/3-kaz-vs-esp,https://www.iihf.com//en/events/2022/ogqp2g/gamecenter/playbyplay/28911/3-kaz-vs-esp
20,GONZALO Alba,ESP,False,GK,38,2,36,94.74,https://www.iihf.com//en/events/2022/ogqp2g/gamecenter/statistics/28911/3-kaz-vs-esp,https://www.iihf.com//en/events/2022/ogqp2g/gamecenter/playbyplay/28911/3-kaz-vs-esp
1,GIRARDI Ilaria,ITA,True,GK,2,0,2,100.0,https://www.iihf.com//en/events/2022/ogqp2g/gamecenter/statistics/28912/4-ita-vs-tpe,https://www.iihf.com//en/events/2022/ogqp2g/gamecenter/playbyplay/28912/4-ita-vs-tpe
25,FEDEL Martina,ITA,True,GK,4,0,4,100.0,https://www.iihf.com//en/events/2022/ogqp2g/gamecenter/statistics/28912/4-ita-vs-tpe,https://www.iihf.com//en/events/2022/ogqp2g/gamecenter/playbyplay/28912/4-ita-vs-tpe
