jersey_number,name,team,home,pos,g,a,p,pim,ts,+/-,tot,shf,avg,ts_1,tot_1,ts_2,tot_2,ts_3,tot_3,statistics_url,game_url,ts_4,tot_4,ts_5,tot_5
5,ALDABERGENOVA Malika,KAZ,True,F,0,0,0,4,4,0.0,0:00,0.0,0:00,1,0:00,1,0:00,2,0:00,https://www.iihf.com//en/events/2022/ogqp2g/gamecenter/statistics/28909/1-kaz-vs-tpe,https://www.iihf.com//en/events/2022/ogqp2g/gamecenter/playbyplay/28909/1-kaz-vs-tpe,,,,
7,ASHIMOVA Pernesh,KAZ,True,F,0,0,0,0,1,0.0,0:00,0.0,0:00,0,0:00,0,0:00,1,0:00,https://www.iihf.com//en/events/2022/ogqp2g/gamecenter/statistics/28909/1-kaz-vs-tpe,https://www.iihf.com//en/events/2022/ogqp2g/gamecenter/playbyplay/28909/1-kaz-vs-tpe,,,,
9,TURSYNOVA Madina,KAZ,True,F,0,0,0,0,6,0.0,0:00,0.0,0:00,0,0:00,3,0:00,3,0:00,https://www.iihf.com//en/events/2022/ogqp2g/gamecenter/statistics/28909/1-kaz-vs-tpe,https://www.iihf.com//en/events/2022/ogqp2g/gamecenter/playbyplay/28909/1-kaz-vs-tpe,,,,
15,PYATKOVA Anna,KAZ,True,D,0,0,0,0,3,0.0,0:00,0.0,0:00,2,0:00,0,0:00,1,0:00,https://www.iihf.com//en/events/2022/ogqp2g/gamecenter/statistics/28909/1-kaz-vs-tpe,https://www.iihf.com//en/events/2022/ogqp2g/gamecenter/playbyplay/28909/1-kaz-vs-tpe,,,,
17,OLZHABAYEVA Aida,KAZ,True,D,0,0,0,0,5,0.0,0:00,0.0,0:00,0,0:00,2,0:00,3,0:00,https://www.iihf.com//en/events/2022/ogqp2g/gamecenter/statistics/28909/1-kaz-vs-tpe,https://www.iihf.com//en/events/2022/ogqp2g/gamecenter/playbyplay/28909/1-kaz-vs-tpe,,,,
6,McLEAN Erin Monique,KAZ,True,D,0,1,1,0,3,4.0,0:00,0.0,0:00,0,0:00,1,0:00,2,0:00,https://www.iihf.com//en/events/2022/ogqp2g/gamecenter/statistics/28909/1-kaz-vs-tpe,https://www.iihf.com//en/events/2022/ogqp2g/gamecenter/playbyplay/28909/1-kaz-vs-tpe,,,,
11,SENGER Kalista Doris Marlene,KAZ,True,D,0,1,1,0,3,4.0,0:00,0.0,0:00,1,0:00,1,0:00,1,0:00,https://www.iihf.com//en/events/2022/ogqp2g/gamecenter/statistics/28909/1-kaz-vs-tpe,https://www.iihf.com//en/events/2022/ogqp2g/gamecenter/playbyplay/28909/1-kaz-vs-tpe,,,,
12,BROAD Kendra Lynne,KAZ,True,F,2,0,2,0,4,4.0,0:00,0.0,0:00,0,0:00,2,0:00,2,0:00,https://www.iihf.com//en/events/2022/ogqp2g/gamecenter/statistics/28909/1-kaz-vs-tpe,https://www.iihf.com//en/events/2022/ogqp2g/gamecenter/playbyplay/28909/1-kaz-vs-tpe,,,,
21,BERNDSEN Breanna Lynn,KAZ,True,F,2,0,2,0,5,4.0,0:00,0.0,0:00,3,0:00,2,0:00,0,0:00,https://www.iihf.com//en/events/2022/ogqp2g/gamecenter/statistics/28909/1-kaz-vs-tpe,https://www.iihf.com//en/events/2022/ogqp2g/gamecenter/playbyplay/28909/1-kaz-vs-tpe,,,,
22,RIOUX Roxanne,KAZ,True,F,1,1,2,0,7,4.0,0:00,0.0,0:00,4,0:00,2,0:00,1,0:00,https://www.iihf.com//en/events/2022/ogqp2g/gamecenter/statistics/28909/1-kaz-vs-tpe,https://www.iihf.com//en/events/2022/ogqp2g/gamecenter/playbyplay/28909/1-kaz-vs-tpe,,,,
