period,team,shooter_number,opponent,goalie_number,x,y,shot_chart_url,team1,team2,game_url
1,POL,5,TUR,1,5.493915524354538,3.590731043251279,https://www.iihf.com//pdf/964/ihw964901_77a_3_0,POL,TUR,https://www.iihf.com//en/events/2022/ogqp2h/gamecenter/playbyplay/28886/1-pol-vs-tur
1,POL,17,TUR,1,0.4224406108597285,0.523568110088326,https://www.iihf.com//pdf/964/ihw964901_77a_3_0,POL,TUR,https://www.iihf.com//en/events/2022/ogqp2h/gamecenter/playbyplay/28886/1-pol-vs-tur
1,POL,24,TUR,1,1.056378094224115,0.1781085150854524,https://www.iihf.com//pdf/964/ihw964901_77a_3_0,POL,TUR,https://www.iihf.com//en/events/2022/ogqp2h/gamecenter/playbyplay/28886/1-pol-vs-tur
1,POL,16,TUR,1,1.615729804365185,3.517373073181382,https://www.iihf.com//pdf/964/ihw964901_77a_3_0,POL,TUR,https://www.iihf.com//en/events/2022/ogqp2h/gamecenter/playbyplay/28886/1-pol-vs-tur
1,POL,12,TUR,1,5.232886112589832,3.5175480560844283,https://www.iihf.com//pdf/964/ihw964901_77a_3_0,POL,TUR,https://www.iihf.com//en/events/2022/ogqp2h/gamecenter/playbyplay/28886/1-pol-vs-tur
2,POL,7,TUR,1,1.317407569270844,0.4435629301663031,https://www.iihf.com//pdf/964/ihw964901_77a_3_0,POL,TUR,https://www.iihf.com//en/events/2022/ogqp2h/gamecenter/playbyplay/28886/1-pol-vs-tur
2,POL,24,TUR,1,2.398824486366946,0.2164929145302165,https://www.iihf.com//pdf/964/ihw964901_77a_3_0,POL,TUR,https://www.iihf.com//en/events/2022/ogqp2h/gamecenter/playbyplay/28886/1-pol-vs-tur
2,POL,7,TUR,1,3.8158533529587295,0.2900258675031599,https://www.iihf.com//pdf/964/ihw964901_77a_3_0,POL,TUR,https://www.iihf.com//en/events/2022/ogqp2h/gamecenter/playbyplay/28886/1-pol-vs-tur
2,POL,7,TUR,1,-0.0250412684373653,1.2496347833904302,https://www.iihf.com//pdf/964/ihw964901_77a_3_0,POL,TUR,https://www.iihf.com//en/events/2022/ogqp2h/gamecenter/playbyplay/28886/1-pol-vs-tur
2,POL,22,TUR,1,4.4870782916755765,0.101339716195925,https://www.iihf.com//pdf/964/ihw964901_77a_3_0,POL,TUR,https://www.iihf.com//en/events/2022/ogqp2h/gamecenter/playbyplay/28886/1-pol-vs-tur
3,POL,24,TUR,1,5.158304498269896,0.7154895721962333,https://www.iihf.com//pdf/964/ihw964901_77a_3_0,POL,TUR,https://www.iihf.com//en/events/2022/ogqp2h/gamecenter/playbyplay/28886/1-pol-vs-tur
3,POL,14,TUR,1,4.971852541921746,3.9013920505320656,https://www.iihf.com//pdf/964/ihw964901_77a_3_0,POL,TUR,https://www.iihf.com//en/events/2022/ogqp2h/gamecenter/playbyplay/28886/1-pol-vs-tur
1,NED,4,MEX,1,2.771726710235785,3.631501524545232,https://www.iihf.com//pdf/964/ihw964902_77a_3_0,NED,MEX,https://www.iihf.com//en/events/2022/ogqp2h/gamecenter/playbyplay/28887/2-ned-vs-mex
2,MEX,12,NED,20,5.419334111279046,1.4447926265308326,https://www.iihf.com//pdf/964/ihw964902_77a_3_0,NED,MEX,https://www.iihf.com//en/events/2022/ogqp2h/gamecenter/playbyplay/28887/2-ned-vs-mex
2,NED,10,MEX,1,4.300630489752463,1.598155241406841,https://www.iihf.com//pdf/964/ihw964902_77a_3_0,NED,MEX,https://www.iihf.com//en/events/2022/ogqp2h/gamecenter/playbyplay/28887/2-ned-vs-mex
2,NED,7,MEX,1,4.076885646792654,3.8597712700548064,https://www.iihf.com//pdf/964/ihw964902_77a_3_0,NED,MEX,https://www.iihf.com//en/events/2022/ogqp2h/gamecenter/playbyplay/28887/2-ned-vs-mex
3,NED,17,MEX,1,2.883598053218002,0.2164929145302165,https://www.iihf.com//pdf/964/ihw964902_77a_3_0,NED,MEX,https://www.iihf.com//en/events/2022/ogqp2h/gamecenter/playbyplay/28887/2-ned-vs-mex
3,NED,9,MEX,1,0.7207634392316845,1.2143112469592037,https://www.iihf.com//pdf/964/ihw964902_77a_3_0,NED,MEX,https://www.iihf.com//en/events/2022/ogqp2h/gamecenter/playbyplay/28887/2-ned-vs-mex
3,NED,16,MEX,1,0.3478609554314739,0.3314711299614608,https://www.iihf.com//pdf/964/ihw964902_77a_3_0,NED,MEX,https://www.iihf.com//en/events/2022/ogqp2h/gamecenter/playbyplay/28887/2-ned-vs-mex
