jersey_number,Name,Pos,line_number,team,home,lineups_url,game_url
20.0,KOSINSKA Agata,GK,0,POL,True,https://www.iihf.com//en/events/2022/ogqp2h/gamecenter/lineup/28886/1-pol-vs-tur,https://www.iihf.com//en/events/2022/ogqp2h/gamecenter/playbyplay/28886/1-pol-vs-tur
1.0,SASS Martyna,GK,0,POL,True,https://www.iihf.com//en/events/2022/ogqp2h/gamecenter/lineup/28886/1-pol-vs-tur,https://www.iihf.com//en/events/2022/ogqp2h/gamecenter/playbyplay/28886/1-pol-vs-tur
21.0,CHRAPEK Klaudia,D,1,POL,True,https://www.iihf.com//en/events/2022/ogqp2h/gamecenter/lineup/28886/1-pol-vs-tur,https://www.iihf.com//en/events/2022/ogqp2h/gamecenter/playbyplay/28886/1-pol-vs-tur
9.0,SFORA Patrycja,D,1,POL,True,https://www.iihf.com//en/events/2022/ogqp2h/gamecenter/lineup/28886/1-pol-vs-tur,https://www.iihf.com//en/events/2022/ogqp2h/gamecenter/playbyplay/28886/1-pol-vs-tur
7.0,POZNIEWSKA Karolina,F,1,POL,True,https://www.iihf.com//en/events/2022/ogqp2h/gamecenter/lineup/28886/1-pol-vs-tur,https://www.iihf.com//en/events/2022/ogqp2h/gamecenter/playbyplay/28886/1-pol-vs-tur
16.0,CZARNECKA Ewelina,F,1,POL,True,https://www.iihf.com//en/events/2022/ogqp2h/gamecenter/lineup/28886/1-pol-vs-tur,https://www.iihf.com//en/events/2022/ogqp2h/gamecenter/playbyplay/28886/1-pol-vs-tur
4.0,LAPIES Magdalena,F,1,POL,True,https://www.iihf.com//en/events/2022/ogqp2h/gamecenter/lineup/28886/1-pol-vs-tur,https://www.iihf.com//en/events/2022/ogqp2h/gamecenter/playbyplay/28886/1-pol-vs-tur
2.0,GOGOC Wiktoria,D,2,POL,True,https://www.iihf.com//en/events/2022/ogqp2h/gamecenter/lineup/28886/1-pol-vs-tur,https://www.iihf.com//en/events/2022/ogqp2h/gamecenter/playbyplay/28886/1-pol-vs-tur
5.0,ZIELINSKA Julia,D,2,POL,True,https://www.iihf.com//en/events/2022/ogqp2h/gamecenter/lineup/28886/1-pol-vs-tur,https://www.iihf.com//en/events/2022/ogqp2h/gamecenter/playbyplay/28886/1-pol-vs-tur
14.0,TOMCZOK Olivia,F,2,POL,True,https://www.iihf.com//en/events/2022/ogqp2h/gamecenter/lineup/28886/1-pol-vs-tur,https://www.iihf.com//en/events/2022/ogqp2h/gamecenter/playbyplay/28886/1-pol-vs-tur
12.0,WIECZOREK Kamila,F,2,POL,True,https://www.iihf.com//en/events/2022/ogqp2h/gamecenter/lineup/28886/1-pol-vs-tur,https://www.iihf.com//en/events/2022/ogqp2h/gamecenter/playbyplay/28886/1-pol-vs-tur
24.0,SIKORSKA Wiktoria,F,2,POL,True,https://www.iihf.com//en/events/2022/ogqp2h/gamecenter/lineup/28886/1-pol-vs-tur,https://www.iihf.com//en/events/2022/ogqp2h/gamecenter/playbyplay/28886/1-pol-vs-tur
11.0,KORKUZ Dominika,D,3,POL,True,https://www.iihf.com//en/events/2022/ogqp2h/gamecenter/lineup/28886/1-pol-vs-tur,https://www.iihf.com//en/events/2022/ogqp2h/gamecenter/playbyplay/28886/1-pol-vs-tur
23.0,STRZELECKA Joanna,D,3,POL,True,https://www.iihf.com//en/events/2022/ogqp2h/gamecenter/lineup/28886/1-pol-vs-tur,https://www.iihf.com//en/events/2022/ogqp2h/gamecenter/playbyplay/28886/1-pol-vs-tur
19.0,ORAWSKA Joanna,F,3,POL,True,https://www.iihf.com//en/events/2022/ogqp2h/gamecenter/lineup/28886/1-pol-vs-tur,https://www.iihf.com//en/events/2022/ogqp2h/gamecenter/playbyplay/28886/1-pol-vs-tur
17.0,TALANDA Ida,F,3,POL,True,https://www.iihf.com//en/events/2022/ogqp2h/gamecenter/lineup/28886/1-pol-vs-tur,https://www.iihf.com//en/events/2022/ogqp2h/gamecenter/playbyplay/28886/1-pol-vs-tur
10.0,LASKAWSKA Sylwia,F,3,POL,True,https://www.iihf.com//en/events/2022/ogqp2h/gamecenter/lineup/28886/1-pol-vs-tur,https://www.iihf.com//en/events/2022/ogqp2h/gamecenter/playbyplay/28886/1-pol-vs-tur
13.0,LAPINSKA Julia,F,4,POL,True,https://www.iihf.com//en/events/2022/ogqp2h/gamecenter/lineup/28886/1-pol-vs-tur,https://www.iihf.com//en/events/2022/ogqp2h/gamecenter/playbyplay/28886/1-pol-vs-tur
15.0,WCISLO Alicja,D,4,POL,True,https://www.iihf.com//en/events/2022/ogqp2h/gamecenter/lineup/28886/1-pol-vs-tur,https://www.iihf.com//en/events/2022/ogqp2h/gamecenter/playbyplay/28886/1-pol-vs-tur
22.0,DZIWOK Wiktoria,F,4,POL,True,https://www.iihf.com//en/events/2022/ogqp2h/gamecenter/lineup/28886/1-pol-vs-tur,https://www.iihf.com//en/events/2022/ogqp2h/gamecenter/playbyplay/28886/1-pol-vs-tur
