jersey_number,name,team,home,pos,sog,ga,svs,svs%,statistics_url,game_url
1,NEMETH Aniko,HUN,True,GK,21,1,20,95.24,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/statistics/29950/1-hun-vs-pol,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/playbyplay/29950/1-hun-vs-pol
25,SZABO Fruzsina,HUN,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/statistics/29950/1-hun-vs-pol,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/playbyplay/29950/1-hun-vs-pol
1,SASS Martyna,POL,False,GK,53,11,42,79.25,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/statistics/29950/1-hun-vs-pol,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/playbyplay/29950/1-hun-vs-pol
20,KOSINSKA Agata,POL,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/statistics/29950/1-hun-vs-pol,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/playbyplay/29950/1-hun-vs-pol
1,SVEJDOVA Viktorie,CZE,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/statistics/29951/2-cze-vs-nor,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/playbyplay/29951/2-cze-vs-nor
29,PESLAROVA Klara,CZE,True,GK,7,1,6,85.71,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/statistics/29951/2-cze-vs-nor,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/playbyplay/29951/2-cze-vs-nor
1,NYSTROM Ena,NOR,False,GK,43,3,40,93.02,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/statistics/29951/2-cze-vs-nor,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/playbyplay/29951/2-cze-vs-nor
20,HOLTERUD OLSSON Linnea,NOR,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/statistics/29951/2-cze-vs-nor,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/playbyplay/29951/2-cze-vs-nor
1,SASS Martyna,POL,True,GK,46,11,35,76.09,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/statistics/29952/3-pol-vs-cze,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/playbyplay/29952/3-pol-vs-cze
20,KOSINSKA Agata,POL,True,GK,11,5,6,54.55,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/statistics/29952/3-pol-vs-cze,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/playbyplay/29952/3-pol-vs-cze
