period,team,shooter_number,opponent,goalie_number,x,y,shot_chart_url,team1,team2,game_url
1,HUN,18,POL,1,1.354697583712631,3.747679469849964,https://www.iihf.com//pdf/965/ihw965901_77a_3_0,HUN,POL,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/playbyplay/29950/1-hun-vs-pol
1,HUN,88,POL,1,0.571602601670423,3.8628332033001667,https://www.iihf.com//pdf/965/ihw965901_77a_3_0,HUN,POL,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/playbyplay/29950/1-hun-vs-pol
1,HUN,96,POL,1,5.121012436156523,3.709295605521112,https://www.iihf.com//pdf/965/ihw965901_77a_3_0,HUN,POL,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/playbyplay/29950/1-hun-vs-pol
1,POL,24,HUN,1,3.0700484096353473,0.3700305123092713,https://www.iihf.com//pdf/965/ihw965901_77a_3_0,HUN,POL,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/playbyplay/29950/1-hun-vs-pol
2,HUN,88,POL,1,0.2732815411232366,2.3274582957414403,https://www.iihf.com//pdf/965/ihw965901_77a_3_0,HUN,POL,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/playbyplay/29950/1-hun-vs-pol
2,HUN,82,POL,1,0.16141119909502263,2.097151899072858,https://www.iihf.com//pdf/965/ihw965901_77a_3_0,HUN,POL,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/playbyplay/29950/1-hun-vs-pol
2,HUN,4,POL,1,3.1073412962470055,3.8618079212138143,https://www.iihf.com//pdf/965/ihw965901_77a_3_0,HUN,POL,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/playbyplay/29950/1-hun-vs-pol
2,HUN,8,POL,1,2.6225670415224913,3.3254516110734746,https://www.iihf.com//pdf/965/ihw965901_77a_3_0,HUN,POL,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/playbyplay/29950/1-hun-vs-pol
3,HUN,4,POL,1,0.571602601670423,1.558746094991636,https://www.iihf.com//pdf/965/ihw965901_77a_3_0,HUN,POL,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/playbyplay/29950/1-hun-vs-pol
3,HUN,10,POL,1,0.571602601670423,2.5577646924100232,https://www.iihf.com//pdf/965/ihw965901_77a_3_0,HUN,POL,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/playbyplay/29950/1-hun-vs-pol
3,HUN,82,POL,1,5.121012436156523,0.13954913273764236,https://www.iihf.com//pdf/965/ihw965901_77a_3_0,HUN,POL,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/playbyplay/29950/1-hun-vs-pol
