jersey_number,Name,Pos,line_number,team,home,lineups_url,game_url
1.0,NEMETH Aniko,GK,0,HUN,True,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/lineup/29950/1-hun-vs-pol,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/playbyplay/29950/1-hun-vs-pol
25.0,SZABO Fruzsina,GK,0,HUN,True,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/lineup/29950/1-hun-vs-pol,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/playbyplay/29950/1-hun-vs-pol
14.0,KISS-SIMON Franciska,D,1,HUN,True,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/lineup/29950/1-hun-vs-pol,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/playbyplay/29950/1-hun-vs-pol
17.0,TOTH Eniko,D,1,HUN,True,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/lineup/29950/1-hun-vs-pol,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/playbyplay/29950/1-hun-vs-pol
11.0,GASPARICS Fanni,F,1,HUN,True,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/lineup/29950/1-hun-vs-pol,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/playbyplay/29950/1-hun-vs-pol
88.0,KREISZ Emma,F,1,HUN,True,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/lineup/29950/1-hun-vs-pol,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/playbyplay/29950/1-hun-vs-pol
8.0,SZAMOSFALVI Petra,F,1,HUN,True,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/lineup/29950/1-hun-vs-pol,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/playbyplay/29950/1-hun-vs-pol
2.0,NEMETH Bernadett,D,2,HUN,True,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/lineup/29950/1-hun-vs-pol,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/playbyplay/29950/1-hun-vs-pol
13.0,ODNOGA Lotti,D,2,HUN,True,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/lineup/29950/1-hun-vs-pol,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/playbyplay/29950/1-hun-vs-pol
10.0,HORVATH Imola,F,2,HUN,True,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/lineup/29950/1-hun-vs-pol,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/playbyplay/29950/1-hun-vs-pol
3.0,WILLIAMS Hayley,F,2,HUN,True,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/lineup/29950/1-hun-vs-pol,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/playbyplay/29950/1-hun-vs-pol
97.0,JOKAI-SZILAGYI Kinga,F,2,HUN,True,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/lineup/29950/1-hun-vs-pol,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/playbyplay/29950/1-hun-vs-pol
96.0,KNEE Sarah,D,3,HUN,True,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/lineup/29950/1-hun-vs-pol,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/playbyplay/29950/1-hun-vs-pol
4.0,BAKER Taylor,D,3,HUN,True,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/lineup/29950/1-hun-vs-pol,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/playbyplay/29950/1-hun-vs-pol
82.0,SEREGELY Mira,F,3,HUN,True,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/lineup/29950/1-hun-vs-pol,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/playbyplay/29950/1-hun-vs-pol
18.0,HUSZAK Alexandra,F,3,HUN,True,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/lineup/29950/1-hun-vs-pol,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/playbyplay/29950/1-hun-vs-pol
