jersey_number,name,team,home,pos,g,a,p,pim,ts,+/-,tot,shf,avg,ts_1,tot_1,ts_2,tot_2,ts_3,tot_3,statistics_url,game_url
8,SZAMOSFALVI Petra,HUN,True,F,1,0,1,0,3,3.0,0:00,0.0,0:00,0,0:00,2,0:00,1,0:00,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/statistics/29950/1-hun-vs-pol,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/playbyplay/29950/1-hun-vs-pol
11,GASPARICS Fanni,HUN,True,F,0,0,0,0,1,3.0,0:00,0.0,0:00,1,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/statistics/29950/1-hun-vs-pol,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/playbyplay/29950/1-hun-vs-pol
14,KISS-SIMON Franciska,HUN,True,D,0,0,0,0,0,1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/statistics/29950/1-hun-vs-pol,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/playbyplay/29950/1-hun-vs-pol
17,TOTH Eniko,HUN,True,D,0,0,0,2,2,1.0,0:00,0.0,0:00,2,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/statistics/29950/1-hun-vs-pol,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/playbyplay/29950/1-hun-vs-pol
88,KREISZ Emma,HUN,True,F,2,1,3,0,7,3.0,0:00,0.0,0:00,4,0:00,2,0:00,1,0:00,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/statistics/29950/1-hun-vs-pol,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/playbyplay/29950/1-hun-vs-pol
2,NEMETH Bernadett,HUN,True,D,0,0,0,2,2,0.0,0:00,0.0,0:00,1,0:00,1,0:00,0,0:00,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/statistics/29950/1-hun-vs-pol,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/playbyplay/29950/1-hun-vs-pol
3,WILLIAMS Hayley,HUN,True,F,0,1,1,0,6,1.0,0:00,0.0,0:00,4,0:00,1,0:00,1,0:00,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/statistics/29950/1-hun-vs-pol,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/playbyplay/29950/1-hun-vs-pol
10,HORVATH Imola,HUN,True,F,1,0,1,2,1,1.0,0:00,0.0,0:00,0,0:00,0,0:00,1,0:00,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/statistics/29950/1-hun-vs-pol,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/playbyplay/29950/1-hun-vs-pol
13,ODNOGA Lotti,HUN,True,D,0,0,0,2,2,1.0,0:00,0.0,0:00,2,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/statistics/29950/1-hun-vs-pol,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/playbyplay/29950/1-hun-vs-pol
97,JOKAI-SZILAGYI Kinga,HUN,True,F,1,0,1,0,3,2.0,0:00,0.0,0:00,2,0:00,1,0:00,0,0:00,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/statistics/29950/1-hun-vs-pol,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/playbyplay/29950/1-hun-vs-pol
4,BAKER Taylor,HUN,True,D,2,2,4,2,5,6.0,0:00,0.0,0:00,2,0:00,2,0:00,1,0:00,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/statistics/29950/1-hun-vs-pol,https://www.iihf.com//en/events/2022/ogqp3c/gamecenter/playbyplay/29950/1-hun-vs-pol
