jersey_number,name,team,home,pos,sog,ga,svs,svs%,statistics_url,game_url
35,ABSTREITER Sandra,GER,True,GK,23,3,20,86.96,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/statistics/29968/1-ger-vs-aut,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut
95,ALBL Franziska,GER,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/statistics/29968/1-ger-vs-aut,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut
25,LUGGIN Selma,AUT,False,GK,20,0,20,100.0,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/statistics/29968/1-ger-vs-aut,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut
30,EKRT Jessica,AUT,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/statistics/29968/1-ger-vs-aut,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut
25,REPSTOCK-ROMME Cassandra,DEN,True,GK,19,0,19,100.0,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/statistics/29969/2-den-vs-ita,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29969/2-den-vs-ita
30,JENSEN Lisa,DEN,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/statistics/29969/2-den-vs-ita,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29969/2-den-vs-ita
20,BIONDI Elisa,ITA,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/statistics/29969/2-den-vs-ita,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29969/2-den-vs-ita
25,FEDEL Martina,ITA,False,GK,36,4,32,88.89,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/statistics/29969/2-den-vs-ita,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29969/2-den-vs-ita
20,BIONDI Elisa,ITA,True,GK,39,4,35,89.74,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/statistics/29970/3-ita-vs-ger,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29970/3-ita-vs-ger
25,FEDEL Martina,ITA,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/statistics/29970/3-ita-vs-ger,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29970/3-ita-vs-ger
35,ABSTREITER Sandra,GER,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/statistics/29970/3-ita-vs-ger,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29970/3-ita-vs-ger
95,ALBL Franziska,GER,False,GK,11,1,10,90.91,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/statistics/29970/3-ita-vs-ger,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29970/3-ita-vs-ger
25,REPSTOCK-ROMME Cassandra,DEN,True,GK,11,0,11,100.0,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/statistics/29971/4-den-vs-aut,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29971/4-den-vs-aut
30,JENSEN Lisa,DEN,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/statistics/29971/4-den-vs-aut,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29971/4-den-vs-aut
25,LUGGIN Selma,AUT,False,GK,24,1,23,95.83,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/statistics/29971/4-den-vs-aut,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29971/4-den-vs-aut
30,EKRT Jessica,AUT,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/statistics/29971/4-den-vs-aut,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29971/4-den-vs-aut
35,ABSTREITER Sandra,GER,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/statistics/29972/5-ger-vs-den,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29972/5-ger-vs-den
95,ALBL Franziska,GER,True,GK,21,2,19,90.48,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/statistics/29972/5-ger-vs-den,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29972/5-ger-vs-den
