jersey_number,Name,Pos,line_number,team,home,lineups_url,game_url
35.0,ABSTREITER Sandra,GK,0,GER,True,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/lineup/29968/1-ger-vs-aut,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut
95.0,ALBL Franziska,GK,0,GER,True,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/lineup/29968/1-ger-vs-aut,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut
23.0,EISENSCHMID Tanja,D,1,GER,True,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/lineup/29968/1-ger-vs-aut,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut
28.0,JOBST-SMITH Katarina,D,1,GER,True,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/lineup/29968/1-ger-vs-aut,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut
36.0,WEIDENFELDER Sonja,F,1,GER,True,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/lineup/29968/1-ger-vs-aut,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut
25.0,KLUGE Laura,F,1,GER,True,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/lineup/29968/1-ger-vs-aut,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut
26.0,BARTSCH Anne,F,1,GER,True,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/lineup/29968/1-ger-vs-aut,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut
9.0,ORENDORZ Rebecca,D,2,GER,True,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/lineup/29968/1-ger-vs-aut,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut
12.0,REICH Anna,D,2,GER,True,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/lineup/29968/1-ger-vs-aut,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut
7.0,FELDMEIER Franziska,F,2,GER,True,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/lineup/29968/1-ger-vs-aut,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut
