period,team,player_number,shot_type,x,y,shot_chart_url,team1,team2,game_url
1,AUT,23,Shot,63.323220693189654,11.93758593805208,https://www.iihf.com//pdf/966/ihw966901_77a_3_0,GER,AUT,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut
1,AUT,4,Shot,71.37173833897285,8.246932686437809,https://www.iihf.com//pdf/966/ihw966901_77a_3_0,GER,AUT,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut
1,AUT,8,Shot,66.16439774958229,5.493347966304405,https://www.iihf.com//pdf/966/ihw966901_77a_3_0,GER,AUT,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut
1,AUT,21,Shot,78.64703535225473,-1.9290233292461423,https://www.iihf.com//pdf/966/ihw966901_77a_3_0,GER,AUT,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut
1,AUT,18,Shot,36.62595313273144,22.612916203922936,https://www.iihf.com//pdf/966/ihw966901_77a_3_0,GER,AUT,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut
1,AUT,11,Shot,77.43207195515257,-7.382185688271996,https://www.iihf.com//pdf/966/ihw966901_77a_3_0,GER,AUT,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut
1,AUT,10,Shot,53.92875169371163,-22.995290335404547,https://www.iihf.com//pdf/966/ihw966901_77a_3_0,GER,AUT,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut
1,AUT,10,Shot,67.54475849173531,18.878329390607846,https://www.iihf.com//pdf/966/ihw966901_77a_3_0,GER,AUT,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut
1,AUT,7,Shot,65.43398959246247,-13.344498949347887,https://www.iihf.com//pdf/966/ihw966901_77a_3_0,GER,AUT,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut
1,AUT,7,Goal,74.06414204341485,-14.34972715767185,https://www.iihf.com//pdf/966/ihw966901_77a_3_0,GER,AUT,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut
1,AUT,14,Shot,79.6357530350405,14.199095356557415,https://www.iihf.com//pdf/966/ihw966901_77a_3_0,GER,AUT,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut
1,GER,23,Shot,-44.25873431544862,-23.491401895641218,https://www.iihf.com//pdf/966/ihw966901_77a_3_0,GER,AUT,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut
1,GER,8,Shot,-71.59082207270018,8.963502750818314,https://www.iihf.com//pdf/966/ihw966901_77a_3_0,GER,AUT,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut
1,GER,8,Shot,-71.09976525733407,-11.593242268693793,https://www.iihf.com//pdf/966/ihw966901_77a_3_0,GER,AUT,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut
1,GER,22,Shot,-74.40707452573906,-10.852374726748643,https://www.iihf.com//pdf/966/ihw966901_77a_3_0,GER,AUT,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut
1,GER,6,Shot,-60.71261614383817,-35.15748521608484,https://www.iihf.com//pdf/966/ihw966901_77a_3_0,GER,AUT,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut
1,GER,25,Shot,-55.89895676091418,-26.729885712210333,https://www.iihf.com//pdf/966/ihw966901_77a_3_0,GER,AUT,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut
2,GER,39,Shot,69.74846234421653,14.680691800086358,https://www.iihf.com//pdf/966/ihw966901_77a_3_0,GER,AUT,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut
2,GER,36,Shot,64.07972624221753,0.5355321623475362,https://www.iihf.com//pdf/966/ihw966901_77a_3_0,GER,AUT,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut
2,GER,8,Shot,37.49119781470958,-2.174150395550882,https://www.iihf.com//pdf/966/ihw966901_77a_3_0,GER,AUT,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut
2,GER,22,Shot,74.19772607564235,-12.569274682782428,https://www.iihf.com//pdf/966/ihw966901_77a_3_0,GER,AUT,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut
2,GER,28,Shot,51.45692332785731,-16.815053363426998,https://www.iihf.com//pdf/966/ihw966901_77a_3_0,GER,AUT,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut
2,GER,28,Shot,53.69801977851745,-29.934155529003846,https://www.iihf.com//pdf/966/ihw966901_77a_3_0,GER,AUT,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut
2,GER,36,Shot,78.91069643734338,6.748829917355351,https://www.iihf.com//pdf/966/ihw966901_77a_3_0,GER,AUT,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut
2,GER,25,Shot,36.13158290504194,-21.508068908483324,https://www.iihf.com//pdf/966/ihw966901_77a_3_0,GER,AUT,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut
2,AUT,17,Shot,-37.33761944557521,25.83249468756081,https://www.iihf.com//pdf/966/ihw966901_77a_3_0,GER,AUT,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut
2,AUT,10,Shot,-59.581535594112395,23.108659534060237,https://www.iihf.com//pdf/966/ihw966901_77a_3_0,GER,AUT,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut
2,AUT,5,Shot,-55.2811021461204,28.547675006477732,https://www.iihf.com//pdf/966/ihw966901_77a_3_0,GER,AUT,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut
2,AUT,2,Shot,-40.17237463066061,-37.35802258092703,https://www.iihf.com//pdf/966/ihw966901_77a_3_0,GER,AUT,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut
2,AUT,10,Shot,-70.95193696800492,3.5103461007862506,https://www.iihf.com//pdf/966/ihw966901_77a_3_0,GER,AUT,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut
2,AUT,24,Shot,-73.91741253171185,13.703352026420113,https://www.iihf.com//pdf/966/ihw966901_77a_3_0,GER,AUT,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut
2,AUT,20,Goal,-82.6049974629366,-2.669896580185082,https://www.iihf.com//pdf/966/ihw966901_77a_3_0,GER,AUT,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut
3,AUT,7,Shot,79.01790980654334,4.9979386123037415,https://www.iihf.com//pdf/966/ihw966901_77a_3_0,GER,AUT,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut
3,AUT,13,Shot,62.10119779216819,17.886485918221453,https://www.iihf.com//pdf/966/ihw966901_77a_3_0,GER,AUT,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut
3,AUT,10,Shot,71.00084111209094,-1.4470700736054098,https://www.iihf.com//pdf/966/ihw966901_77a_3_0,GER,AUT,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut
3,AUT,19,Shot,41.833270949528725,38.972386154019134,https://www.iihf.com//pdf/966/ihw966901_77a_3_0,GER,AUT,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut
3,AUT,20,Goal,78.90056263333022,-6.40448624799707,https://www.iihf.com//pdf/966/ihw966901_77a_3_0,GER,AUT,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut
3,GER,12,Shot,-40.55952010285352,-24.237396114008604,https://www.iihf.com//pdf/966/ihw966901_77a_3_0,GER,AUT,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut
3,GER,36,Shot,-77.87645634057489,4.765865160296826,https://www.iihf.com//pdf/966/ihw966901_77a_3_0,GER,AUT,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut
3,GER,13,Shot,-63.04462648005239,-25.243018242904,https://www.iihf.com//pdf/966/ihw966901_77a_3_0,GER,AUT,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut
3,GER,21,Shot,-43.61103621715089,31.54893014964874,https://www.iihf.com//pdf/966/ihw966901_77a_3_0,GER,AUT,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut
3,GER,7,Shot,-79.00450244224504,1.2963983095344531,https://www.iihf.com//pdf/966/ihw966901_77a_3_0,GER,AUT,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut
3,GER,11,Shot,-69.81240778616927,13.703352026420113,https://www.iihf.com//pdf/966/ihw966901_77a_3_0,GER,AUT,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut
1,ITA,18,Shot,50.632988130103655,-1.7461414222194236,https://www.iihf.com//pdf/966/ihw966902_77a_3_0,DEN,ITA,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29969/2-den-vs-ita
1,ITA,9,Shot,76.90862112583426,-3.862048663138154,https://www.iihf.com//pdf/966/ihw966902_77a_3_0,DEN,ITA,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29969/2-den-vs-ita
