jersey_number,name,team,home,pos,g,a,p,pim,ts,+/-,tot,shf,avg,ts_1,tot_1,ts_2,tot_2,ts_3,tot_3,statistics_url,game_url,ts_4,tot_4,ts_5,tot_5
23,EISENSCHMID Tanja,GER,True,D,0,0,0,0,1,-1.0,0:00,0.0,0:00,1,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/statistics/29968/1-ger-vs-aut,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut,,,,
25,KLUGE Laura,GER,True,F,0,0,0,2,2,-2.0,0:00,0.0,0:00,1,0:00,1,0:00,0,0:00,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/statistics/29968/1-ger-vs-aut,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut,,,,
26,BARTSCH Anne,GER,True,F,0,0,0,0,0,-2.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/statistics/29968/1-ger-vs-aut,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut,,,,
28,JOBST-SMITH Katarina,GER,True,D,0,0,0,0,2,-1.0,0:00,0.0,0:00,0,0:00,2,0:00,0,0:00,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/statistics/29968/1-ger-vs-aut,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut,,,,
36,WEIDENFELDER Sonja,GER,True,F,0,0,0,0,3,-2.0,0:00,0.0,0:00,0,0:00,2,0:00,1,0:00,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/statistics/29968/1-ger-vs-aut,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut,,,,
7,FELDMEIER Franziska,GER,True,F,0,0,0,0,1,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,1,0:00,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/statistics/29968/1-ger-vs-aut,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut,,,,
8,ZORN Julia,GER,True,F,0,0,0,2,3,-1.0,0:00,0.0,0:00,2,0:00,1,0:00,0,0:00,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/statistics/29968/1-ger-vs-aut,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut,,,,
9,ORENDORZ Rebecca,GER,True,D,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/statistics/29968/1-ger-vs-aut,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut,,,,
12,REICH Anna,GER,True,D,0,0,0,0,1,0.0,0:00,0.0,0:00,0,0:00,0,0:00,1,0:00,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/statistics/29968/1-ger-vs-aut,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut,,,,
18,KARPF Bernadette,GER,True,F,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/statistics/29968/1-ger-vs-aut,https://www.iihf.com//en/events/2022/ogqp3d/gamecenter/playbyplay/29968/1-ger-vs-aut,,,,
