period,team,shooter_number,opponent,goalie_number,x,y,shot_chart_url,team1,team2,game_url
1,FRA,12,KOR,25,4.561659901517167,0.4467987760828871,https://www.iihf.com//pdf/967/ihw967901_77a_5_0,FRA,KOR,https://www.iihf.com//en/events/2022/ogqp3e/gamecenter/playbyplay/29957/1-fra-vs-kor
2,FRA,16,KOR,25,4.56165832055915,1.0223897848512968,https://www.iihf.com//pdf/967/ihw967901_77a_5_0,FRA,KOR,https://www.iihf.com//en/events/2022/ogqp3e/gamecenter/playbyplay/29957/1-fra-vs-kor
2,FRA,26,KOR,25,5.046431887410207,1.6749240402963688,https://www.iihf.com//pdf/967/ihw967901_77a_5_0,FRA,KOR,https://www.iihf.com//en/events/2022/ogqp3e/gamecenter/playbyplay/29957/1-fra-vs-kor
3,FRA,16,KOR,25,1.205537163960607,3.517373073181382,https://www.iihf.com//pdf/967/ihw967901_77a_5_0,FRA,KOR,https://www.iihf.com//en/events/2022/ogqp3e/gamecenter/playbyplay/29957/1-fra-vs-kor
1,SWE,27,SVK,25,4.337917194182944,0.13972411564068876,https://www.iihf.com//pdf/967/ihw967902_77a_3_0,SVK,SWE,https://www.iihf.com//en/events/2022/ogqp3e/gamecenter/playbyplay/29958/2-svk-vs-swe
3,SWE,24,SVK,25,4.524368566048735,1.6750990231994152,https://www.iihf.com//pdf/967/ihw967902_77a_3_0,SVK,SWE,https://www.iihf.com//en/events/2022/ogqp3e/gamecenter/playbyplay/29958/2-svk-vs-swe
3,SWE,11,SVK,25,0.9817950999124204,2.2892488791997234,https://www.iihf.com//pdf/967/ihw967902_77a_3_0,SVK,SWE,https://www.iihf.com//en/events/2022/ogqp3e/gamecenter/playbyplay/29958/2-svk-vs-swe
1,FRA,12,SVK,25,4.636241515837104,3.6710856538634835,https://www.iihf.com//pdf/967/ihw967903_77a_3_0,FRA,SVK,https://www.iihf.com//en/events/2022/ogqp3e/gamecenter/playbyplay/29959/3-fra-vs-svk
2,FRA,22,SVK,25,0.8699245367243171,0.7922583710857607,https://www.iihf.com//pdf/967/ihw967903_77a_3_0,FRA,SVK,https://www.iihf.com//en/events/2022/ogqp3e/gamecenter/playbyplay/29959/3-fra-vs-svk
3,SVK,3,FRA,1,2.809017504471686,0.4465365692862733,https://www.iihf.com//pdf/967/ihw967903_77a_3_0,FRA,SVK,https://www.iihf.com//en/events/2022/ogqp3e/gamecenter/playbyplay/29959/3-fra-vs-svk
3,FRA,19,SVK,25,0.9072148655842427,1.9052304369649509,https://www.iihf.com//pdf/967/ihw967903_77a_3_0,FRA,SVK,https://www.iihf.com//en/events/2022/ogqp3e/gamecenter/playbyplay/29959/3-fra-vs-svk
1,SWE,29,KOR,25,4.598948594932309,1.2910800458487315,https://www.iihf.com//pdf/967/ihw967904_77a_3_0,SWE,KOR,https://www.iihf.com//en/events/2022/ogqp3e/gamecenter/playbyplay/29960/4-swe-vs-kor
1,SWE,24,KOR,25,1.317407569270844,1.4447926265308326,https://www.iihf.com//pdf/967/ihw967904_77a_3_0,SWE,KOR,https://www.iihf.com//en/events/2022/ogqp3e/gamecenter/playbyplay/29960/4-swe-vs-kor
1,SWE,27,KOR,25,2.0259220025667357,0.33164557774859604,https://www.iihf.com//pdf/967/ihw967904_77a_3_0,SWE,KOR,https://www.iihf.com//en/events/2022/ogqp3e/gamecenter/playbyplay/29960/4-swe-vs-kor
