jersey_number,Name,Pos,line_number,team,home,lineups_url,game_url
1.0,BALDIN Caroline,GK,0,FRA,True,https://www.iihf.com//en/events/2022/ogqp3e/gamecenter/lineup/29957/1-fra-vs-kor,https://www.iihf.com//en/events/2022/ogqp3e/gamecenter/playbyplay/29957/1-fra-vs-kor
20.0,MAMERI Margaux,GK,0,FRA,True,https://www.iihf.com//en/events/2022/ogqp3e/gamecenter/lineup/29957/1-fra-vs-kor,https://www.iihf.com//en/events/2022/ogqp3e/gamecenter/playbyplay/29957/1-fra-vs-kor
21.0,PARMENT Lea,D,1,FRA,True,https://www.iihf.com//en/events/2022/ogqp3e/gamecenter/lineup/29957/1-fra-vs-kor,https://www.iihf.com//en/events/2022/ogqp3e/gamecenter/playbyplay/29957/1-fra-vs-kor
22.0,GENDARME Gwendoline,D,1,FRA,True,https://www.iihf.com//en/events/2022/ogqp3e/gamecenter/lineup/29957/1-fra-vs-kor,https://www.iihf.com//en/events/2022/ogqp3e/gamecenter/playbyplay/29957/1-fra-vs-kor
19.0,BAUDRIT Lore,F,1,FRA,True,https://www.iihf.com//en/events/2022/ogqp3e/gamecenter/lineup/29957/1-fra-vs-kor,https://www.iihf.com//en/events/2022/ogqp3e/gamecenter/playbyplay/29957/1-fra-vs-kor
9.0,ALLEMOZ Marion,F,1,FRA,True,https://www.iihf.com//en/events/2022/ogqp3e/gamecenter/lineup/29957/1-fra-vs-kor,https://www.iihf.com//en/events/2022/ogqp3e/gamecenter/playbyplay/29957/1-fra-vs-kor
8.0,ESCUDERO Lara,F,1,FRA,True,https://www.iihf.com//en/events/2022/ogqp3e/gamecenter/lineup/29957/1-fra-vs-kor,https://www.iihf.com//en/events/2022/ogqp3e/gamecenter/playbyplay/29957/1-fra-vs-kor
14.0,LOCATELLI Athena,D,2,FRA,True,https://www.iihf.com//en/events/2022/ogqp3e/gamecenter/lineup/29957/1-fra-vs-kor,https://www.iihf.com//en/events/2022/ogqp3e/gamecenter/playbyplay/29957/1-fra-vs-kor
11.0,VILLIOT Lea,D,2,FRA,True,https://www.iihf.com//en/events/2022/ogqp3e/gamecenter/lineup/29957/1-fra-vs-kor,https://www.iihf.com//en/events/2022/ogqp3e/gamecenter/playbyplay/29957/1-fra-vs-kor
17.0,AURARD Chloe,F,2,FRA,True,https://www.iihf.com//en/events/2022/ogqp3e/gamecenter/lineup/29957/1-fra-vs-kor,https://www.iihf.com//en/events/2022/ogqp3e/gamecenter/playbyplay/29957/1-fra-vs-kor
12.0,DUVIN Estelle,F,2,FRA,True,https://www.iihf.com//en/events/2022/ogqp3e/gamecenter/lineup/29957/1-fra-vs-kor,https://www.iihf.com//en/events/2022/ogqp3e/gamecenter/playbyplay/29957/1-fra-vs-kor
16.0,ROZIER Clara,F,2,FRA,True,https://www.iihf.com//en/events/2022/ogqp3e/gamecenter/lineup/29957/1-fra-vs-kor,https://www.iihf.com//en/events/2022/ogqp3e/gamecenter/playbyplay/29957/1-fra-vs-kor
27.0,QUARTO Lucie,D,3,FRA,True,https://www.iihf.com//en/events/2022/ogqp3e/gamecenter/lineup/29957/1-fra-vs-kor,https://www.iihf.com//en/events/2022/ogqp3e/gamecenter/playbyplay/29957/1-fra-vs-kor
13.0,PELISSOU Marie Pierre,D,3,FRA,True,https://www.iihf.com//en/events/2022/ogqp3e/gamecenter/lineup/29957/1-fra-vs-kor,https://www.iihf.com//en/events/2022/ogqp3e/gamecenter/playbyplay/29957/1-fra-vs-kor
28.0,BARBIRATI Jade,F,3,FRA,True,https://www.iihf.com//en/events/2022/ogqp3e/gamecenter/lineup/29957/1-fra-vs-kor,https://www.iihf.com//en/events/2022/ogqp3e/gamecenter/playbyplay/29957/1-fra-vs-kor
26.0,MESPLEDE Julia,F,3,FRA,True,https://www.iihf.com//en/events/2022/ogqp3e/gamecenter/lineup/29957/1-fra-vs-kor,https://www.iihf.com//en/events/2022/ogqp3e/gamecenter/playbyplay/29957/1-fra-vs-kor
18.0,BOUCHE Anouck,F,3,FRA,True,https://www.iihf.com//en/events/2022/ogqp3e/gamecenter/lineup/29957/1-fra-vs-kor,https://www.iihf.com//en/events/2022/ogqp3e/gamecenter/playbyplay/29957/1-fra-vs-kor
7.0,PASSARD Emmanuelle,F,4,FRA,True,https://www.iihf.com//en/events/2022/ogqp3e/gamecenter/lineup/29957/1-fra-vs-kor,https://www.iihf.com//en/events/2022/ogqp3e/gamecenter/playbyplay/29957/1-fra-vs-kor
