jersey_number,name,team,home,pos,sog,ga,svs,svs%,statistics_url,game_url
28,FEDOTOV Ivan,ROC,True,GK,33,0,33,100.0,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/statistics/28593/1-roc-vs-sui,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28593/1-roc-vs-sui
31,SAMONOV Alexander,ROC,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/statistics/28593/1-roc-vs-sui,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28593/1-roc-vs-sui
20,BERRA Reto,SUI,False,GK,30,1,29,96.67,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/statistics/28593/1-roc-vs-sui,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28593/1-roc-vs-sui
63,GENONI Leonardo,SUI,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/statistics/28593/1-roc-vs-sui,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28593/1-roc-vs-sui
11,HRUBEC Simon,CZE,True,GK,17,2,15,88.24,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/statistics/28594/2-cze-vs-den,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28594/2-cze-vs-den
32,BARTOSAK Patrik,CZE,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/statistics/28594/2-cze-vs-den,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28594/2-cze-vs-den
1,DICHOW Frederik,DEN,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/statistics/28594/2-cze-vs-den,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28594/2-cze-vs-den
32,DAHM Sebastian,DEN,False,GK,40,1,39,97.5,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/statistics/28594/2-cze-vs-den,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28594/2-cze-vs-den
31,JOHANSSON Lars,SWE,True,GK,17,2,15,88.24,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/statistics/28595/3-swe-vs-lat,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28595/3-swe-vs-lat
35,HELLBERG Magnus,SWE,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/statistics/28595/3-swe-vs-lat,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28595/3-swe-vs-lat
74,PUNNENOVS Ivars,LAT,False,GK,26,3,23,88.46,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/statistics/28595/3-swe-vs-lat,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28595/3-swe-vs-lat
98,KALNINS Janis,LAT,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/statistics/28595/3-swe-vs-lat,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28595/3-swe-vs-lat
29,SATERI Harri,FIN,True,GK,33,2,31,93.94,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/statistics/28596/4-fin-vs-svk,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28596/4-fin-vs-svk
35,TUOHIMAA Frans,FIN,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/statistics/28596/4-fin-vs-svk,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28596/4-fin-vs-svk
24,RYBAR Patrik,SVK,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/statistics/28596/4-fin-vs-svk,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28596/4-fin-vs-svk
42,KONRAD Branislav,SVK,False,GK,30,6,24,80.0,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/statistics/28596/4-fin-vs-svk,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28596/4-fin-vs-svk
29,COMMESSO Drew,USA,True,GK,29,0,29,100.0,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/statistics/28597/5-usa-vs-chn,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28597/5-usa-vs-chn
35,NAGLE Pat,USA,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/statistics/28597/5-usa-vs-chn,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28597/5-usa-vs-chn
1,OUBAN Yongli,CHN,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/statistics/28597/5-usa-vs-chn,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28597/5-usa-vs-chn
45,JIERUIMI Shimisi,CHN,False,GK,55,8,47,85.45,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/statistics/28597/5-usa-vs-chn,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28597/5-usa-vs-chn
80,PASQUALE Eddie,CAN,True,GK,24,1,23,95.83,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/statistics/28598/6-can-vs-ger,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28598/6-can-vs-ger
90,TOMKINS Matt,CAN,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/statistics/28598/6-can-vs-ger,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28598/6-can-vs-ger
35,NIEDERBERGER Mathias,GER,False,GK,27,5,22,81.48,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/statistics/28598/6-can-vs-ger,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28598/6-can-vs-ger
90,BRUCKMANN Felix,GER,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/statistics/28598/6-can-vs-ger,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28598/6-can-vs-ger
1,DICHOW Frederik,DEN,True,GK,32,1,31,96.88,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/statistics/28599/7-den-vs-roc,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28599/7-den-vs-roc
32,DAHM Sebastian,DEN,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/statistics/28599/7-den-vs-roc,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28599/7-den-vs-roc
28,FEDOTOV Ivan,ROC,False,GK,16,0,16,100.0,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/statistics/28599/7-den-vs-roc,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28599/7-den-vs-roc
82,BILYALOV Timur,ROC,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/statistics/28599/7-den-vs-roc,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28599/7-den-vs-roc
11,HRUBEC Simon,CZE,True,GK,25,1,24,96.0,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/statistics/28600/8-cze-vs-sui,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28600/8-cze-vs-sui
32,BARTOSAK Patrik,CZE,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/statistics/28600/8-cze-vs-sui,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28600/8-cze-vs-sui
20,BERRA Reto,SUI,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/statistics/28600/8-cze-vs-sui,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28600/8-cze-vs-sui
63,GENONI Leonardo,SUI,False,GK,35,1,34,97.14,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/statistics/28600/8-cze-vs-sui,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28600/8-cze-vs-sui
