jersey_number,name,team,home,pos,sog,ga,svs,svs%,statistics_url,game_url
1,SVEJDOVA Viktorie,CZE,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/statistics/28563/1-cze-vs-chn,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/playbyplay/28563/1-cze-vs-chn
29,PESLAROVA Klara,CZE,True,GK,14,1,13,92.86,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/statistics/28563/1-cze-vs-chn,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/playbyplay/28563/1-cze-vs-chn
33,ZHOU Jiaying,CHN,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/statistics/28563/1-cze-vs-chn,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/playbyplay/28563/1-cze-vs-chn
88,CHEN Tiya,CHN,False,GK,36,3,33,91.67,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/statistics/28563/1-cze-vs-chn,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/playbyplay/28563/1-cze-vs-chn
35,DESBIENS Ann-Renee,CAN,True,GK,15,1,14,93.33,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/statistics/28564/2-can-vs-sui,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/playbyplay/28564/2-can-vs-sui
38,MASCHMEYER Emerance,CAN,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/statistics/28564/2-can-vs-sui,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/playbyplay/28564/2-can-vs-sui
20,BRAENDLI Andrea,SUI,False,GK,70,12,58,82.86,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/statistics/28564/2-can-vs-sui,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/playbyplay/28564/2-can-vs-sui
29,MAURER Saskia,SUI,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/statistics/28564/2-can-vs-sui,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/playbyplay/28564/2-can-vs-sui
30,SODERBERG Emma,SWE,True,GK,39,2,37,94.87,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/statistics/28565/3-swe-vs-jpn,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/playbyplay/28565/3-swe-vs-jpn
35,BOMAN Ida,SWE,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/statistics/28565/3-swe-vs-jpn,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/playbyplay/28565/3-swe-vs-jpn
1,FUJIMOTO Nana,JPN,False,GK,27,1,26,96.3,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/statistics/28565/3-swe-vs-jpn,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/playbyplay/28565/3-swe-vs-jpn
30,KONISHI Akane,JPN,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/statistics/28565/3-swe-vs-jpn,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/playbyplay/28565/3-swe-vs-jpn
18,RAISANEN Meeri,FIN,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/statistics/28566/4-fin-vs-usa,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/playbyplay/28566/4-fin-vs-usa
36,KEISALA Anni,FIN,True,GK,52,5,47,90.38,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/statistics/28566/4-fin-vs-usa,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/playbyplay/28566/4-fin-vs-usa
29,HENSLEY Nicole,USA,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/statistics/28566/4-fin-vs-usa,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/playbyplay/28566/4-fin-vs-usa
35,ROONEY Maddie,USA,False,GK,12,2,10,83.33,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/statistics/28566/4-fin-vs-usa,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/playbyplay/28566/4-fin-vs-usa
30,JENSEN Lisa,DEN,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/statistics/28567/5-den-vs-chn,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/playbyplay/28567/5-den-vs-chn
