period,team,shooter_number,opponent,goalie_number,x,y,shot_chart_url,team1,team2,game_url
1,CZE,27,CHN,88,1.1682464717782113,0.29326171341974394,https://www.iihf.com//pdf/753/ihw753b01_77a_3_0,CZE,CHN,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/playbyplay/28563/1-cze-vs-chn
2,CZE,10,CHN,88,2.659855769230769,0.2547023310719334,https://www.iihf.com//pdf/753/ihw753b01_77a_3_0,CZE,CHN,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/playbyplay/28563/1-cze-vs-chn
3,CZE,18,CHN,88,2.473405035113262,0.3698555294062249,https://www.iihf.com//pdf/753/ihw753b01_77a_3_0,CZE,CHN,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/playbyplay/28563/1-cze-vs-chn
1,CAN,10,SUI,20,1.4292778480170347,0.5233931271852796,https://www.iihf.com//pdf/753/ihw753a01_77a_4_1,CAN,SUI,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/playbyplay/28564/2-can-vs-sui
1,CAN,10,SUI,20,0.6834741815278147,2.365842160070293,https://www.iihf.com//pdf/753/ihw753a01_77a_4_1,CAN,SUI,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/playbyplay/28564/2-can-vs-sui
1,CAN,24,SUI,20,2.6971486558424274,0.17810851508545245,https://www.iihf.com//pdf/753/ihw753a01_77a_4_1,CAN,SUI,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/playbyplay/28564/2-can-vs-sui
2,CAN,6,SUI,20,3.1819197283405254,1.0991585837408242,https://www.iihf.com//pdf/753/ihw753a01_77a_4_1,CAN,SUI,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/playbyplay/28564/2-can-vs-sui
2,CAN,7,SUI,20,2.7717267102357854,0.4051785307215394,https://www.iihf.com//pdf/753/ihw753a01_77a_4_1,CAN,SUI,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/playbyplay/28564/2-can-vs-sui
2,CAN,24,SUI,20,3.0327586308478924,0.21649291453021657,https://www.iihf.com//pdf/753/ihw753a01_77a_4_1,CAN,SUI,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/playbyplay/28564/2-can-vs-sui
2,CAN,40,SUI,20,4.785399966798099,2.250689496851913,https://www.iihf.com//pdf/753/ihw753a01_77a_4_1,CAN,SUI,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/playbyplay/28564/2-can-vs-sui
2,CAN,7,SUI,20,4.822690241171258,3.1304687508361186,https://www.iihf.com//pdf/753/ihw753a01_77a_4_1,CAN,SUI,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/playbyplay/28564/2-can-vs-sui
