jersey_number,Name,Pos,line_number,team,home,lineups_url,game_url
29.0,PESLAROVA Klara,GK,0,CZE,True,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/lineup/28563/1-cze-vs-chn,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/playbyplay/28563/1-cze-vs-chn
1.0,SVEJDOVA Viktorie,GK,0,CZE,True,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/lineup/28563/1-cze-vs-chn,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/playbyplay/28563/1-cze-vs-chn
4.0,PEJSOVA Daniela,D,1,CZE,True,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/lineup/28563/1-cze-vs-chn,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/playbyplay/28563/1-cze-vs-chn
14.0,LASKOVA Dominika,D,1,CZE,True,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/lineup/28563/1-cze-vs-chn,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/playbyplay/28563/1-cze-vs-chn
19.0,MLYNKOVA Natalie,F,1,CZE,True,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/lineup/28563/1-cze-vs-chn,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/playbyplay/28563/1-cze-vs-chn
16.0,MRAZOVA Katerina,F,1,CZE,True,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/lineup/28563/1-cze-vs-chn,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/playbyplay/28563/1-cze-vs-chn
21.0,VANISOVA Tereza,F,1,CZE,True,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/lineup/28563/1-cze-vs-chn,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/playbyplay/28563/1-cze-vs-chn
24.0,CAJANOVA Sara,D,2,CZE,True,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/lineup/28563/1-cze-vs-chn,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/playbyplay/28563/1-cze-vs-chn
5.0,KOLOWRATOVA Samantha Ahn,D,2,CZE,True,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/lineup/28563/1-cze-vs-chn,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/playbyplay/28563/1-cze-vs-chn
10.0,KRIZOVA Denisa,F,2,CZE,True,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/lineup/28563/1-cze-vs-chn,https://www.iihf.com//en/events/2022/olympic-w/gamecenter/playbyplay/28563/1-cze-vs-chn
