jersey_number,name,team,home,pos,sog,ga,svs,svs%,statistics_url,game_url
31,SAMONOV Alexander,ROC,True,GK,25,3,22,88.0,https://www.iihf.com//en/events/2021/wm/gamecenter/statistics/24344/1-roc-vs-cze,https://www.iihf.com//en/events/2021/wm/gamecenter/playbyplay/24344/1-roc-vs-cze
60,BOCHAROV Ivan,ROC,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2021/wm/gamecenter/statistics/24344/1-roc-vs-cze,https://www.iihf.com//en/events/2021/wm/gamecenter/playbyplay/24344/1-roc-vs-cze
30,HRUBEC Simon,CZE,False,GK,28,4,24,85.71,https://www.iihf.com//en/events/2021/wm/gamecenter/statistics/24344/1-roc-vs-cze,https://www.iihf.com//en/events/2021/wm/gamecenter/playbyplay/24344/1-roc-vs-cze
35,WILL Roman,CZE,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2021/wm/gamecenter/statistics/24344/1-roc-vs-cze,https://www.iihf.com//en/events/2021/wm/gamecenter/playbyplay/24344/1-roc-vs-cze
35,NIEDERBERGER Mathias,GER,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2021/wm/gamecenter/statistics/24345/2-ger-vs-ita,https://www.iihf.com//en/events/2021/wm/gamecenter/playbyplay/24345/2-ger-vs-ita
90,BRUCKMANN Felix,GER,True,GK,14,4,10,71.43,https://www.iihf.com//en/events/2021/wm/gamecenter/statistics/24345/2-ger-vs-ita,https://www.iihf.com//en/events/2021/wm/gamecenter/playbyplay/24345/2-ger-vs-ita
29,FADANI Davide,ITA,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2021/wm/gamecenter/statistics/24345/2-ger-vs-ita,https://www.iihf.com//en/events/2021/wm/gamecenter/playbyplay/24345/2-ger-vs-ita
32,FAZIO Justin,ITA,False,GK,52,9,43,82.69,https://www.iihf.com//en/events/2021/wm/gamecenter/statistics/24345/2-ger-vs-ita,https://www.iihf.com//en/events/2021/wm/gamecenter/playbyplay/24345/2-ger-vs-ita
30,SHOSTAK Konstantin,BLR,True,GK,8,3,5,62.5,https://www.iihf.com//en/events/2021/wm/gamecenter/statistics/24346/3-blr-vs-svk,https://www.iihf.com//en/events/2021/wm/gamecenter/playbyplay/24346/3-blr-vs-svk
31,TAYLOR Danny,BLR,True,GK,26,1,25,96.15,https://www.iihf.com//en/events/2021/wm/gamecenter/statistics/24346/3-blr-vs-svk,https://www.iihf.com//en/events/2021/wm/gamecenter/playbyplay/24346/3-blr-vs-svk
33,HUDACEK Julius,SVK,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2021/wm/gamecenter/statistics/24346/3-blr-vs-svk,https://www.iihf.com//en/events/2021/wm/gamecenter/playbyplay/24346/3-blr-vs-svk
42,KONRAD Branislav,SVK,False,GK,34,2,32,94.12,https://www.iihf.com//en/events/2021/wm/gamecenter/statistics/24346/3-blr-vs-svk,https://www.iihf.com//en/events/2021/wm/gamecenter/playbyplay/24346/3-blr-vs-svk
33,HILL Adin,CAN,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2021/wm/gamecenter/statistics/24347/4-can-vs-lat,https://www.iihf.com//en/events/2021/wm/gamecenter/playbyplay/24347/4-can-vs-lat
35,KUEMPER Darcy,CAN,True,GK,17,2,15,88.24,https://www.iihf.com//en/events/2021/wm/gamecenter/statistics/24347/4-can-vs-lat,https://www.iihf.com//en/events/2021/wm/gamecenter/playbyplay/24347/4-can-vs-lat
74,PUNNENOVS Ivars,LAT,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2021/wm/gamecenter/statistics/24347/4-can-vs-lat,https://www.iihf.com//en/events/2021/wm/gamecenter/playbyplay/24347/4-can-vs-lat
80,KIVLENIEKS Matiss,LAT,False,GK,38,0,38,100.0,https://www.iihf.com//en/events/2021/wm/gamecenter/statistics/24347/4-can-vs-lat,https://www.iihf.com//en/events/2021/wm/gamecenter/playbyplay/24347/4-can-vs-lat
1,DICHOW Frederik,DEN,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2021/wm/gamecenter/statistics/24348/5-den-vs-swe,https://www.iihf.com//en/events/2021/wm/gamecenter/playbyplay/24348/5-den-vs-swe
32,DAHM Sebastian,DEN,True,GK,23,3,20,86.96,https://www.iihf.com//en/events/2021/wm/gamecenter/statistics/24348/5-den-vs-swe,https://www.iihf.com//en/events/2021/wm/gamecenter/playbyplay/24348/5-den-vs-swe
30,FASTH Viktor,SWE,False,GK,22,4,18,81.82,https://www.iihf.com//en/events/2021/wm/gamecenter/statistics/24348/5-den-vs-swe,https://www.iihf.com//en/events/2021/wm/gamecenter/playbyplay/24348/5-den-vs-swe
39,REIDEBORN Adam,SWE,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2021/wm/gamecenter/statistics/24348/5-den-vs-swe,https://www.iihf.com//en/events/2021/wm/gamecenter/playbyplay/24348/5-den-vs-swe
