period,team,shooter_number,opponent,goalie_number,x,y,shot_chart_url,team1,team2,game_url
1.0,CAN,81.0,FIN,30.0,5.232882739413255,3.6325268066315846,https://www.iihf.com//pdf/690/ihm690a01_77a_1_0,FIN,CAN,https://www.iihf.com//en/events/2019/wm/gamecenter/playbyplay/4177/1-fin-vs-can
1.0,FIN,24.0,CAN,30.0,5.08372288394996,0.10133971619592508,https://www.iihf.com//pdf/690/ihm690a01_77a_1_0,FIN,CAN,https://www.iihf.com//en/events/2019/wm/gamecenter/playbyplay/4177/1-fin-vs-can
3.0,FIN,15.0,CAN,30.0,3.554822664359862,0.4082399288509886,https://www.iihf.com//pdf/690/ihm690a01_77a_3_0,FIN,CAN,https://www.iihf.com//en/events/2019/wm/gamecenter/playbyplay/4177/1-fin-vs-can
3.0,FIN,24.0,CAN,-1.0,3.554822664359862,0.638720773306706,https://www.iihf.com//pdf/690/ihm690a01_77a_3_0,FIN,CAN,https://www.iihf.com//en/events/2019/wm/gamecenter/playbyplay/4177/1-fin-vs-can
1.0,RUS,63.0,NOR,33.0,1.5784389700202088,1.9435270774002356,https://www.iihf.com//pdf/690/ihm690b02_77a_1_0,RUS,NOR,https://www.iihf.com//en/events/2019/wm/gamecenter/playbyplay/4178/2-rus-vs-nor
1.0,RUS,15.0,NOR,33.0,5.382043836905888,2.74968615451793,https://www.iihf.com//pdf/690/ihm690b02_77a_1_0,RUS,NOR,https://www.iihf.com//en/events/2019/wm/gamecenter/playbyplay/4178/2-rus-vs-nor
2.0,RUS,86.0,NOR,33.0,1.168248436252329,1.252696181519879,https://www.iihf.com//pdf/690/ihm690b02_77a_2_0,RUS,NOR,https://www.iihf.com//en/events/2019/wm/gamecenter/playbyplay/4178/2-rus-vs-nor
2.0,RUS,63.0,NOR,33.0,4.785400585573596,3.363748786624671,https://www.iihf.com//pdf/690/ihm690b02_77a_2_0,RUS,NOR,https://www.iihf.com//en/events/2019/wm/gamecenter/playbyplay/4178/2-rus-vs-nor
3.0,RUS,97.0,NOR,33.0,2.9581780821015764,0.9072365865170053,https://www.iihf.com//pdf/690/ihm690b02_77a_3_0,RUS,NOR,https://www.iihf.com//en/events/2019/wm/gamecenter/playbyplay/4178/2-rus-vs-nor
3.0,NOR,93.0,RUS,88.0,0.4224406108597285,3.9395142431802155,https://www.iihf.com//pdf/690/ihm690b02_77a_3_0,RUS,NOR,https://www.iihf.com//en/events/2019/wm/gamecenter/playbyplay/4178/2-rus-vs-nor
3.0,NOR,6.0,RUS,88.0,5.3820451823263245,3.2486828121839473,https://www.iihf.com//pdf/690/ihm690b02_77a_3_0,RUS,NOR,https://www.iihf.com//en/events/2019/wm/gamecenter/playbyplay/4178/2-rus-vs-nor
1.0,SVK,19.0,USA,35.0,5.232882739413255,0.6769307249643344,https://www.iihf.com//pdf/690/ihm690a03_77a_1_0,USA,SVK,https://www.iihf.com//en/events/2019/wm/gamecenter/playbyplay/4179/3-usa-vs-svk
1.0,USA,12.0,SVK,42.0,3.2565003659834972,0.4467987760828871,https://www.iihf.com//pdf/690/ihm690a03_77a_1_0,USA,SVK,https://www.iihf.com//en/events/2019/wm/gamecenter/playbyplay/4179/3-usa-vs-svk
2.0,SVK,81.0,USA,35.0,0.7580557958477508,3.0183764155153647,https://www.iihf.com//pdf/690/ihm690a03_77a_2_0,USA,SVK,https://www.iihf.com//en/events/2019/wm/gamecenter/playbyplay/4179/3-usa-vs-svk
2.0,SVK,90.0,USA,35.0,5.121015770561618,3.4406048094077657,https://www.iihf.com//pdf/690/ihm690a03_77a_2_0,USA,SVK,https://www.iihf.com//en/events/2019/wm/gamecenter/playbyplay/4179/3-usa-vs-svk
3.0,SVK,13.0,USA,35.0,4.785399966798099,3.056673591066561,https://www.iihf.com//pdf/690/ihm690a03_77a_3_0,USA,SVK,https://www.iihf.com//en/events/2019/wm/gamecenter/playbyplay/4179/3-usa-vs-svk
1.0,CZE,13.0,SWE,30.0,1.7648888741016768,0.48492096873103696,https://www.iihf.com//pdf/690/ihm690b04_77a_1_0,CZE,SWE,https://www.iihf.com//en/events/2019/wm/gamecenter/playbyplay/4180/4-cze-vs-swe
2.0,CZE,81.0,SWE,30.0,5.307463288159571,0.2930867305166971,https://www.iihf.com//pdf/690/ihm690b04_77a_2_0,CZE,SWE,https://www.iihf.com//en/events/2019/wm/gamecenter/playbyplay/4180/4-cze-vs-swe
2.0,SWE,72.0,CZE,32.0,0.9445035932925205,0.5619525095330902,https://www.iihf.com//pdf/690/ihm690b04_77a_2_0,CZE,SWE,https://www.iihf.com//en/events/2019/wm/gamecenter/playbyplay/4180/4-cze-vs-swe
2.0,SWE,32.0,CZE,32.0,5.419333910034602,3.2485955882903794,https://www.iihf.com//pdf/690/ihm690b04_77a_2_0,CZE,SWE,https://www.iihf.com//en/events/2019/wm/gamecenter/playbyplay/4180/4-cze-vs-swe
3.0,CZE,67.0,SWE,30.0,2.9954709542187916,0.3698555294062249,https://www.iihf.com//pdf/690/ihm690b04_77a_3_0,CZE,SWE,https://www.iihf.com//en/events/2019/wm/gamecenter/playbyplay/4180/4-cze-vs-swe
3.0,CZE,13.0,SWE,30.0,0.9072148655842427,2.5960613328453075,https://www.iihf.com//pdf/690/ihm690b04_77a_3_0,CZE,SWE,https://www.iihf.com//en/events/2019/wm/gamecenter/playbyplay/4180/4-cze-vs-swe
3.0,CZE,43.0,SWE,-1.0,2.6971486558424274,2.0202958762897634,https://www.iihf.com//pdf/690/ihm690b04_77a_3_0,CZE,SWE,https://www.iihf.com//en/events/2019/wm/gamecenter/playbyplay/4180/4-cze-vs-swe
1.0,FRA,82.0,DEN,32.0,4.673529143678625,0.6385457904036596,https://www.iihf.com//pdf/690/ihm690a05_77a_1_0,DEN,FRA,https://www.iihf.com//en/events/2019/wm/gamecenter/playbyplay/4181/5-den-vs-fra
1.0,DEN,9.0,FRA,49.0,5.643078752994411,0.2930867305166971,https://www.iihf.com//pdf/690/ihm690a05_77a_1_0,DEN,FRA,https://www.iihf.com//en/events/2019/wm/gamecenter/playbyplay/4181/5-den-vs-fra
1.0,DEN,22.0,FRA,49.0,2.8836006121905777,0.7922583710857607,https://www.iihf.com//pdf/690/ihm690a05_77a_1_0,DEN,FRA,https://www.iihf.com//en/events/2019/wm/gamecenter/playbyplay/4181/5-den-vs-fra
2.0,DEN,20.0,FRA,49.0,4.636238869305466,2.097151899072858,https://www.iihf.com//pdf/690/ihm690a05_77a_2_0,DEN,FRA,https://www.iihf.com//en/events/2019/wm/gamecenter/playbyplay/4181/5-den-vs-fra
2.0,FRA,44.0,DEN,32.0,2.734437383550705,0.2536775841014922,https://www.iihf.com//pdf/690/ihm690a05_77a_2_0,DEN,FRA,https://www.iihf.com//en/events/2019/wm/gamecenter/playbyplay/4181/5-den-vs-fra
2.0,FRA,9.0,DEN,32.0,2.2123744011179136,1.9436143012938034,https://www.iihf.com//pdf/690/ihm690a05_77a_2_0,DEN,FRA,https://www.iihf.com//en/events/2019/wm/gamecenter/playbyplay/4181/5-den-vs-fra
2.0,FRA,12.0,DEN,32.0,0.6834741815278147,0.7922583710857607,https://www.iihf.com//pdf/690/ihm690a05_77a_2_0,DEN,FRA,https://www.iihf.com//en/events/2019/wm/gamecenter/playbyplay/4181/5-den-vs-fra
3.0,DEN,40.0,FRA,49.0,5.344756454618047,3.4789892088525294,https://www.iihf.com//pdf/690/ihm690a05_77a_3_0,DEN,FRA,https://www.iihf.com//en/events/2019/wm/gamecenter/playbyplay/4181/5-den-vs-fra
1.0,SUI,21.0,ITA,1.0,4.934561064290732,0.33164557774859604,https://www.iihf.com//pdf/690/ihm690b06_77a_1_0,SUI,ITA,https://www.iihf.com//en/events/2019/wm/gamecenter/playbyplay/4182/6-sui-vs-ita
1.0,SUI,15.0,ITA,1.0,3.3310803059704157,0.945620985961769,https://www.iihf.com//pdf/690/ihm690b06_77a_1_0,SUI,ITA,https://www.iihf.com//en/events/2019/wm/gamecenter/playbyplay/4182/6-sui-vs-ita
1.0,SUI,93.0,ITA,1.0,2.7717267102357854,0.5616903027364759,https://www.iihf.com//pdf/690/ihm690b06_77a_1_0,SUI,ITA,https://www.iihf.com//en/events/2019/wm/gamecenter/playbyplay/4182/6-sui-vs-ita
1.0,SUI,10.0,ITA,1.0,3.592112226582523,0.830467787627478,https://www.iihf.com//pdf/690/ihm690b06_77a_1_0,SUI,ITA,https://www.iihf.com//en/events/2019/wm/gamecenter/playbyplay/4182/6-sui-vs-ita
2.0,SUI,82.0,ITA,1.0,4.71082313015704,1.060773649180149,https://www.iihf.com//pdf/690/ihm690b06_77a_2_0,SUI,ITA,https://www.iihf.com//en/events/2019/wm/gamecenter/playbyplay/4182/6-sui-vs-ita
2.0,SUI,21.0,ITA,1.0,0.3478631554431727,0.523568110088326,https://www.iihf.com//pdf/690/ihm690b06_77a_2_0,SUI,ITA,https://www.iihf.com//en/events/2019/wm/gamecenter/playbyplay/4182/6-sui-vs-ita
3.0,SUI,21.0,ITA,1.0,5.568495208771679,0.33164557774859604,https://www.iihf.com//pdf/690/ihm690b06_77a_3_0,SUI,ITA,https://www.iihf.com//en/events/2019/wm/gamecenter/playbyplay/4182/6-sui-vs-ita
3.0,SUI,55.0,ITA,1.0,1.4665684068321054,1.2876692170291006,https://www.iihf.com//pdf/690/ihm690b06_77a_3_0,SUI,ITA,https://www.iihf.com//en/events/2019/wm/gamecenter/playbyplay/4182/6-sui-vs-ita
3.0,SUI,13.0,ITA,1.0,0.7953439879780008,2.0970646751792907,https://www.iihf.com//pdf/690/ihm690b06_77a_3_0,SUI,ITA,https://www.iihf.com//en/events/2019/wm/gamecenter/playbyplay/4182/6-sui-vs-ita
2.0,GER,21.0,GBR,33.0,0.907214551166104,2.5963235396419218,https://www.iihf.com//pdf/690/ihm690a07_77a_2_0,GER,GBR,https://www.iihf.com//en/events/2019/wm/gamecenter/playbyplay/4183/7-ger-vs-gbr
3.0,GBR,21.0,GER,35.0,2.883598053218002,0.6771051727514696,https://www.iihf.com//pdf/690/ihm690a07_77a_3_0,GER,GBR,https://www.iihf.com//en/events/2019/wm/gamecenter/playbyplay/4183/7-ger-vs-gbr
3.0,GER,42.0,GBR,33.0,1.3919891203087569,2.4811703413076307,https://www.iihf.com//pdf/690/ihm690a07_77a_3_0,GER,GBR,https://www.iihf.com//en/events/2019/wm/gamecenter/playbyplay/4183/7-ger-vs-gbr
3.0,GER,29.0,GBR,33.0,1.727600146393399,1.2143112469592037,https://www.iihf.com//pdf/690/ihm690a07_77a_3_0,GER,GBR,https://www.iihf.com//en/events/2019/wm/gamecenter/playbyplay/4183/7-ger-vs-gbr
1.0,AUT,12.0,of,-1.0,5.083722161783365,3.4407797923108125,https://www.iihf.com//pdf/690/ihm690b08_77a_1_0,LAT,AUT,https://www.iihf.com//en/events/2019/wm/gamecenter/playbyplay/4184/8-lat-vs-aut
1.0,of,21.0,AUT,30.0,3.9650153047644396,1.406408227086069,https://www.iihf.com//pdf/690/ihm690b08_77a_1_0,LAT,AUT,https://www.iihf.com//en/events/2019/wm/gamecenter/playbyplay/4184/8-lat-vs-aut
3.0,AUT,89.0,of,-1.0,5.046431887410207,3.5941418720709093,https://www.iihf.com//pdf/690/ihm690b08_77a_3_0,LAT,AUT,https://www.iihf.com//en/events/2019/wm/gamecenter/playbyplay/4184/8-lat-vs-aut
3.0,of,10.0,AUT,30.0,4.524371173808889,1.7133084397411324,https://www.iihf.com//pdf/690/ihm690b08_77a_3_0,LAT,AUT,https://www.iihf.com//en/events/2019/wm/gamecenter/playbyplay/4184/8-lat-vs-aut
3.0,of,18.0,AUT,30.0,1.2428258916688848,2.826454953407458,https://www.iihf.com//pdf/690/ihm690b08_77a_3_0,LAT,AUT,https://www.iihf.com//en/events/2019/wm/gamecenter/playbyplay/4184/8-lat-vs-aut
3.0,of,87.0,AUT,30.0,0.12411831248336438,3.7860644044106393,https://www.iihf.com//pdf/690/ihm690b08_77a_3_0,LAT,AUT,https://www.iihf.com//en/events/2019/wm/gamecenter/playbyplay/4184/8-lat-vs-aut
3.0,of,91.0,AUT,30.0,1.168248436252329,2.5577646924100232,https://www.iihf.com//pdf/690/ihm690b08_77a_3_0,LAT,AUT,https://www.iihf.com//en/events/2019/wm/gamecenter/playbyplay/4184/8-lat-vs-aut
1.0,FIN,40.0,SVK,1.0,2.1005025513130517,1.9436143012938034,https://www.iihf.com//pdf/690/ihm690a09_77a_1_0,SVK,FIN,https://www.iihf.com//en/events/2019/wm/gamecenter/playbyplay/4185/9-svk-vs-fin
