jersey_number,Name,Pos,line_number,team,home,lineups_url,game_url
83.0,KOSHECHKIN Vasili,GK,0,RUS,True,https://www.iihf.com//en/events/2018/wm/gamecenter/lineup/1614/1-rus-vs-fra,https://www.iihf.com//en/events/2018/wm/gamecenter/playbyplay/1614/1-rus-vs-fra
30.0,SHESTYORKIN Igor,GK,0,RUS,True,https://www.iihf.com//en/events/2018/wm/gamecenter/lineup/1614/1-rus-vs-fra,https://www.iihf.com//en/events/2018/wm/gamecenter/playbyplay/1614/1-rus-vs-fra
4.0,GAVRIKOV Vladislav,D,1,RUS,True,https://www.iihf.com//en/events/2018/wm/gamecenter/lineup/1614/1-rus-vs-fra,https://www.iihf.com//en/events/2018/wm/gamecenter/playbyplay/1614/1-rus-vs-fra
55.0,KISELEVICH Bogdan,D,1,RUS,True,https://www.iihf.com//en/events/2018/wm/gamecenter/lineup/1614/1-rus-vs-fra,https://www.iihf.com//en/events/2018/wm/gamecenter/playbyplay/1614/1-rus-vs-fra
7.0,KAPRIZOV Kirill,F,1,RUS,True,https://www.iihf.com//en/events/2018/wm/gamecenter/lineup/1614/1-rus-vs-fra,https://www.iihf.com//en/events/2018/wm/gamecenter/playbyplay/1614/1-rus-vs-fra
13.0,DATSYUK Pavel,F,1,RUS,True,https://www.iihf.com//en/events/2018/wm/gamecenter/lineup/1614/1-rus-vs-fra,https://www.iihf.com//en/events/2018/wm/gamecenter/playbyplay/1614/1-rus-vs-fra
63.0,DADONOV Yevgeni,F,1,RUS,True,https://www.iihf.com//en/events/2018/wm/gamecenter/lineup/1614/1-rus-vs-fra,https://www.iihf.com//en/events/2018/wm/gamecenter/playbyplay/1614/1-rus-vs-fra
89.0,NESTEROV Nikita,D,2,RUS,True,https://www.iihf.com//en/events/2018/wm/gamecenter/lineup/1614/1-rus-vs-fra,https://www.iihf.com//en/events/2018/wm/gamecenter/playbyplay/1614/1-rus-vs-fra
22.0,ZAITSEV Nikita,D,2,RUS,True,https://www.iihf.com//en/events/2018/wm/gamecenter/lineup/1614/1-rus-vs-fra,https://www.iihf.com//en/events/2018/wm/gamecenter/playbyplay/1614/1-rus-vs-fra
25.0,GRIGORENKO Mikhail,F,2,RUS,True,https://www.iihf.com//en/events/2018/wm/gamecenter/lineup/1614/1-rus-vs-fra,https://www.iihf.com//en/events/2018/wm/gamecenter/playbyplay/1614/1-rus-vs-fra
15.0,ANISIMOV Artyom,F,2,RUS,True,https://www.iihf.com//en/events/2018/wm/gamecenter/lineup/1614/1-rus-vs-fra,https://www.iihf.com//en/events/2018/wm/gamecenter/playbyplay/1614/1-rus-vs-fra
19.0,BUCHNEVICH Pavel,F,2,RUS,True,https://www.iihf.com//en/events/2018/wm/gamecenter/lineup/1614/1-rus-vs-fra,https://www.iihf.com//en/events/2018/wm/gamecenter/playbyplay/1614/1-rus-vs-fra
44.0,YAKOVLEV Yegor,D,3,RUS,True,https://www.iihf.com//en/events/2018/wm/gamecenter/lineup/1614/1-rus-vs-fra,https://www.iihf.com//en/events/2018/wm/gamecenter/playbyplay/1614/1-rus-vs-fra
78.0,MAMIN Maxim,F,3,RUS,True,https://www.iihf.com//en/events/2018/wm/gamecenter/lineup/1614/1-rus-vs-fra,https://www.iihf.com//en/events/2018/wm/gamecenter/playbyplay/1614/1-rus-vs-fra
11.0,ANDRONOV Sergei,F,3,RUS,True,https://www.iihf.com//en/events/2018/wm/gamecenter/lineup/1614/1-rus-vs-fra,https://www.iihf.com//en/events/2018/wm/gamecenter/playbyplay/1614/1-rus-vs-fra
87.0,SHALUNOV Maxim,F,3,RUS,True,https://www.iihf.com//en/events/2018/wm/gamecenter/lineup/1614/1-rus-vs-fra,https://www.iihf.com//en/events/2018/wm/gamecenter/playbyplay/1614/1-rus-vs-fra
88.0,TRYAMKIN Nikita,D,4,RUS,True,https://www.iihf.com//en/events/2018/wm/gamecenter/lineup/1614/1-rus-vs-fra,https://www.iihf.com//en/events/2018/wm/gamecenter/playbyplay/1614/1-rus-vs-fra
3.0,KHAFIZULLIN Dinar,D,4,RUS,True,https://www.iihf.com//en/events/2018/wm/gamecenter/lineup/1614/1-rus-vs-fra,https://www.iihf.com//en/events/2018/wm/gamecenter/playbyplay/1614/1-rus-vs-fra
94.0,BARABANOV Alexander,F,4,RUS,True,https://www.iihf.com//en/events/2018/wm/gamecenter/lineup/1614/1-rus-vs-fra,https://www.iihf.com//en/events/2018/wm/gamecenter/playbyplay/1614/1-rus-vs-fra
29.0,KABLUKOV Ilya,F,4,RUS,True,https://www.iihf.com//en/events/2018/wm/gamecenter/lineup/1614/1-rus-vs-fra,https://www.iihf.com//en/events/2018/wm/gamecenter/playbyplay/1614/1-rus-vs-fra
66.0,MIKHEYEV Ilya,F,4,RUS,True,https://www.iihf.com//en/events/2018/wm/gamecenter/lineup/1614/1-rus-vs-fra,https://www.iihf.com//en/events/2018/wm/gamecenter/playbyplay/1614/1-rus-vs-fra
,VOROBYOV Ilia,He. Co.,5,RUS,True,https://www.iihf.com//en/events/2018/wm/gamecenter/lineup/1614/1-rus-vs-fra,https://www.iihf.com//en/events/2018/wm/gamecenter/playbyplay/1614/1-rus-vs-fra
49.0,HARDY Florian,GK,0,FRA,False,https://www.iihf.com//en/events/2018/wm/gamecenter/lineup/1614/1-rus-vs-fra,https://www.iihf.com//en/events/2018/wm/gamecenter/playbyplay/1614/1-rus-vs-fra
33.0,QUEMENER Ronan,GK,0,FRA,False,https://www.iihf.com//en/events/2018/wm/gamecenter/lineup/1614/1-rus-vs-fra,https://www.iihf.com//en/events/2018/wm/gamecenter/playbyplay/1614/1-rus-vs-fra
62.0,CHAKIACHVILI Florian,D,1,FRA,False,https://www.iihf.com//en/events/2018/wm/gamecenter/lineup/1614/1-rus-vs-fra,https://www.iihf.com//en/events/2018/wm/gamecenter/playbyplay/1614/1-rus-vs-fra
4.0,MANAVIAN Antonin,D,1,FRA,False,https://www.iihf.com//en/events/2018/wm/gamecenter/lineup/1614/1-rus-vs-fra,https://www.iihf.com//en/events/2018/wm/gamecenter/playbyplay/1614/1-rus-vs-fra
12.0,CLAIREAUX Valentin,F,1,FRA,False,https://www.iihf.com//en/events/2018/wm/gamecenter/lineup/1614/1-rus-vs-fra,https://www.iihf.com//en/events/2018/wm/gamecenter/playbyplay/1614/1-rus-vs-fra
14.0,da COSTA Stephane,F,1,FRA,False,https://www.iihf.com//en/events/2018/wm/gamecenter/lineup/1614/1-rus-vs-fra,https://www.iihf.com//en/events/2018/wm/gamecenter/playbyplay/1614/1-rus-vs-fra
9.0,FLEURY Damien,F,1,FRA,False,https://www.iihf.com//en/events/2018/wm/gamecenter/lineup/1614/1-rus-vs-fra,https://www.iihf.com//en/events/2018/wm/gamecenter/playbyplay/1614/1-rus-vs-fra
8.0,GALLET Hugo,D,2,FRA,False,https://www.iihf.com//en/events/2018/wm/gamecenter/lineup/1614/1-rus-vs-fra,https://www.iihf.com//en/events/2018/wm/gamecenter/playbyplay/1614/1-rus-vs-fra
84.0,HECQUEFEUILLE Kevin,D,2,FRA,False,https://www.iihf.com//en/events/2018/wm/gamecenter/lineup/1614/1-rus-vs-fra,https://www.iihf.com//en/events/2018/wm/gamecenter/playbyplay/1614/1-rus-vs-fra
77.0,TREILLE Sacha,F,2,FRA,False,https://www.iihf.com//en/events/2018/wm/gamecenter/lineup/1614/1-rus-vs-fra,https://www.iihf.com//en/events/2018/wm/gamecenter/playbyplay/1614/1-rus-vs-fra
71.0,GUTTIG Anthony,F,2,FRA,False,https://www.iihf.com//en/events/2018/wm/gamecenter/lineup/1614/1-rus-vs-fra,https://www.iihf.com//en/events/2018/wm/gamecenter/playbyplay/1614/1-rus-vs-fra
80.0,da COSTA Teddy,F,2,FRA,False,https://www.iihf.com//en/events/2018/wm/gamecenter/lineup/1614/1-rus-vs-fra,https://www.iihf.com//en/events/2018/wm/gamecenter/playbyplay/1614/1-rus-vs-fra
28.0,RAUX Damien,D,3,FRA,False,https://www.iihf.com//en/events/2018/wm/gamecenter/lineup/1614/1-rus-vs-fra,https://www.iihf.com//en/events/2018/wm/gamecenter/playbyplay/1614/1-rus-vs-fra
3.0,JANIL Jonathan,D,3,FRA,False,https://www.iihf.com//en/events/2018/wm/gamecenter/lineup/1614/1-rus-vs-fra,https://www.iihf.com//en/events/2018/wm/gamecenter/playbyplay/1614/1-rus-vs-fra
27.0,LAMPERIER Loic,F,3,FRA,False,https://www.iihf.com//en/events/2018/wm/gamecenter/lineup/1614/1-rus-vs-fra,https://www.iihf.com//en/events/2018/wm/gamecenter/playbyplay/1614/1-rus-vs-fra
63.0,TEXIER Alexandre,F,3,FRA,False,https://www.iihf.com//en/events/2018/wm/gamecenter/lineup/1614/1-rus-vs-fra,https://www.iihf.com//en/events/2018/wm/gamecenter/playbyplay/1614/1-rus-vs-fra
81.0,RECH Anthony,F,3,FRA,False,https://www.iihf.com//en/events/2018/wm/gamecenter/lineup/1614/1-rus-vs-fra,https://www.iihf.com//en/events/2018/wm/gamecenter/playbyplay/1614/1-rus-vs-fra
29.0,DOUAY Floran,F,4,FRA,False,https://www.iihf.com//en/events/2018/wm/gamecenter/lineup/1614/1-rus-vs-fra,https://www.iihf.com//en/events/2018/wm/gamecenter/playbyplay/1614/1-rus-vs-fra
