jersey_number,name,team,home,pos,sog,ga,svs,svs%,statistics_url,game_url
1,BALIZS Bence,HUN,True,GK,28,5,23,82.14,https://www.iihf.com//en/events/2019/wmia/gamecenter/statistics/6192/1-hun-vs-kor,https://www.iihf.com//en/events/2019/wmia/gamecenter/playbyplay/6192/1-hun-vs-kor
30,VAY Adam,HUN,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wmia/gamecenter/statistics/6192/1-hun-vs-kor,https://www.iihf.com//en/events/2019/wmia/gamecenter/playbyplay/6192/1-hun-vs-kor
1,DALTON Matt,KOR,False,GK,37,1,36,97.3,https://www.iihf.com//en/events/2019/wmia/gamecenter/statistics/6192/1-hun-vs-kor,https://www.iihf.com//en/events/2019/wmia/gamecenter/playbyplay/6192/1-hun-vs-kor
30,LEE Yeonseung,KOR,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wmia/gamecenter/statistics/6192/1-hun-vs-kor,https://www.iihf.com//en/events/2019/wmia/gamecenter/playbyplay/6192/1-hun-vs-kor
1,LUBYS Laurynas,LTU,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wmia/gamecenter/statistics/6193/2-ltu-vs-blr,https://www.iihf.com//en/events/2019/wmia/gamecenter/playbyplay/6193/2-ltu-vs-blr
50,ARMALIS Mantas,LTU,True,GK,39,4,35,89.74,https://www.iihf.com//en/events/2019/wmia/gamecenter/statistics/6193/2-ltu-vs-blr,https://www.iihf.com//en/events/2019/wmia/gamecenter/playbyplay/6193/2-ltu-vs-blr
1,OSIPKOV Alexander,BLR,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wmia/gamecenter/statistics/6193/2-ltu-vs-blr,https://www.iihf.com//en/events/2019/wmia/gamecenter/playbyplay/6193/2-ltu-vs-blr
40,MILCHAKOV Dmitri,BLR,False,GK,13,3,10,76.92,https://www.iihf.com//en/events/2019/wmia/gamecenter/statistics/6193/2-ltu-vs-blr,https://www.iihf.com//en/events/2019/wmia/gamecenter/playbyplay/6193/2-ltu-vs-blr
1,PINTARIC Matija,SLO,True,GK,34,3,31,91.18,https://www.iihf.com//en/events/2019/wmia/gamecenter/statistics/6194/3-slo-vs-kaz,https://www.iihf.com//en/events/2019/wmia/gamecenter/playbyplay/6194/3-slo-vs-kaz
29,GRACNAR Luka,SLO,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wmia/gamecenter/statistics/6194/3-slo-vs-kaz,https://www.iihf.com//en/events/2019/wmia/gamecenter/playbyplay/6194/3-slo-vs-kaz
1,KARLSSON Henrik,KAZ,False,GK,23,2,21,91.3,https://www.iihf.com//en/events/2019/wmia/gamecenter/statistics/6194/3-slo-vs-kaz,https://www.iihf.com//en/events/2019/wmia/gamecenter/playbyplay/6194/3-slo-vs-kaz
20,KUDRYAVTSEV Sergei,KAZ,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wmia/gamecenter/statistics/6194/3-slo-vs-kaz,https://www.iihf.com//en/events/2019/wmia/gamecenter/playbyplay/6194/3-slo-vs-kaz
1,DALTON Matt,KOR,True,GK,44,3,41,93.18,https://www.iihf.com//en/events/2019/wmia/gamecenter/statistics/6195/4-kor-vs-slo,https://www.iihf.com//en/events/2019/wmia/gamecenter/playbyplay/6195/4-kor-vs-slo
30,LEE Yeonseung,KOR,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wmia/gamecenter/statistics/6195/4-kor-vs-slo,https://www.iihf.com//en/events/2019/wmia/gamecenter/playbyplay/6195/4-kor-vs-slo
