period,team,shooter_number,opponent,goalie_number,x,y,shot_chart_url,team1,team2,game_url
1.0,HUN,16.0,KOR,1.0,2.7344369557253696,2.250689496851913,https://www.iihf.com//pdf/688/ihm688901_77a_1_0,HUN,KOR,https://www.iihf.com//en/events/2019/wmia/gamecenter/playbyplay/6192/1-hun-vs-kor
1.0,KOR,17.0,HUN,1.0,2.473407971785999,0.4467987760828871,https://www.iihf.com//pdf/688/ihm688901_77a_1_0,HUN,KOR,https://www.iihf.com//en/events/2019/wmia/gamecenter/playbyplay/6192/1-hun-vs-kor
2.0,KOR,27.0,HUN,1.0,4.375207468556102,0.8306427705305248,https://www.iihf.com//pdf/688/ihm688901_77a_2_0,HUN,KOR,https://www.iihf.com//en/events/2019/wmia/gamecenter/playbyplay/6192/1-hun-vs-kor
2.0,KOR,19.0,HUN,1.0,5.1955924650400975,0.4850081926246044,https://www.iihf.com//pdf/688/ihm688901_77a_2_0,HUN,KOR,https://www.iihf.com//en/events/2019/wmia/gamecenter/playbyplay/6192/1-hun-vs-kor
3.0,KOR,11.0,HUN,1.0,2.734437383550705,2.0589424825311413,https://www.iihf.com//pdf/688/ihm688901_77a_3_0,HUN,KOR,https://www.iihf.com//en/events/2019/wmia/gamecenter/playbyplay/6192/1-hun-vs-kor
3.0,KOR,19.0,HUN,1.0,4.076885646792654,3.05676135007604,https://www.iihf.com//pdf/688/ihm688901_77a_3_0,HUN,KOR,https://www.iihf.com//en/events/2019/wmia/gamecenter/playbyplay/6192/1-hun-vs-kor
1.0,LTU,71.0,BLR,40.0,2.846307258982102,0.638720773306706,https://www.iihf.com//pdf/688/ihm688902_77a_1_0,LTU,BLR,https://www.iihf.com//en/events/2019/wmia/gamecenter/playbyplay/6193/2-ltu-vs-blr
1.0,LTU,8.0,BLR,40.0,2.6971461614894694,0.6769307249643344,https://www.iihf.com//pdf/688/ihm688902_77a_1_0,LTU,BLR,https://www.iihf.com//en/events/2019/wmia/gamecenter/playbyplay/6193/2-ltu-vs-blr
1.0,BLR,9.0,LTU,50.0,3.4429523223316476,0.6385457904036596,https://www.iihf.com//pdf/688/ihm688902_77a_1_0,LTU,BLR,https://www.iihf.com//en/events/2019/wmia/gamecenter/playbyplay/6193/2-ltu-vs-blr
1.0,BLR,71.0,LTU,50.0,5.344756454618047,2.4811703413076307,https://www.iihf.com//pdf/688/ihm688902_77a_1_0,LTU,BLR,https://www.iihf.com//en/events/2019/wmia/gamecenter/playbyplay/6193/2-ltu-vs-blr
