period,team,shooter_number,opponent,goalie_number,x,y,team1,team2,game_url,shot_chart_url
1,HUN,15,KOR,1,0.08682958477508651,3.747679469849964,HUN,KOR,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29738/1-hun-vs-kor,https://www.iihf.com//pdf/758/ihm758901_77a_3_0
1,HUN,20,KOR,1,2.6225670415224913,0.5233931271852796,HUN,KOR,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29738/1-hun-vs-kor,https://www.iihf.com//pdf/758/ihm758901_77a_3_0
2,HUN,26,KOR,1,0.012248875970107199,1.7900767035147482,HUN,KOR,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29738/1-hun-vs-kor,https://www.iihf.com//pdf/758/ihm758901_77a_3_0
2,HUN,26,KOR,1,0.42244150417779025,2.289073896296677,HUN,KOR,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29738/1-hun-vs-kor,https://www.iihf.com//pdf/758/ihm758901_77a_3_0
2,HUN,26,KOR,1,5.456624385652204,3.17191401329442,HUN,KOR,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29738/1-hun-vs-kor,https://www.iihf.com//pdf/758/ihm758901_77a_3_0
3,KOR,19,HUN,31,5.7176563062643115,1.8668455024042756,HUN,KOR,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29738/1-hun-vs-kor,https://www.iihf.com//pdf/758/ihm758901_77a_3_0
1,SLO,91,LTU,-1,5.568497138674474,1.9052304369649509,SLO,LTU,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29739/2-slo-vs-ltu,https://www.iihf.com//pdf/758/ihm758902_77a_3_0
2,SLO,92,LTU,50,0.3851512298046321,2.5193797578493475,SLO,LTU,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29739/2-slo-vs-ltu,https://www.iihf.com//pdf/758/ihm758902_77a_3_0
2,SLO,94,LTU,50,0.3105709409896869,1.2910800458487317,SLO,LTU,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29739/2-slo-vs-ltu,https://www.iihf.com//pdf/758/ihm758902_77a_3_0
3,LTU,10,SLO,69,5.34475356253273,0.9072365865170052,SLO,LTU,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29739/2-slo-vs-ltu,https://www.iihf.com//pdf/758/ihm758902_77a_3_0
3,LTU,97,SLO,69,0.8326342623511589,2.9032237522969853,SLO,LTU,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29739/2-slo-vs-ltu,https://www.iihf.com//pdf/758/ihm758902_77a_3_0
3,SLO,45,LTU,-1,2.510696699494277,1.0595744544225725,SLO,LTU,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29739/2-slo-vs-ltu,https://www.iihf.com//pdf/758/ihm758902_77a_3_0
1,HUN,14,LTU,-1,0.2732815411232366,3.863007651087302,LTU,HUN,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29740/3-ltu-vs-hun,https://www.iihf.com//pdf/758/ihm758903_77a_3_0
2,HUN,22,LTU,50,0.3105709409896869,1.0225642326384317,LTU,HUN,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29740/3-ltu-vs-hun,https://www.iihf.com//pdf/758/ihm758903_77a_3_0
2,LTU,4,HUN,31,4.859982199893532,2.4799706114341427,LTU,HUN,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29740/3-ltu-vs-hun,https://www.iihf.com//pdf/758/ihm758903_77a_3_0
1,ROU,25,SLO,32,0.12411956912389611,2.5193797578493475,ROU,SLO,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29741/4-rou-vs-slo,https://www.iihf.com//pdf/758/ihm758904_77a_3_0
1,SLO,8,ROU,1,5.605785866382752,1.9819992358544782,ROU,SLO,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29741/4-rou-vs-slo,https://www.iihf.com//pdf/758/ihm758904_77a_3_0
2,SLO,91,ROU,1,3.5548219522093643,3.05676135007604,ROU,SLO,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29741/4-rou-vs-slo,https://www.iihf.com//pdf/758/ihm758904_77a_3_0
2,SLO,8,ROU,1,0.12411956912389611,3.7860644044106393,ROU,SLO,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29741/4-rou-vs-slo,https://www.iihf.com//pdf/758/ihm758904_77a_3_0
2,SLO,18,ROU,1,4.4870782916755765,0.7153145892931869,ROU,SLO,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29741/4-rou-vs-slo,https://www.iihf.com//pdf/758/ihm758904_77a_3_0
2,SLO,45,ROU,1,0.19870011787021244,2.940408421868261,ROU,SLO,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29741/4-rou-vs-slo,https://www.iihf.com//pdf/758/ihm758904_77a_3_0
2,SLO,91,ROU,1,0.16140984349705428,1.060773649180149,ROU,SLO,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29741/4-rou-vs-slo,https://www.iihf.com//pdf/758/ihm758904_77a_3_0
2,SLO,81,ROU,1,0.31057094098968696,3.5941418720709093,ROU,SLO,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29741/4-rou-vs-slo,https://www.iihf.com//pdf/758/ihm758904_77a_3_0
3,SLO,24,ROU,30,5.643078752994411,0.4084143766381234,ROU,SLO,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29741/4-rou-vs-slo,https://www.iihf.com//pdf/758/ihm758904_77a_3_0
3,SLO,91,ROU,30,5.158304498269896,3.2486828121839473,ROU,SLO,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29741/4-rou-vs-slo,https://www.iihf.com//pdf/758/ihm758904_77a_3_0
2,KOR,5,ROU,30,0.4597317785509485,1.9402034724741728,ROU,KOR,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29742/5-rou-vs-kor,https://www.iihf.com//pdf/758/ihm758905_77a_3_0
2,KOR,46,ROU,30,2.920887807728418,0.5233931271852796,ROU,KOR,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29742/5-rou-vs-kor,https://www.iihf.com//pdf/758/ihm758905_77a_3_0
2,ROU,18,KOR,1,0.6088925672078787,3.555758007742057,ROU,KOR,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29742/5-rou-vs-kor,https://www.iihf.com//pdf/758/ihm758905_77a_3_0
3,KOR,22,ROU,30,5.009141269630024,1.4447926265308326,ROU,KOR,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29742/5-rou-vs-kor,https://www.iihf.com//pdf/758/ihm758905_77a_3_0
3,KOR,46,ROU,-1,4.524371173808889,2.097151899072858,ROU,KOR,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29742/5-rou-vs-kor,https://www.iihf.com//pdf/758/ihm758905_77a_3_0
1,LTU,33,KOR,1,0.1614098434970542,1.55968361806851,KOR,LTU,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29743/6-kor-vs-ltu,https://www.iihf.com//pdf/758/ihm758906_77a_3_0
1,LTU,97,KOR,1,5.4939146600253626,2.596148556738875,KOR,LTU,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29743/6-kor-vs-ltu,https://www.iihf.com//pdf/758/ihm758906_77a_3_0
1,KOR,46,LTU,-1,0.1241183124833643,0.7536995238538622,KOR,LTU,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29743/6-kor-vs-ltu,https://www.iihf.com//pdf/758/ihm758906_77a_3_0
2,KOR,28,LTU,50,5.232882739413255,0.5617775266300433,KOR,LTU,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29743/6-kor-vs-ltu,https://www.iihf.com//pdf/758/ihm758906_77a_3_0
2,LTU,97,KOR,1,0.5343109528879425,2.44261095895982,KOR,LTU,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29743/6-kor-vs-ltu,https://www.iihf.com//pdf/758/ihm758906_77a_3_0
3,LTU,8,KOR,1,0.3478609554314739,2.2123050974071496,KOR,LTU,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29743/6-kor-vs-ltu,https://www.iihf.com//pdf/758/ihm758906_77a_3_0
3,LTU,13,KOR,-1,2.883598053218002,0.2162307077336023,KOR,LTU,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29743/6-kor-vs-ltu,https://www.iihf.com//pdf/758/ihm758906_77a_3_0
3,KOR,29,LTU,-1,0.0868295847750865,3.824448268739492,KOR,LTU,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29743/6-kor-vs-ltu,https://www.iihf.com//pdf/758/ihm758906_77a_3_0
1,HUN,26,SLO,32,3.592112226582523,0.830467787627478,SLO,HUN,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29744/7-slo-vs-hun,https://www.iihf.com//pdf/758/ihm758907_77a_3_0
1,SLO,8,HUN,31,0.3478631554431727,3.901217067629019,SLO,HUN,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29744/7-slo-vs-hun,https://www.iihf.com//pdf/758/ihm758907_77a_3_0
2,SLO,55,HUN,31,3.8904339017050455,2.976581722366882,SLO,HUN,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29744/7-slo-vs-hun,https://www.iihf.com//pdf/758/ihm758907_77a_3_0
2,SLO,19,HUN,31,0.4597317785509485,2.826454953407458,SLO,HUN,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29744/7-slo-vs-hun,https://www.iihf.com//pdf/758/ihm758907_77a_3_0
3,SLO,55,HUN,31,4.748111857865318,1.901819073029409,SLO,HUN,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29744/7-slo-vs-hun,https://www.iihf.com//pdf/758/ihm758907_77a_3_0
3,SLO,18,HUN,31,0.4224406108597285,1.252696181519879,SLO,HUN,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29744/7-slo-vs-hun,https://www.iihf.com//pdf/758/ihm758907_77a_3_0
1,ROU,25,LTU,50,0.8699245367243171,2.74968615451793,LTU,ROU,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29745/8-ltu-vs-rou,https://www.iihf.com//pdf/758/ihm758908_77a_3_0
1,ROU,21,LTU,50,2.361534211993788,3.709470053308247,LTU,ROU,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29745/8-ltu-vs-rou,https://www.iihf.com//pdf/758/ihm758908_77a_3_0
2,LTU,8,ROU,1,0.1241195691238961,3.133530148965568,LTU,ROU,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29745/8-ltu-vs-rou,https://www.iihf.com//pdf/758/ihm758908_77a_3_0
2,LTU,5,ROU,1,5.792236335147885,3.168503184474789,LTU,ROU,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29745/8-ltu-vs-rou,https://www.iihf.com//pdf/758/ihm758908_77a_3_0
2,LTU,17,ROU,1,1.6530195187665253,0.5619525095330902,LTU,ROU,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29745/8-ltu-vs-rou,https://www.iihf.com//pdf/758/ihm758908_77a_3_0
2,ROU,24,LTU,-1,5.195593225978174,3.1720889961974663,LTU,ROU,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29745/8-ltu-vs-rou,https://www.iihf.com//pdf/758/ihm758908_77a_3_0
3,ROU,16,LTU,50,0.4970220529241066,0.4466243282957522,LTU,ROU,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29745/8-ltu-vs-rou,https://www.iihf.com//pdf/758/ihm758908_77a_3_0
3,LTU,97,ROU,1,5.419333910034602,3.862833203300167,LTU,ROU,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29745/8-ltu-vs-rou,https://www.iihf.com//pdf/758/ihm758908_77a_3_0
3,LTU,16,ROU,1,0.7953445235560287,3.287067746744622,LTU,ROU,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29745/8-ltu-vs-rou,https://www.iihf.com//pdf/758/ihm758908_77a_3_0
1,HUN,10,ROU,30,5.493915524354538,2.74968615451793,HUN,ROU,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29746/9-hun-vs-rou,https://www.iihf.com//pdf/758/ihm758909_77a_3_0
1,HUN,25,ROU,30,5.121015770561618,1.8284616380754235,HUN,ROU,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29746/9-hun-vs-rou,https://www.iihf.com//pdf/758/ihm758909_77a_3_0
2,HUN,14,ROU,30,0.3478609554314739,1.291255028751778,HUN,ROU,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29746/9-hun-vs-rou,https://www.iihf.com//pdf/758/ihm758909_77a_3_0
2,ROU,13,HUN,31,0.5343109528879425,2.3657549361767254,HUN,ROU,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29746/9-hun-vs-rou,https://www.iihf.com//pdf/758/ihm758909_77a_3_0
2,ROU,10,HUN,31,0.1614111990950226,0.9072365865170052,HUN,ROU,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29746/9-hun-vs-rou,https://www.iihf.com//pdf/758/ihm758909_77a_3_0
3,HUN,20,ROU,30,0.1986999268033005,2.5193797578493475,HUN,ROU,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29746/9-hun-vs-rou,https://www.iihf.com//pdf/758/ihm758909_77a_3_0
1,SLO,51,KOR,1,0.38515188315145066,3.517373073181382,KOR,SLO,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29747/10-kor-vs-slo,https://www.iihf.com//pdf/758/ihm758910_77a_3_0
1,SLO,55,KOR,1,5.82952655043918,1.9785878719189363,KOR,SLO,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29747/10-kor-vs-slo,https://www.iihf.com//pdf/758/ihm758910_77a_3_0
2,SLO,55,KOR,1,0.16140984349705428,2.823044124587827,KOR,SLO,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29747/10-kor-vs-slo,https://www.iihf.com//pdf/758/ihm758910_77a_3_0
3,KOR,29,SLO,32,3.85314414719463,0.7536995238538622,KOR,SLO,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29747/10-kor-vs-slo,https://www.iihf.com//pdf/758/ihm758910_77a_3_0
3,SLO,24,KOR,1,2.846307725578919,0.6771051727514696,KOR,SLO,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29747/10-kor-vs-slo,https://www.iihf.com//pdf/758/ihm758910_77a_3_0
