jersey_number,name,team,home,pos,g,a,p,pim,ts,+/-,tot,shf,avg,ts_1,tot_1,ts_2,tot_2,ts_3,tot_3,statistics_url,game_url
3,MACAULAY Scott,HUN,True,D,0,0,0,0,0,1.0,19:45,32.0,0:37,0,6:34,0,7:16,0,5:55,https://www.iihf.com//en/events/2022/wmia/gamecenter/statistics/29738/1-hun-vs-kor,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29738/1-hun-vs-kor
7,GARAT Zsombor,HUN,True,D,0,1,1,0,1,1.0,19:27,30.0,0:38,0,8:06,1,4:42,0,6:39,https://www.iihf.com//en/events/2022/wmia/gamecenter/statistics/29738/1-hun-vs-kor,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29738/1-hun-vs-kor
20,SOFRON Istvan,HUN,True,F,1,1,2,0,4,1.0,13:37,24.0,0:34,1,4:48,3,4:51,0,3:58,https://www.iihf.com//en/events/2022/wmia/gamecenter/statistics/29738/1-hun-vs-kor,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29738/1-hun-vs-kor
22,HARI Janos,HUN,True,F,0,2,2,0,1,2.0,15:56,24.0,0:39,0,5:48,1,4:58,0,5:10,https://www.iihf.com//en/events/2022/wmia/gamecenter/statistics/29738/1-hun-vs-kor,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29738/1-hun-vs-kor
26,ERDELY Csanad,HUN,True,F,3,1,4,0,6,2.0,14:18,28.0,0:30,0,4:00,4,5:49,2,4:29,https://www.iihf.com//en/events/2022/wmia/gamecenter/statistics/29738/1-hun-vs-kor,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29738/1-hun-vs-kor
2,HORVATH Milan,HUN,True,D,0,0,0,0,0,0.0,18:48,29.0,0:38,0,5:30,0,5:51,0,7:27,https://www.iihf.com//en/events/2022/wmia/gamecenter/statistics/29738/1-hun-vs-kor,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29738/1-hun-vs-kor
4,POZSGAI Tamas,HUN,True,D,0,0,0,0,0,0.0,15:25,21.0,0:44,0,6:01,0,2:42,0,6:42,https://www.iihf.com//en/events/2022/wmia/gamecenter/statistics/29738/1-hun-vs-kor,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29738/1-hun-vs-kor
14,SEBOK Balazs,HUN,True,F,0,0,0,0,2,0.0,14:05,20.0,0:42,0,4:14,2,4:14,0,5:37,https://www.iihf.com//en/events/2022/wmia/gamecenter/statistics/29738/1-hun-vs-kor,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29738/1-hun-vs-kor
18,KULMALA Rasmus,HUN,True,F,0,0,0,4,0,0.0,14:39,26.0,0:33,0,5:56,0,3:37,0,5:06,https://www.iihf.com//en/events/2022/wmia/gamecenter/statistics/29738/1-hun-vs-kor,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29738/1-hun-vs-kor
25,MAGOSI Balint,HUN,True,F,0,0,0,0,0,1.0,18:12,27.0,0:40,0,7:42,0,6:03,0,4:27,https://www.iihf.com//en/events/2022/wmia/gamecenter/statistics/29738/1-hun-vs-kor,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29738/1-hun-vs-kor
6,SZIRANYI Bence,HUN,True,D,0,1,1,2,1,2.0,13:51,24.0,0:34,0,4:54,0,4:05,1,4:52,https://www.iihf.com//en/events/2022/wmia/gamecenter/statistics/29738/1-hun-vs-kor,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29738/1-hun-vs-kor
10,NAGY Gergo,HUN,True,F,0,1,1,0,0,1.0,14:20,25.0,0:34,0,3:58,0,4:48,0,5:34,https://www.iihf.com//en/events/2022/wmia/gamecenter/statistics/29738/1-hun-vs-kor,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29738/1-hun-vs-kor
15,FEJES Nandor,HUN,True,D,1,0,1,0,2,2.0,16:40,23.0,0:43,2,5:42,0,5:45,0,5:13,https://www.iihf.com//en/events/2022/wmia/gamecenter/statistics/29738/1-hun-vs-kor,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29738/1-hun-vs-kor
24,TERBOCS Istvan,HUN,True,F,0,1,1,0,0,1.0,11:43,21.0,0:33,0,4:49,0,2:20,0,4:34,https://www.iihf.com//en/events/2022/wmia/gamecenter/statistics/29738/1-hun-vs-kor,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29738/1-hun-vs-kor
27,PAPP Kristof,HUN,True,F,0,1,1,2,0,0.0,13:13,23.0,0:34,0,4:50,0,5:20,0,3:03,https://www.iihf.com//en/events/2022/wmia/gamecenter/statistics/29738/1-hun-vs-kor,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29738/1-hun-vs-kor
11,TOTH Richard,HUN,True,F,0,0,0,0,0,0.0,6:45,14.0,0:28,0,1:37,0,1:47,0,3:21,https://www.iihf.com//en/events/2022/wmia/gamecenter/statistics/29738/1-hun-vs-kor,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29738/1-hun-vs-kor
16,KOGER Daniel,HUN,True,F,0,0,0,0,3,0.0,13:05,19.0,0:41,2,4:45,0,3:06,1,5:14,https://www.iihf.com//en/events/2022/wmia/gamecenter/statistics/29738/1-hun-vs-kor,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29738/1-hun-vs-kor
17,KISS Roland,HUN,True,D,0,0,0,0,0,0.0,8:07,17.0,0:28,0,2:14,0,3:24,0,2:29,https://www.iihf.com//en/events/2022/wmia/gamecenter/statistics/29738/1-hun-vs-kor,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29738/1-hun-vs-kor
21,VAS Janos,HUN,True,F,0,0,0,0,2,0.0,14:59,24.0,0:37,0,6:02,2,3:26,0,5:31,https://www.iihf.com//en/events/2022/wmia/gamecenter/statistics/29738/1-hun-vs-kor,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29738/1-hun-vs-kor
8,SARPATKI Tamas,HUN,True,F,0,0,0,0,1,0.0,3:39,11.0,0:19,0,1:06,0,1:00,1,1:33,https://www.iihf.com//en/events/2022/wmia/gamecenter/statistics/29738/1-hun-vs-kor,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29738/1-hun-vs-kor
29,HETENYI Zoltan,HUN,True,GK,0,0,0,0,0,,,,,0,,0,,0,,https://www.iihf.com//en/events/2022/wmia/gamecenter/statistics/29738/1-hun-vs-kor,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29738/1-hun-vs-kor
31,RAJNA Miklos,HUN,True,GK,0,0,0,0,0,,,,,0,,0,,0,,https://www.iihf.com//en/events/2022/wmia/gamecenter/statistics/29738/1-hun-vs-kor,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29738/1-hun-vs-kor
8,YOO Beom Suk,KOR,False,D,0,0,0,0,0,-1.0,4:39,7.0,0:39,0,2:23,0,2:16,0,0:00,https://www.iihf.com//en/events/2022/wmia/gamecenter/statistics/29738/1-hun-vs-kor,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29738/1-hun-vs-kor
19,KIM Sangwook,KOR,False,F,1,0,1,0,2,-1.0,21:09,36.0,0:35,0,7:52,0,6:17,2,7:00,https://www.iihf.com//en/events/2022/wmia/gamecenter/statistics/29738/1-hun-vs-kor,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29738/1-hun-vs-kor
27,AHN Jin Hui,KOR,False,F,0,1,1,0,5,-1.0,16:09,25.0,0:38,0,5:17,2,4:00,3,6:52,https://www.iihf.com//en/events/2022/wmia/gamecenter/statistics/29738/1-hun-vs-kor,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29738/1-hun-vs-kor
61,LEE Don Ku,KOR,False,D,0,0,0,0,2,-2.0,19:16,28.0,0:41,0,5:14,2,7:31,0,6:31,https://www.iihf.com//en/events/2022/wmia/gamecenter/statistics/29738/1-hun-vs-kor,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29738/1-hun-vs-kor
92,KANG Yoon Seok,KOR,False,F,0,0,0,0,1,0.0,19:15,26.0,0:44,1,7:07,0,6:19,0,5:49,https://www.iihf.com//en/events/2022/wmia/gamecenter/statistics/29738/1-hun-vs-kor,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29738/1-hun-vs-kor
5,KIM Won Jun,KOR,False,D,0,1,1,2,1,1.0,22:49,33.0,0:41,0,8:35,1,7:07,0,7:07,https://www.iihf.com//en/events/2022/wmia/gamecenter/statistics/29738/1-hun-vs-kor,https://www.iihf.com//en/events/2022/wmia/gamecenter/playbyplay/29738/1-hun-vs-kor
