jersey_number,name,team,home,pos,sog,ga,svs,svs%,statistics_url,game_url
1,BEATON Neil Nebojsa,SRB,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmib/gamecenter/statistics/29755/1-srb-vs-jpn,https://www.iihf.com//en/events/2022/wmib/gamecenter/playbyplay/29755/1-srb-vs-jpn
25,RANKOVIC Arsenije,SRB,True,GK,53,8,45,84.91,https://www.iihf.com//en/events/2022/wmib/gamecenter/statistics/29755/1-srb-vs-jpn,https://www.iihf.com//en/events/2022/wmib/gamecenter/playbyplay/29755/1-srb-vs-jpn
1,NARISAWA Yuta,JPN,False,GK,16,0,16,100.0,https://www.iihf.com//en/events/2022/wmib/gamecenter/statistics/29755/1-srb-vs-jpn,https://www.iihf.com//en/events/2022/wmib/gamecenter/playbyplay/29755/1-srb-vs-jpn
29,FUKUFUJI Yutaka,JPN,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmib/gamecenter/statistics/29755/1-srb-vs-jpn,https://www.iihf.com//en/events/2022/wmib/gamecenter/playbyplay/29755/1-srb-vs-jpn
29,MURRAY John,POL,True,GK,36,0,36,100.0,https://www.iihf.com//en/events/2022/wmib/gamecenter/statistics/29756/2-pol-vs-est,https://www.iihf.com//en/events/2022/wmib/gamecenter/playbyplay/29756/2-pol-vs-est
30,ZABOLOTNY David,POL,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmib/gamecenter/statistics/29756/2-pol-vs-est,https://www.iihf.com//en/events/2022/wmib/gamecenter/playbyplay/29756/2-pol-vs-est
1,KOITMAA Villem-Henrik,EST,False,GK,27,3,24,88.89,https://www.iihf.com//en/events/2022/wmib/gamecenter/statistics/29756/2-pol-vs-est,https://www.iihf.com//en/events/2022/wmib/gamecenter/playbyplay/29756/2-pol-vs-est
29,VIRRO Henrik,EST,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmib/gamecenter/statistics/29756/2-pol-vs-est,https://www.iihf.com//en/events/2022/wmib/gamecenter/playbyplay/29756/2-pol-vs-est
1,KUBRYTSKY Dmytro,UKR,True,GK,13,0,13,100.0,https://www.iihf.com//en/events/2022/wmib/gamecenter/statistics/29757/3-ukr-vs-srb,https://www.iihf.com//en/events/2022/wmib/gamecenter/playbyplay/29757/3-ukr-vs-srb
29,PYSARENKO Sergi,UKR,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmib/gamecenter/statistics/29757/3-ukr-vs-srb,https://www.iihf.com//en/events/2022/wmib/gamecenter/playbyplay/29757/3-ukr-vs-srb
1,BEATON Neil Nebojsa,SRB,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmib/gamecenter/statistics/29757/3-ukr-vs-srb,https://www.iihf.com//en/events/2022/wmib/gamecenter/playbyplay/29757/3-ukr-vs-srb
25,RANKOVIC Arsenije,SRB,False,GK,52,7,45,86.54,https://www.iihf.com//en/events/2022/wmib/gamecenter/statistics/29757/3-ukr-vs-srb,https://www.iihf.com//en/events/2022/wmib/gamecenter/playbyplay/29757/3-ukr-vs-srb
1,NARISAWA Yuta,JPN,True,GK,29,5,24,82.76,https://www.iihf.com//en/events/2022/wmib/gamecenter/statistics/29758/4-jpn-vs-est,https://www.iihf.com//en/events/2022/wmib/gamecenter/playbyplay/29758/4-jpn-vs-est
29,FUKUFUJI Yutaka,JPN,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmib/gamecenter/statistics/29758/4-jpn-vs-est,https://www.iihf.com//en/events/2022/wmib/gamecenter/playbyplay/29758/4-jpn-vs-est
1,KOITMAA Villem-Henrik,EST,False,GK,40,7,33,82.5,https://www.iihf.com//en/events/2022/wmib/gamecenter/statistics/29758/4-jpn-vs-est,https://www.iihf.com//en/events/2022/wmib/gamecenter/playbyplay/29758/4-jpn-vs-est
29,VIRRO Henrik,EST,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmib/gamecenter/statistics/29758/4-jpn-vs-est,https://www.iihf.com//en/events/2022/wmib/gamecenter/playbyplay/29758/4-jpn-vs-est
1,KUBRYTSKY Dmytro,UKR,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmib/gamecenter/statistics/29759/5-ukr-vs-pol,https://www.iihf.com//en/events/2022/wmib/gamecenter/playbyplay/29759/5-ukr-vs-pol
29,PYSARENKO Sergi,UKR,True,GK,30,2,28,93.33,https://www.iihf.com//en/events/2022/wmib/gamecenter/statistics/29759/5-ukr-vs-pol,https://www.iihf.com//en/events/2022/wmib/gamecenter/playbyplay/29759/5-ukr-vs-pol
29,MURRAY John,POL,False,GK,33,2,31,93.94,https://www.iihf.com//en/events/2022/wmib/gamecenter/statistics/29759/5-ukr-vs-pol,https://www.iihf.com//en/events/2022/wmib/gamecenter/playbyplay/29759/5-ukr-vs-pol
30,ZABOLOTNY David,POL,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmib/gamecenter/statistics/29759/5-ukr-vs-pol,https://www.iihf.com//en/events/2022/wmib/gamecenter/playbyplay/29759/5-ukr-vs-pol
1,BEATON Neil Nebojsa,SRB,True,GK,3,0,3,100.0,https://www.iihf.com//en/events/2022/wmib/gamecenter/statistics/29760/6-srb-vs-pol,https://www.iihf.com//en/events/2022/wmib/gamecenter/playbyplay/29760/6-srb-vs-pol
25,RANKOVIC Arsenije,SRB,True,GK,62,10,52,83.87,https://www.iihf.com//en/events/2022/wmib/gamecenter/statistics/29760/6-srb-vs-pol,https://www.iihf.com//en/events/2022/wmib/gamecenter/playbyplay/29760/6-srb-vs-pol
29,MURRAY John,POL,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmib/gamecenter/statistics/29760/6-srb-vs-pol,https://www.iihf.com//en/events/2022/wmib/gamecenter/playbyplay/29760/6-srb-vs-pol
30,ZABOLOTNY David,POL,False,GK,17,2,15,88.24,https://www.iihf.com//en/events/2022/wmib/gamecenter/statistics/29760/6-srb-vs-pol,https://www.iihf.com//en/events/2022/wmib/gamecenter/playbyplay/29760/6-srb-vs-pol
1,NARISAWA Yuta,JPN,True,GK,30,2,28,93.33,https://www.iihf.com//en/events/2022/wmib/gamecenter/statistics/29761/7-jpn-vs-ukr,https://www.iihf.com//en/events/2022/wmib/gamecenter/playbyplay/29761/7-jpn-vs-ukr
