period,team,shooter_number,opponent,goalie_number,x,y,team1,team2,game_url,shot_chart_url
1,JPN,23,SRB,25,0.0495408570668086,1.905142677955472,SRB,JPN,https://www.iihf.com//en/events/2022/wmib/gamecenter/playbyplay/29755/1-srb-vs-jpn,https://www.iihf.com//pdf/762/ihm762901_77a_3_0
1,JPN,18,SRB,25,0.4970222251796646,3.4406048094077657,SRB,JPN,https://www.iihf.com//en/events/2022/wmib/gamecenter/playbyplay/29755/1-srb-vs-jpn,https://www.iihf.com//pdf/762/ihm762901_77a_3_0
2,JPN,26,SRB,25,0.571602601670423,2.020383100183331,SRB,JPN,https://www.iihf.com//en/events/2022/wmib/gamecenter/playbyplay/29755/1-srb-vs-jpn,https://www.iihf.com//pdf/762/ihm762901_77a_3_0
2,JPN,26,SRB,25,0.4224415041777902,3.0183764155153647,SRB,JPN,https://www.iihf.com//en/events/2022/wmib/gamecenter/playbyplay/29755/1-srb-vs-jpn,https://www.iihf.com//pdf/762/ihm762901_77a_3_0
2,JPN,18,SRB,25,0.6088928760435811,3.325451611073474,SRB,JPN,https://www.iihf.com//en/events/2022/wmib/gamecenter/playbyplay/29755/1-srb-vs-jpn,https://www.iihf.com//pdf/762/ihm762901_77a_3_0
2,JPN,15,SRB,25,0.7207634392316845,2.9032237522969853,SRB,JPN,https://www.iihf.com//en/events/2022/wmib/gamecenter/playbyplay/29755/1-srb-vs-jpn,https://www.iihf.com//pdf/762/ihm762901_77a_3_0
2,JPN,26,SRB,25,0.4597317785509485,3.632526806631585,SRB,JPN,https://www.iihf.com//en/events/2022/wmib/gamecenter/playbyplay/29755/1-srb-vs-jpn,https://www.iihf.com//pdf/762/ihm762901_77a_3_0
3,JPN,21,SRB,25,2.846307725578919,3.9013920505320656,SRB,JPN,https://www.iihf.com//en/events/2022/wmib/gamecenter/playbyplay/29755/1-srb-vs-jpn,https://www.iihf.com//pdf/762/ihm762901_77a_3_0
1,POL,22,EST,1,5.083722161783365,1.1377179660886343,POL,EST,https://www.iihf.com//en/events/2022/wmib/gamecenter/playbyplay/29756/2-pol-vs-est,https://www.iihf.com//pdf/762/ihm762902_77a_3_0
2,POL,10,EST,1,1.2428258916688848,2.9799925511865126,POL,EST,https://www.iihf.com//en/events/2022/wmib/gamecenter/playbyplay/29756/2-pol-vs-est,https://www.iihf.com//pdf/762/ihm762902_77a_3_0
