jersey_number,Name,Pos,line_number,team,home,lineups_url,game_url
30.0,DYACHENKO Bogdan,GK,0,UKR,True,https://www.iihf.com//en/events/2019/wmib/gamecenter/lineup/6208/1-ukr-vs-jpn,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6208/1-ukr-vs-jpn
29.0,OHANDZHANYAN Artur,GK,0,UKR,True,https://www.iihf.com//en/events/2019/wmib/gamecenter/lineup/6208/1-ukr-vs-jpn,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6208/1-ukr-vs-jpn
7.0,MEREZHKO Igor,D,1,UKR,True,https://www.iihf.com//en/events/2019/wmib/gamecenter/lineup/6208/1-ukr-vs-jpn,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6208/1-ukr-vs-jpn
28.0,PANGELOV-YULDASHEV Pylyp,D,1,UKR,True,https://www.iihf.com//en/events/2019/wmib/gamecenter/lineup/6208/1-ukr-vs-jpn,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6208/1-ukr-vs-jpn
18.0,LYALKA Vitali,F,1,UKR,True,https://www.iihf.com//en/events/2019/wmib/gamecenter/lineup/6208/1-ukr-vs-jpn,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6208/1-ukr-vs-jpn
10.0,MAZUR Vadym,F,1,UKR,True,https://www.iihf.com//en/events/2019/wmib/gamecenter/lineup/6208/1-ukr-vs-jpn,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6208/1-ukr-vs-jpn
8.0,MIKHNOV Andri,F,1,UKR,True,https://www.iihf.com//en/events/2019/wmib/gamecenter/lineup/6208/1-ukr-vs-jpn,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6208/1-ukr-vs-jpn
26.0,PETRUKHNO Denys,D,2,UKR,True,https://www.iihf.com//en/events/2019/wmib/gamecenter/lineup/6208/1-ukr-vs-jpn,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6208/1-ukr-vs-jpn
4.0,TOLSTUSHKO Vsevolod,D,2,UKR,True,https://www.iihf.com//en/events/2019/wmib/gamecenter/lineup/6208/1-ukr-vs-jpn,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6208/1-ukr-vs-jpn
11.0,GAVRYK Vladyslav,F,2,UKR,True,https://www.iihf.com//en/events/2019/wmib/gamecenter/lineup/6208/1-ukr-vs-jpn,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6208/1-ukr-vs-jpn
14.0,BUTSENKO Nikita,F,2,UKR,True,https://www.iihf.com//en/events/2019/wmib/gamecenter/lineup/6208/1-ukr-vs-jpn,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6208/1-ukr-vs-jpn
15.0,BABYNETS Sergi,F,2,UKR,True,https://www.iihf.com//en/events/2019/wmib/gamecenter/lineup/6208/1-ukr-vs-jpn,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6208/1-ukr-vs-jpn
12.0,GRYGORYEV Andri,D,3,UKR,True,https://www.iihf.com//en/events/2019/wmib/gamecenter/lineup/6208/1-ukr-vs-jpn,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6208/1-ukr-vs-jpn
13.0,SKRYPETS Danil,D,3,UKR,True,https://www.iihf.com//en/events/2019/wmib/gamecenter/lineup/6208/1-ukr-vs-jpn,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6208/1-ukr-vs-jpn
6.0,KOVALENKO Mykyta,F,3,UKR,True,https://www.iihf.com//en/events/2019/wmib/gamecenter/lineup/6208/1-ukr-vs-jpn,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6208/1-ukr-vs-jpn
24.0,HRYTSENKO Tymur,F,3,UKR,True,https://www.iihf.com//en/events/2019/wmib/gamecenter/lineup/6208/1-ukr-vs-jpn,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6208/1-ukr-vs-jpn
9.0,NIMENKO Dmytro,F,3,UKR,True,https://www.iihf.com//en/events/2019/wmib/gamecenter/lineup/6208/1-ukr-vs-jpn,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6208/1-ukr-vs-jpn
22.0,ROMANENKO Volodymyr,D,4,UKR,True,https://www.iihf.com//en/events/2019/wmib/gamecenter/lineup/6208/1-ukr-vs-jpn,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6208/1-ukr-vs-jpn
27.0,CHERDAK Volodymyr,F,4,UKR,True,https://www.iihf.com//en/events/2019/wmib/gamecenter/lineup/6208/1-ukr-vs-jpn,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6208/1-ukr-vs-jpn
25.0,PERESUNKO Olexander,F,4,UKR,True,https://www.iihf.com//en/events/2019/wmib/gamecenter/lineup/6208/1-ukr-vs-jpn,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6208/1-ukr-vs-jpn
21.0,DANYLENKO Dmytro,F,4,UKR,True,https://www.iihf.com//en/events/2019/wmib/gamecenter/lineup/6208/1-ukr-vs-jpn,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6208/1-ukr-vs-jpn
23.0,ZADOYENKO Oleg,F,4,UKR,True,https://www.iihf.com//en/events/2019/wmib/gamecenter/lineup/6208/1-ukr-vs-jpn,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6208/1-ukr-vs-jpn
,SRYUBKO Andri,He. Co.,5,UKR,True,https://www.iihf.com//en/events/2019/wmib/gamecenter/lineup/6208/1-ukr-vs-jpn,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6208/1-ukr-vs-jpn
1.0,HATA Michikazu,GK,0,JPN,False,https://www.iihf.com//en/events/2019/wmib/gamecenter/lineup/6208/1-ukr-vs-jpn,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6208/1-ukr-vs-jpn
29.0,ONODA Takuto,GK,0,JPN,False,https://www.iihf.com//en/events/2019/wmib/gamecenter/lineup/6208/1-ukr-vs-jpn,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6208/1-ukr-vs-jpn
6.0,KAWAI Ryuichi,D,1,JPN,False,https://www.iihf.com//en/events/2019/wmib/gamecenter/lineup/6208/1-ukr-vs-jpn,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6208/1-ukr-vs-jpn
3.0,YAMADA Kotaro,D,1,JPN,False,https://www.iihf.com//en/events/2019/wmib/gamecenter/lineup/6208/1-ukr-vs-jpn,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6208/1-ukr-vs-jpn
23.0,NAKAYASHIKI Yushi,F,1,JPN,False,https://www.iihf.com//en/events/2019/wmib/gamecenter/lineup/6208/1-ukr-vs-jpn,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6208/1-ukr-vs-jpn
