jersey_number,name,team,home,pos,sog,ga,svs,svs%,statistics_url,game_url
1,LEEUWESTEIJN Ruud,NED,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmiia/gamecenter/statistics/32603/1-ned-vs-esp,https://www.iihf.com//en/events/2022/wmiia/gamecenter/playbyplay/32603/1-ned-vs-esp
30,OOSTERWIJK Martijn,NED,True,GK,24,3,21,87.5,https://www.iihf.com//en/events/2022/wmiia/gamecenter/statistics/32603/1-ned-vs-esp,https://www.iihf.com//en/events/2022/wmiia/gamecenter/playbyplay/32603/1-ned-vs-esp
20,GARCIA Ignacio,ESP,False,GK,13,1,12,92.31,https://www.iihf.com//en/events/2022/wmiia/gamecenter/statistics/32603/1-ned-vs-esp,https://www.iihf.com//en/events/2022/wmiia/gamecenter/playbyplay/32603/1-ned-vs-esp
25,BARBO Raul,ESP,False,GK,10,4,6,60.0,https://www.iihf.com//en/events/2022/wmiia/gamecenter/statistics/32603/1-ned-vs-esp,https://www.iihf.com//en/events/2022/wmiia/gamecenter/playbyplay/32603/1-ned-vs-esp
1,TICHON Nir,ISR,True,GK,83,4,79,95.18,https://www.iihf.com//en/events/2022/wmiia/gamecenter/statistics/32604/2-isr-vs-cro,https://www.iihf.com//en/events/2022/wmiia/gamecenter/playbyplay/32604/2-isr-vs-cro
20,REISINGER Yehonatan,ISR,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmiia/gamecenter/statistics/32604/2-isr-vs-cro,https://www.iihf.com//en/events/2022/wmiia/gamecenter/playbyplay/32604/2-isr-vs-cro
1,ROSANDIC Vilim,CRO,False,GK,22,1,21,95.45,https://www.iihf.com//en/events/2022/wmiia/gamecenter/statistics/32604/2-isr-vs-cro,https://www.iihf.com//en/events/2022/wmiia/gamecenter/playbyplay/32604/2-isr-vs-cro
20,NIKOLIC Vito,CRO,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmiia/gamecenter/statistics/32604/2-isr-vs-cro,https://www.iihf.com//en/events/2022/wmiia/gamecenter/playbyplay/32604/2-isr-vs-cro
1,OUBAN Yongli,CHN,True,GK,18,1,17,94.44,https://www.iihf.com//en/events/2022/wmiia/gamecenter/statistics/32605/3-chn-vs-isr,https://www.iihf.com//en/events/2022/wmiia/gamecenter/playbyplay/32605/3-chn-vs-isr
20,HAN Pengfei,CHN,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmiia/gamecenter/statistics/32605/3-chn-vs-isr,https://www.iihf.com//en/events/2022/wmiia/gamecenter/playbyplay/32605/3-chn-vs-isr
1,TICHON Nir,ISR,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmiia/gamecenter/statistics/32605/3-chn-vs-isr,https://www.iihf.com//en/events/2022/wmiia/gamecenter/playbyplay/32605/3-chn-vs-isr
20,REISINGER Yehonatan,ISR,False,GK,56,14,42,75.0,https://www.iihf.com//en/events/2022/wmiia/gamecenter/statistics/32605/3-chn-vs-isr,https://www.iihf.com//en/events/2022/wmiia/gamecenter/playbyplay/32605/3-chn-vs-isr
1,OUBAN Yongli,CHN,True,GK,17,1,16,94.12,https://www.iihf.com//en/events/2022/wmiia/gamecenter/statistics/32606/4-chn-vs-ned,https://www.iihf.com//en/events/2022/wmiia/gamecenter/playbyplay/32606/4-chn-vs-ned
20,HAN Pengfei,CHN,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmiia/gamecenter/statistics/32606/4-chn-vs-ned,https://www.iihf.com//en/events/2022/wmiia/gamecenter/playbyplay/32606/4-chn-vs-ned
1,LEEUWESTEIJN Ruud,NED,False,GK,52,5,47,90.38,https://www.iihf.com//en/events/2022/wmiia/gamecenter/statistics/32606/4-chn-vs-ned,https://www.iihf.com//en/events/2022/wmiia/gamecenter/playbyplay/32606/4-chn-vs-ned
30,OOSTERWIJK Martijn,NED,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmiia/gamecenter/statistics/32606/4-chn-vs-ned,https://www.iihf.com//en/events/2022/wmiia/gamecenter/playbyplay/32606/4-chn-vs-ned
1,ROSANDIC Vilim,CRO,True,GK,31,0,31,100.0,https://www.iihf.com//en/events/2022/wmiia/gamecenter/statistics/32607/5-cro-vs-esp,https://www.iihf.com//en/events/2022/wmiia/gamecenter/playbyplay/32607/5-cro-vs-esp
20,NIKOLIC Vito,CRO,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmiia/gamecenter/statistics/32607/5-cro-vs-esp,https://www.iihf.com//en/events/2022/wmiia/gamecenter/playbyplay/32607/5-cro-vs-esp
20,GARCIA Ignacio,ESP,False,GK,34,0,34,100.0,https://www.iihf.com//en/events/2022/wmiia/gamecenter/statistics/32607/5-cro-vs-esp,https://www.iihf.com//en/events/2022/wmiia/gamecenter/playbyplay/32607/5-cro-vs-esp
25,BARBO Raul,ESP,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmiia/gamecenter/statistics/32607/5-cro-vs-esp,https://www.iihf.com//en/events/2022/wmiia/gamecenter/playbyplay/32607/5-cro-vs-esp
1,TICHON Nir,ISR,True,GK,68,7,61,89.71,https://www.iihf.com//en/events/2022/wmiia/gamecenter/statistics/32608/6-isr-vs-ned,https://www.iihf.com//en/events/2022/wmiia/gamecenter/playbyplay/32608/6-isr-vs-ned
20,REISINGER Yehonatan,ISR,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmiia/gamecenter/statistics/32608/6-isr-vs-ned,https://www.iihf.com//en/events/2022/wmiia/gamecenter/playbyplay/32608/6-isr-vs-ned
1,LEEUWESTEIJN Ruud,NED,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmiia/gamecenter/statistics/32608/6-isr-vs-ned,https://www.iihf.com//en/events/2022/wmiia/gamecenter/playbyplay/32608/6-isr-vs-ned
30,OOSTERWIJK Martijn,NED,False,GK,18,0,18,100.0,https://www.iihf.com//en/events/2022/wmiia/gamecenter/statistics/32608/6-isr-vs-ned,https://www.iihf.com//en/events/2022/wmiia/gamecenter/playbyplay/32608/6-isr-vs-ned
20,GARCIA Ignacio,ESP,True,GK,9,2,7,77.78,https://www.iihf.com//en/events/2022/wmiia/gamecenter/statistics/32609/7-esp-vs-isr,https://www.iihf.com//en/events/2022/wmiia/gamecenter/playbyplay/32609/7-esp-vs-isr
25,BARBO Raul,ESP,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmiia/gamecenter/statistics/32609/7-esp-vs-isr,https://www.iihf.com//en/events/2022/wmiia/gamecenter/playbyplay/32609/7-esp-vs-isr
1,TICHON Nir,ISR,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmiia/gamecenter/statistics/32609/7-esp-vs-isr,https://www.iihf.com//en/events/2022/wmiia/gamecenter/playbyplay/32609/7-esp-vs-isr
20,REISINGER Yehonatan,ISR,False,GK,77,6,71,92.21,https://www.iihf.com//en/events/2022/wmiia/gamecenter/statistics/32609/7-esp-vs-isr,https://www.iihf.com//en/events/2022/wmiia/gamecenter/playbyplay/32609/7-esp-vs-isr
1,ROSANDIC Vilim,CRO,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmiia/gamecenter/statistics/32610/8-cro-vs-chn,https://www.iihf.com//en/events/2022/wmiia/gamecenter/playbyplay/32610/8-cro-vs-chn
20,NIKOLIC Vito,CRO,True,GK,40,5,35,87.5,https://www.iihf.com//en/events/2022/wmiia/gamecenter/statistics/32610/8-cro-vs-chn,https://www.iihf.com//en/events/2022/wmiia/gamecenter/playbyplay/32610/8-cro-vs-chn
1,OUBAN Yongli,CHN,False,GK,23,1,22,95.65,https://www.iihf.com//en/events/2022/wmiia/gamecenter/statistics/32610/8-cro-vs-chn,https://www.iihf.com//en/events/2022/wmiia/gamecenter/playbyplay/32610/8-cro-vs-chn
20,HAN Pengfei,CHN,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmiia/gamecenter/statistics/32610/8-cro-vs-chn,https://www.iihf.com//en/events/2022/wmiia/gamecenter/playbyplay/32610/8-cro-vs-chn
20,GARCIA Ignacio,ESP,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmiia/gamecenter/statistics/32611/9-esp-vs-chn,https://www.iihf.com//en/events/2022/wmiia/gamecenter/playbyplay/32611/9-esp-vs-chn
25,BARBO Raul,ESP,True,GK,33,3,30,90.91,https://www.iihf.com//en/events/2022/wmiia/gamecenter/statistics/32611/9-esp-vs-chn,https://www.iihf.com//en/events/2022/wmiia/gamecenter/playbyplay/32611/9-esp-vs-chn
