jersey_number,Name,Pos,line_number,team,home,lineups_url,game_url
30.0,OOSTERWIJK Martijn,GK,0,NED,True,https://www.iihf.com//en/events/2022/wmiia/gamecenter/lineup/32603/1-ned-vs-esp,https://www.iihf.com//en/events/2022/wmiia/gamecenter/playbyplay/32603/1-ned-vs-esp
1.0,LEEUWESTEIJN Ruud,GK,0,NED,True,https://www.iihf.com//en/events/2022/wmiia/gamecenter/lineup/32603/1-ned-vs-esp,https://www.iihf.com//en/events/2022/wmiia/gamecenter/playbyplay/32603/1-ned-vs-esp
10.0,van der SCHUIT Raymond,F,1,NED,True,https://www.iihf.com//en/events/2022/wmiia/gamecenter/lineup/32603/1-ned-vs-esp,https://www.iihf.com//en/events/2022/wmiia/gamecenter/playbyplay/32603/1-ned-vs-esp
22.0,STEMPHER Danny,F,1,NED,True,https://www.iihf.com//en/events/2022/wmiia/gamecenter/lineup/32603/1-ned-vs-esp,https://www.iihf.com//en/events/2022/wmiia/gamecenter/playbyplay/32603/1-ned-vs-esp
11.0,VERSCHUREN Nick,F,1,NED,True,https://www.iihf.com//en/events/2022/wmiia/gamecenter/lineup/32603/1-ned-vs-esp,https://www.iihf.com//en/events/2022/wmiia/gamecenter/playbyplay/32603/1-ned-vs-esp
4.0,BORGMAN Bjorn,D,1,NED,True,https://www.iihf.com//en/events/2022/wmiia/gamecenter/lineup/32603/1-ned-vs-esp,https://www.iihf.com//en/events/2022/wmiia/gamecenter/playbyplay/32603/1-ned-vs-esp
15.0,MULLER Noah,D,1,NED,True,https://www.iihf.com//en/events/2022/wmiia/gamecenter/lineup/32603/1-ned-vs-esp,https://www.iihf.com//en/events/2022/wmiia/gamecenter/playbyplay/32603/1-ned-vs-esp
26.0,de BONTH Jonne,F,2,NED,True,https://www.iihf.com//en/events/2022/wmiia/gamecenter/lineup/32603/1-ned-vs-esp,https://www.iihf.com//en/events/2022/wmiia/gamecenter/playbyplay/32603/1-ned-vs-esp
21.0,van SOEST Ties,F,2,NED,True,https://www.iihf.com//en/events/2022/wmiia/gamecenter/lineup/32603/1-ned-vs-esp,https://www.iihf.com//en/events/2022/wmiia/gamecenter/playbyplay/32603/1-ned-vs-esp
18.0,HOFLAND Diego,F,2,NED,True,https://www.iihf.com//en/events/2022/wmiia/gamecenter/lineup/32603/1-ned-vs-esp,https://www.iihf.com//en/events/2022/wmiia/gamecenter/playbyplay/32603/1-ned-vs-esp
16.0,van GORP Kilian,D,2,NED,True,https://www.iihf.com//en/events/2022/wmiia/gamecenter/lineup/32603/1-ned-vs-esp,https://www.iihf.com//en/events/2022/wmiia/gamecenter/playbyplay/32603/1-ned-vs-esp
13.0,VERKIEL Jordy,D,2,NED,True,https://www.iihf.com//en/events/2022/wmiia/gamecenter/lineup/32603/1-ned-vs-esp,https://www.iihf.com//en/events/2022/wmiia/gamecenter/playbyplay/32603/1-ned-vs-esp
9.0,SARS Wouter,F,3,NED,True,https://www.iihf.com//en/events/2022/wmiia/gamecenter/lineup/32603/1-ned-vs-esp,https://www.iihf.com//en/events/2022/wmiia/gamecenter/playbyplay/32603/1-ned-vs-esp
14.0,SIKMA Dennis,F,3,NED,True,https://www.iihf.com//en/events/2022/wmiia/gamecenter/lineup/32603/1-ned-vs-esp,https://www.iihf.com//en/events/2022/wmiia/gamecenter/playbyplay/32603/1-ned-vs-esp
24.0,de RUITER Jay,F,3,NED,True,https://www.iihf.com//en/events/2022/wmiia/gamecenter/lineup/32603/1-ned-vs-esp,https://www.iihf.com//en/events/2022/wmiia/gamecenter/playbyplay/32603/1-ned-vs-esp
2.0,DOOP Frits,D,3,NED,True,https://www.iihf.com//en/events/2022/wmiia/gamecenter/lineup/32603/1-ned-vs-esp,https://www.iihf.com//en/events/2022/wmiia/gamecenter/playbyplay/32603/1-ned-vs-esp
5.0,VOGELAAR Giovanni,D,3,NED,True,https://www.iihf.com//en/events/2022/wmiia/gamecenter/lineup/32603/1-ned-vs-esp,https://www.iihf.com//en/events/2022/wmiia/gamecenter/playbyplay/32603/1-ned-vs-esp
19.0,COLLARD Mike,F,4,NED,True,https://www.iihf.com//en/events/2022/wmiia/gamecenter/lineup/32603/1-ned-vs-esp,https://www.iihf.com//en/events/2022/wmiia/gamecenter/playbyplay/32603/1-ned-vs-esp
23.0,HEUTMEKERS Luca,F,4,NED,True,https://www.iihf.com//en/events/2022/wmiia/gamecenter/lineup/32603/1-ned-vs-esp,https://www.iihf.com//en/events/2022/wmiia/gamecenter/playbyplay/32603/1-ned-vs-esp
12.0,BOER Levi,F,4,NED,True,https://www.iihf.com//en/events/2022/wmiia/gamecenter/lineup/32603/1-ned-vs-esp,https://www.iihf.com//en/events/2022/wmiia/gamecenter/playbyplay/32603/1-ned-vs-esp
27.0,van GESTEL Boet,D,4,NED,True,https://www.iihf.com//en/events/2022/wmiia/gamecenter/lineup/32603/1-ned-vs-esp,https://www.iihf.com//en/events/2022/wmiia/gamecenter/playbyplay/32603/1-ned-vs-esp
17.0,GERRITSEN Eef,F,4,NED,True,https://www.iihf.com//en/events/2022/wmiia/gamecenter/lineup/32603/1-ned-vs-esp,https://www.iihf.com//en/events/2022/wmiia/gamecenter/playbyplay/32603/1-ned-vs-esp
,MASON Doug,He. Co.,5,NED,True,https://www.iihf.com//en/events/2022/wmiia/gamecenter/lineup/32603/1-ned-vs-esp,https://www.iihf.com//en/events/2022/wmiia/gamecenter/playbyplay/32603/1-ned-vs-esp
25.0,BARBO Raul,GK,0,ESP,False,https://www.iihf.com//en/events/2022/wmiia/gamecenter/lineup/32603/1-ned-vs-esp,https://www.iihf.com//en/events/2022/wmiia/gamecenter/playbyplay/32603/1-ned-vs-esp
20.0,GARCIA Ignacio,GK,0,ESP,False,https://www.iihf.com//en/events/2022/wmiia/gamecenter/lineup/32603/1-ned-vs-esp,https://www.iihf.com//en/events/2022/wmiia/gamecenter/playbyplay/32603/1-ned-vs-esp
