jersey_number,name,team,home,pos,sog,ga,svs,svs%,statistics_url,game_url
1,DIMITROV Dimitar,BUL,True,GK,23,6,17,73.91,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30942/1-bul-vs-isl,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30942/1-bul-vs-isl
20,KARABADJAKOV Andrea,BUL,True,GK,33,4,29,87.88,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30942/1-bul-vs-isl,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30942/1-bul-vs-isl
1,RAGNARSSON Johann,ISL,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30942/1-bul-vs-isl,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30942/1-bul-vs-isl
20,JOHANNESSON Jakob,ISL,False,GK,18,2,16,88.89,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30942/1-bul-vs-isl,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30942/1-bul-vs-isl
20,van LOOVEREN Kevin,BEL,True,GK,29,4,25,86.21,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30943/2-bel-vs-geo,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30943/2-bel-vs-geo
25,WAUMANS Arne,BEL,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30943/2-bel-vs-geo,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30943/2-bel-vs-geo
1,FOFANOV Mikhail,GEO,False,GK,36,3,33,91.67,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30943/2-bel-vs-geo,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30943/2-bel-vs-geo
20,ILYENKO Andrey,GEO,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30943/2-bel-vs-geo,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30943/2-bel-vs-geo
1,ALBRECHT Richard,MEX,True,GK,18,1,17,94.44,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30944/3-mex-vs-bul,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30944/3-mex-vs-bul
20,de ANTUNANO Marcello,MEX,True,GK,11,5,6,54.55,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30944/3-mex-vs-bul,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30944/3-mex-vs-bul
1,DIMITROV Dimitar,BUL,False,GK,34,2,32,94.12,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30944/3-mex-vs-bul,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30944/3-mex-vs-bul
20,KARABADJAKOV Andrea,BUL,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30944/3-mex-vs-bul,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30944/3-mex-vs-bul
1,RAGNARSSON Johann,ISL,True,GK,32,2,30,93.75,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30945/4-isl-vs-geo,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30945/4-isl-vs-geo
20,JOHANNESSON Jakob,ISL,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30945/4-isl-vs-geo,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30945/4-isl-vs-geo
1,FOFANOV Mikhail,GEO,False,GK,23,4,19,82.61,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30945/4-isl-vs-geo,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30945/4-isl-vs-geo
20,ILYENKO Andrey,GEO,False,GK,25,1,24,96.0,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30945/4-isl-vs-geo,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30945/4-isl-vs-geo
1,ALBRECHT Richard,MEX,True,GK,35,5,30,85.71,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30946/5-mex-vs-bel,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30946/5-mex-vs-bel
20,de ANTUNANO Marcello,MEX,True,GK,19,1,18,94.74,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30946/5-mex-vs-bel,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30946/5-mex-vs-bel
20,van LOOVEREN Kevin,BEL,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30946/5-mex-vs-bel,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30946/5-mex-vs-bel
25,WAUMANS Arne,BEL,False,GK,17,1,16,94.12,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30946/5-mex-vs-bel,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30946/5-mex-vs-bel
1,DIMITROV Dimitar,BUL,True,GK,34,6,28,82.35,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30947/6-bul-vs-bel,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30947/6-bul-vs-bel
20,KARABADJAKOV Andrea,BUL,True,GK,25,5,20,80.0,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30947/6-bul-vs-bel,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30947/6-bul-vs-bel
20,van LOOVEREN Kevin,BEL,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30947/6-bul-vs-bel,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30947/6-bul-vs-bel
25,WAUMANS Arne,BEL,False,GK,12,0,12,100.0,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30947/6-bul-vs-bel,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30947/6-bul-vs-bel
1,FOFANOV Mikhail,GEO,True,GK,21,1,20,95.24,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30948/7-geo-vs-bul,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30948/7-geo-vs-bul
20,ILYENKO Andrey,GEO,True,GK,11,2,9,81.82,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30948/7-geo-vs-bul,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30948/7-geo-vs-bul
1,DIMITROV Dimitar,BUL,False,GK,60,8,52,86.67,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30948/7-geo-vs-bul,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30948/7-geo-vs-bul
20,KARABADJAKOV Andrea,BUL,False,GK,11,2,9,81.82,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30948/7-geo-vs-bul,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30948/7-geo-vs-bul
1,RAGNARSSON Johann,ISL,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30949/8-isl-vs-mex,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30949/8-isl-vs-mex
20,JOHANNESSON Jakob,ISL,True,GK,29,1,28,96.55,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30949/8-isl-vs-mex,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30949/8-isl-vs-mex
1,ALBRECHT Richard,MEX,False,GK,52,7,45,86.54,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30949/8-isl-vs-mex,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30949/8-isl-vs-mex
20,de ANTUNANO Marcello,MEX,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30949/8-isl-vs-mex,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30949/8-isl-vs-mex
1,FOFANOV Mikhail,GEO,True,GK,25,0,25,100.0,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30950/9-geo-vs-mex,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30950/9-geo-vs-mex
20,ILYENKO Andrey,GEO,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30950/9-geo-vs-mex,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30950/9-geo-vs-mex
1,ALBRECHT Richard,MEX,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30950/9-geo-vs-mex,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30950/9-geo-vs-mex
20,de ANTUNANO Marcello,MEX,False,GK,59,5,54,91.53,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30950/9-geo-vs-mex,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30950/9-geo-vs-mex
20,van LOOVEREN Kevin,BEL,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30951/10-bel-vs-isl,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30951/10-bel-vs-isl
25,WAUMANS Arne,BEL,True,GK,26,3,23,88.46,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30951/10-bel-vs-isl,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30951/10-bel-vs-isl
1,RAGNARSSON Johann,ISL,False,GK,46,2,44,95.65,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30951/10-bel-vs-isl,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30951/10-bel-vs-isl
20,JOHANNESSON Jakob,ISL,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30951/10-bel-vs-isl,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30951/10-bel-vs-isl
