period,team,shooter_number,opponent,goalie_number,x,y,shot_chart_url,team1,team2,game_url
1.0,ISR,16.0,ISL,1.0,0.6834734247898975,2.5577646924100232,https://www.iihf.com//pdf/693/ihm693901_77a_1_0,ISR,ISL,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6224/1-isr-vs-isl
1.0,ISR,9.0,ISL,1.0,0.9445048255392623,3.2486828121839473,https://www.iihf.com//pdf/693/ihm693901_77a_1_0,ISR,ISL,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6224/1-isr-vs-isl
1.0,ISL,24.0,ISR,1.0,2.9581780676071334,0.25487731397498026,https://www.iihf.com//pdf/693/ihm693901_77a_1_0,ISR,ISL,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6224/1-isr-vs-isl
2.0,ISL,6.0,ISR,1.0,5.34475356253273,3.17191401329442,https://www.iihf.com//pdf/693/ihm693901_77a_2_0,ISR,ISL,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6224/1-isr-vs-isl
2.0,ISR,3.0,ISL,1.0,5.419333910034602,3.4405175855141983,https://www.iihf.com//pdf/693/ihm693901_77a_2_0,ISR,ISL,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6224/1-isr-vs-isl
2.0,ISR,9.0,ISL,1.0,0.4597334974713868,3.4789892088525294,https://www.iihf.com//pdf/693/ihm693901_77a_2_0,ISR,ISL,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6224/1-isr-vs-isl
3.0,ISR,13.0,ISL,-1.0,1.8021806162591578,1.2526089576263115,https://www.iihf.com//pdf/693/ihm693901_77a_3_0,ISR,ISL,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6224/1-isr-vs-isl
3.0,ISR,7.0,ISL,-1.0,1.5784389700202088,1.3264035822799576,https://www.iihf.com//pdf/693/ihm693901_77a_3_0,ISR,ISL,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6224/1-isr-vs-isl
3.0,ISL,7.0,ISR,1.0,5.307463568006388,3.5143122101678443,https://www.iihf.com//pdf/693/ihm693901_77a_3_0,ISR,ISL,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6224/1-isr-vs-isl
4.0,ISR,13.0,ISL,-1.0,1.8021806162591578,1.2526089576263115,https://www.iihf.com//pdf/693/ihm693901_77a_4_0,ISR,ISL,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6224/1-isr-vs-isl
4.0,ISR,7.0,ISL,-1.0,1.5784389700202088,1.3264035822799576,https://www.iihf.com//pdf/693/ihm693901_77a_4_0,ISR,ISL,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6224/1-isr-vs-isl
4.0,ISL,7.0,ISR,1.0,5.307463568006388,3.5143122101678443,https://www.iihf.com//pdf/693/ihm693901_77a_4_0,ISR,ISL,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6224/1-isr-vs-isl
1.0,PRK,18.0,GEO,20.0,5.307463288159571,0.17793406729831762,https://www.iihf.com//pdf/693/ihm693902_77a_1_0,GEO,PRK,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6225/2-geo-vs-prk
1.0,PRK,15.0,GEO,20.0,3.5548219522093643,0.6385457904036596,https://www.iihf.com//pdf/693/ihm693902_77a_1_0,GEO,PRK,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6225/2-geo-vs-prk
1.0,GEO,19.0,PRK,20.0,0.6088925672078787,0.4850081926246044,https://www.iihf.com//pdf/693/ihm693902_77a_1_0,GEO,PRK,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6225/2-geo-vs-prk
1.0,GEO,13.0,PRK,20.0,3.1446300239552833,1.0606864252865815,https://www.iihf.com//pdf/693/ihm693902_77a_1_0,GEO,PRK,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6225/2-geo-vs-prk
2.0,GEO,14.0,PRK,20.0,2.9581780821015764,3.2488577950869937,https://www.iihf.com//pdf/693/ihm693902_77a_2_0,GEO,PRK,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6225/2-geo-vs-prk
2.0,GEO,2.0,PRK,20.0,5.232882739413255,1.5983291540780646,https://www.iihf.com//pdf/693/ihm693902_77a_2_0,GEO,PRK,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6225/2-geo-vs-prk
2.0,PRK,18.0,GEO,20.0,4.6735302435453825,1.9436143012938034,https://www.iihf.com//pdf/693/ihm693902_77a_2_0,GEO,PRK,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6225/2-geo-vs-prk
2.0,PRK,10.0,GEO,20.0,0.6461812949161565,2.404227094630968,https://www.iihf.com//pdf/693/ihm693902_77a_2_0,GEO,PRK,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6225/2-geo-vs-prk
2.0,PRK,18.0,GEO,20.0,2.6971486558424274,0.21631793162716972,https://www.iihf.com//pdf/693/ihm693902_77a_2_0,GEO,PRK,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6225/2-geo-vs-prk
3.0,PRK,12.0,GEO,20.0,4.673529143678625,1.8670204853073225,https://www.iihf.com//pdf/693/ihm693902_77a_3_0,GEO,PRK,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6225/2-geo-vs-prk
3.0,PRK,12.0,GEO,20.0,0.049539150343265365,0.7154895721962333,https://www.iihf.com//pdf/693/ihm693902_77a_3_0,GEO,PRK,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6225/2-geo-vs-prk
3.0,PRK,11.0,GEO,20.0,0.012248875970107199,0.753873971640997,https://www.iihf.com//pdf/693/ihm693902_77a_3_0,GEO,PRK,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6225/2-geo-vs-prk
3.0,PRK,18.0,GEO,20.0,0.23599039224337062,1.0223897848512968,https://www.iihf.com//pdf/693/ihm693902_77a_3_0,GEO,PRK,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6225/2-geo-vs-prk
1.0,NZL,8.0,MEX,1.0,4.934561064290732,1.9052304369649509,https://www.iihf.com//pdf/693/ihm693903_77a_1_0,NZL,MEX,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6226/3-nzl-vs-mex
1.0,NZL,12.0,MEX,1.0,0.31057094098968696,2.711476737976213,https://www.iihf.com//pdf/693/ihm693903_77a_1_0,NZL,MEX,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6226/3-nzl-vs-mex
1.0,NZL,22.0,MEX,1.0,0.8326342623511589,2.5195547407523944,https://www.iihf.com//pdf/693/ihm693903_77a_1_0,NZL,MEX,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6226/3-nzl-vs-mex
1.0,NZL,24.0,MEX,1.0,5.232882739413255,2.327633278644487,https://www.iihf.com//pdf/693/ihm693903_77a_1_0,NZL,MEX,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6226/3-nzl-vs-mex
1.0,MEX,7.0,NZL,1.0,5.158304498269896,2.247628098722464,https://www.iihf.com//pdf/693/ihm693903_77a_1_0,NZL,MEX,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6226/3-nzl-vs-mex
2.0,MEX,12.0,NZL,1.0,0.34786095543147394,2.0589424825311413,https://www.iihf.com//pdf/693/ihm693903_77a_2_0,NZL,MEX,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6226/3-nzl-vs-mex
2.0,NZL,4.0,MEX,1.0,4.822693472185255,1.0597494373256189,https://www.iihf.com//pdf/693/ihm693903_77a_2_0,NZL,MEX,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6226/3-nzl-vs-mex
2.0,NZL,3.0,MEX,1.0,5.754949095022624,3.2102111888456157,https://www.iihf.com//pdf/693/ihm693903_77a_2_0,NZL,MEX,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6226/3-nzl-vs-mex
2.0,NZL,24.0,MEX,1.0,2.3988263574660635,0.408414911754035,https://www.iihf.com//pdf/693/ihm693903_77a_2_0,NZL,MEX,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6226/3-nzl-vs-mex
1.0,ISL,23.0,PRK,20.0,4.449789559488954,0.36976830551265705,https://www.iihf.com//pdf/693/ihm693904_77a_1_0,ISL,PRK,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6227/4-isl-vs-prk
1.0,ISL,18.0,PRK,20.0,4.487078287197232,3.0183764155153647,https://www.iihf.com//pdf/693/ihm693904_77a_1_0,ISL,PRK,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6227/4-isl-vs-prk
1.0,ISL,19.0,PRK,20.0,5.232886112589832,3.4406048094077657,https://www.iihf.com//pdf/693/ihm693904_77a_1_0,ISL,PRK,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6227/4-isl-vs-prk
1.0,ISL,18.0,PRK,20.0,5.009141269630024,1.0991585837408242,https://www.iihf.com//pdf/693/ihm693904_77a_1_0,ISL,PRK,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6227/4-isl-vs-prk
2.0,ISL,23.0,PRK,1.0,0.6088928760435811,2.4809081345110164,https://www.iihf.com//pdf/693/ihm693904_77a_2_0,ISL,PRK,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6227/4-isl-vs-prk
2.0,ISL,23.0,PRK,1.0,1.317407569270844,0.5233059032917122,https://www.iihf.com//pdf/693/ihm693904_77a_2_0,ISL,PRK,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6227/4-isl-vs-prk
2.0,ISL,7.0,PRK,1.0,5.531204934398521,0.520332264171742,https://www.iihf.com//pdf/693/ihm693904_77a_2_0,ISL,PRK,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6227/4-isl-vs-prk
3.0,ISL,7.0,PRK,1.0,1.056378094224115,2.247628098722464,https://www.iihf.com//pdf/693/ihm693904_77a_3_0,ISL,PRK,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6227/4-isl-vs-prk
1.0,NZL,4.0,ISR,1.0,0.6088928760435811,1.0597494373256189,https://www.iihf.com//pdf/693/ihm693905_77a_1_0,NZL,ISR,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6228/5-nzl-vs-isr
1.0,ISR,4.0,NZL,1.0,5.643078752994411,0.10013998632243748,https://www.iihf.com//pdf/693/ihm693905_77a_1_0,NZL,ISR,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6228/5-nzl-vs-isr
2.0,ISR,8.0,NZL,1.0,5.307463288159571,0.3314711299614608,https://www.iihf.com//pdf/693/ihm693905_77a_2_0,NZL,ISR,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6228/5-nzl-vs-isr
2.0,ISR,4.0,NZL,1.0,0.907214551166104,0.2920625186621675,https://www.iihf.com//pdf/693/ihm693905_77a_2_0,NZL,ISR,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6228/5-nzl-vs-isr
3.0,NZL,16.0,ISR,1.0,0.6834734247898975,0.2930867305166971,https://www.iihf.com//pdf/693/ihm693905_77a_3_0,NZL,ISR,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6228/5-nzl-vs-isr
3.0,NZL,3.0,ISR,1.0,0.4970220529241066,2.1738329389529065,https://www.iihf.com//pdf/693/ihm693905_77a_3_0,NZL,ISR,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6228/5-nzl-vs-isr
3.0,ISR,4.0,NZL,1.0,5.568497138674474,3.4395800624373245,https://www.iihf.com//pdf/693/ihm693905_77a_3_0,NZL,ISR,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6228/5-nzl-vs-isr
3.0,ISR,13.0,NZL,-1.0,2.1750856734096353,1.2909928219551636,https://www.iihf.com//pdf/693/ihm693905_77a_3_0,NZL,ISR,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6228/5-nzl-vs-isr
1.0,GEO,13.0,MEX,1.0,0.19870011787021244,0.4465365692862733,https://www.iihf.com//pdf/693/ihm693906_77a_1_0,MEX,GEO,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6229/6-mex-vs-geo
1.0,MEX,18.0,GEO,20.0,4.89727092760181,3.287067746744622,https://www.iihf.com//pdf/693/ihm693906_77a_1_0,MEX,GEO,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6229/6-mex-vs-geo
2.0,GEO,13.0,MEX,1.0,5.195593225978174,1.367761620844691,https://www.iihf.com//pdf/693/ihm693906_77a_2_0,MEX,GEO,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6229/6-mex-vs-geo
3.0,GEO,13.0,MEX,1.0,5.121012436156523,3.402132650953523,https://www.iihf.com//pdf/693/ihm693906_77a_3_0,MEX,GEO,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6229/6-mex-vs-geo
3.0,MEX,7.0,GEO,20.0,5.158304498269896,1.787015840501211,https://www.iihf.com//pdf/693/ihm693906_77a_3_0,MEX,GEO,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6229/6-mex-vs-geo
1.0,NZL,23.0,GEO,20.0,0.16140984349705428,0.40815270495742073,https://www.iihf.com//pdf/693/ihm693907_77a_1_0,NZL,GEO,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6230/7-nzl-vs-geo
1.0,NZL,7.0,GEO,20.0,1.4665684068321054,2.132474900388173,https://www.iihf.com//pdf/693/ihm693907_77a_1_0,NZL,GEO,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6230/7-nzl-vs-geo
1.0,GEO,19.0,NZL,1.0,0.5716038394996008,0.830467787627478,https://www.iihf.com//pdf/693/ihm693907_77a_1_0,NZL,GEO,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6230/7-nzl-vs-geo
1.0,GEO,6.0,NZL,1.0,5.493915524354538,0.3698555294062249,https://www.iihf.com//pdf/693/ihm693907_77a_1_0,NZL,GEO,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6230/7-nzl-vs-geo
2.0,NZL,8.0,GEO,20.0,4.89727092760181,2.6345334912995506,https://www.iihf.com//pdf/693/ihm693907_77a_2_0,NZL,GEO,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6230/7-nzl-vs-geo
2.0,NZL,16.0,GEO,20.0,5.046434156241682,1.7900767035147482,https://www.iihf.com//pdf/693/ihm693907_77a_2_0,NZL,GEO,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6230/7-nzl-vs-geo
3.0,NZL,16.0,GEO,20.0,5.270173013786414,2.2123050974071496,https://www.iihf.com//pdf/693/ihm693907_77a_3_0,NZL,GEO,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6230/7-nzl-vs-geo
3.0,NZL,8.0,GEO,20.0,5.680366031891154,1.8668455024042756,https://www.iihf.com//pdf/693/ihm693907_77a_3_0,NZL,GEO,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6230/7-nzl-vs-geo
