jersey_number,name,team,home,pos,g,a,p,pim,ts,+/-,tot,shf,avg,ts_1,tot_1,ts_2,tot_2,ts_3,tot_3,statistics_url,game_url,ts_4,tot_4
5,MOSTOVOY Itay,ISR,True,D,0,0,0,0,3,2.0,0:00,0.0,0:00,1,0:00,0.0,0:00,2.0,0:00,https://www.iihf.com//en/events/2019/wmiib/gamecenter/statistics/6224/1-isr-vs-isl,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6224/1-isr-vs-isl,,
7,AHARONOVICH Roey,ISR,True,F,1,0,1,0,3,-1.0,0:00,0.0,0:00,1,0:00,0.0,0:00,2.0,0:00,https://www.iihf.com//en/events/2019/wmiib/gamecenter/statistics/6224/1-isr-vs-isl,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6224/1-isr-vs-isl,,
9,MAZOUR Daniel,ISR,True,F,2,0,2,0,4,1.0,0:00,0.0,0:00,3,0:00,1.0,0:00,0.0,0:00,https://www.iihf.com//en/events/2019/wmiib/gamecenter/statistics/6224/1-isr-vs-isl,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6224/1-isr-vs-isl,,
13,SHERBATOV Eliezer,ISR,True,F,0,1,1,0,9,0.0,0:00,0.0,0:00,1,0:00,3.0,0:00,5.0,0:00,https://www.iihf.com//en/events/2019/wmiib/gamecenter/statistics/6224/1-isr-vs-isl,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6224/1-isr-vs-isl,,
18,SPIVAK Daniel,ISR,True,D,0,0,0,0,2,2.0,0:00,0.0,0:00,0,0:00,1.0,0:00,1.0,0:00,https://www.iihf.com//en/events/2019/wmiib/gamecenter/statistics/6224/1-isr-vs-isl,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6224/1-isr-vs-isl,,
4,KOZHEVNIKOV Evgeni,ISR,True,D,0,0,0,2,2,-1.0,0:00,0.0,0:00,0,0:00,2.0,0:00,0.0,0:00,https://www.iihf.com//en/events/2019/wmiib/gamecenter/statistics/6224/1-isr-vs-isl,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6224/1-isr-vs-isl,,
8,FRENKEL Sergei,ISR,True,F,0,2,2,2,5,-1.0,0:00,0.0,0:00,0,0:00,3.0,0:00,2.0,0:00,https://www.iihf.com//en/events/2019/wmiib/gamecenter/statistics/6224/1-isr-vs-isl,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6224/1-isr-vs-isl,,
10,KOZEVNIKOV Michael,ISR,True,D,0,1,1,0,4,-2.0,0:00,0.0,0:00,3,0:00,0.0,0:00,1.0,0:00,https://www.iihf.com//en/events/2019/wmiib/gamecenter/statistics/6224/1-isr-vs-isl,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6224/1-isr-vs-isl,,
17,ROSENTHAL Yuval,ISR,True,D,0,0,0,0,0,1.0,0:00,0.0,0:00,0,0:00,0.0,0:00,0.0,0:00,https://www.iihf.com//en/events/2019/wmiib/gamecenter/statistics/6224/1-isr-vs-isl,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6224/1-isr-vs-isl,,
24,HALPERT Yuval,ISR,True,F,1,1,2,0,3,0.0,0:00,0.0,0:00,0,0:00,1.0,0:00,2.0,0:00,https://www.iihf.com//en/events/2019/wmiib/gamecenter/statistics/6224/1-isr-vs-isl,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6224/1-isr-vs-isl,,
3,VERNYY Artem,ISR,True,F,1,0,1,0,1,1.0,0:00,0.0,0:00,0,0:00,1.0,0:00,0.0,0:00,https://www.iihf.com//en/events/2019/wmiib/gamecenter/statistics/6224/1-isr-vs-isl,https://www.iihf.com//en/events/2019/wmiib/gamecenter/playbyplay/6224/1-isr-vs-isl,,
