jersey_number,name,team,home,pos,g,a,p,pim,ts,+/-,tot,shf,avg,ts_1,tot_1,ts_2,tot_2,ts_3,tot_3,statistics_url,game_url
6,RAYNOV Martin,BUL,True,D,0,0,0,0,1,1.0,0:00,0.0,0:00,1,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30942/1-bul-vs-isl,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30942/1-bul-vs-isl
7,GATCHEV Yanaki,BUL,True,D,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30942/1-bul-vs-isl,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30942/1-bul-vs-isl
11,GEORGIEV Tomislav,BUL,True,F,1,1,2,2,4,0.0,0:00,0.0,0:00,2,0:00,0,0:00,2,0:00,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30942/1-bul-vs-isl,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30942/1-bul-vs-isl
21,GATSEV Aleksandar,BUL,True,F,0,0,0,0,2,1.0,0:00,0.0,0:00,0,0:00,2,0:00,0,0:00,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30942/1-bul-vs-isl,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30942/1-bul-vs-isl
22,VASILEV Miroslav,BUL,True,F,0,1,1,4,1,1.0,0:00,0.0,0:00,1,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30942/1-bul-vs-isl,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30942/1-bul-vs-isl
8,ATANASOV Mario,BUL,True,F,0,0,0,0,0,-3.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30942/1-bul-vs-isl,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30942/1-bul-vs-isl
12,NAKOV Martin,BUL,True,F,0,0,0,4,2,-3.0,0:00,0.0,0:00,0,0:00,2,0:00,0,0:00,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30942/1-bul-vs-isl,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30942/1-bul-vs-isl
16,NIKOLOV Martin,BUL,True,F,0,0,0,0,1,-2.0,0:00,0.0,0:00,1,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30942/1-bul-vs-isl,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30942/1-bul-vs-isl
17,DIKOV Konstantin,BUL,True,D,1,0,1,0,2,-2.0,0:00,0.0,0:00,1,0:00,0,0:00,1,0:00,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30942/1-bul-vs-isl,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30942/1-bul-vs-isl
24,TOMOV Yavor,BUL,True,D,0,0,0,25,0,-3.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30942/1-bul-vs-isl,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30942/1-bul-vs-isl
9,DIKOV Veselin,BUL,True,F,0,0,0,2,4,-1.0,0:00,0.0,0:00,0,0:00,3,0:00,1,0:00,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30942/1-bul-vs-isl,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30942/1-bul-vs-isl
10,GEORGIEV Ivaylo,BUL,True,D,0,0,0,0,0,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30942/1-bul-vs-isl,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30942/1-bul-vs-isl
15,GEORGIEV Dan,BUL,True,D,0,0,0,0,0,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30942/1-bul-vs-isl,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30942/1-bul-vs-isl
19,TCHALIOV Nikola,BUL,True,F,0,0,0,0,0,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30942/1-bul-vs-isl,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30942/1-bul-vs-isl
23,KOZHUHAROV Aleksandar,BUL,True,F,0,0,0,0,1,-1.0,0:00,0.0,0:00,1,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30942/1-bul-vs-isl,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30942/1-bul-vs-isl
4,DIKOV Bogomil,BUL,True,D,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30942/1-bul-vs-isl,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30942/1-bul-vs-isl
14,STAMENOV Alexander,BUL,True,D,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30942/1-bul-vs-isl,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30942/1-bul-vs-isl
1,DIMITROV Dimitar,BUL,True,GK,0,0,0,0,0,,,,,0,,0,,0,,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30942/1-bul-vs-isl,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30942/1-bul-vs-isl
20,KARABADJAKOV Andrea,BUL,True,GK,0,0,0,0,0,,,,,0,,0,,0,,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30942/1-bul-vs-isl,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30942/1-bul-vs-isl
2,SKULASON Halldor,ISL,False,D,1,1,2,0,1,1.0,0:00,0.0,0:00,0,0:00,1,0:00,0,0:00,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30942/1-bul-vs-isl,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30942/1-bul-vs-isl
5,ARASON Gunnar,ISL,False,D,1,0,1,0,6,1.0,0:00,0.0,0:00,3,0:00,1,0:00,2,0:00,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30942/1-bul-vs-isl,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30942/1-bul-vs-isl
15,SIGRUNARSON Hafthor,ISL,False,F,0,2,2,2,1,2.0,0:00,0.0,0:00,0,0:00,0,0:00,1,0:00,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30942/1-bul-vs-isl,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30942/1-bul-vs-isl
19,MIKAELSSON Andri,ISL,False,F,1,1,2,0,3,2.0,0:00,0.0,0:00,0,0:00,3,0:00,0,0:00,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30942/1-bul-vs-isl,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30942/1-bul-vs-isl
23,LEIFSSON Johann,ISL,False,F,1,2,3,2,6,2.0,0:00,0.0,0:00,0,0:00,2,0:00,4,0:00,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30942/1-bul-vs-isl,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30942/1-bul-vs-isl
6,ATLASON Solvi,ISL,False,F,1,0,1,0,3,0.0,0:00,0.0,0:00,2,0:00,0,0:00,1,0:00,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30942/1-bul-vs-isl,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30942/1-bul-vs-isl
9,PALSSON Robert,ISL,False,D,0,0,0,0,3,0.0,0:00,0.0,0:00,0,0:00,2,0:00,1,0:00,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30942/1-bul-vs-isl,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30942/1-bul-vs-isl
14,ARNARSSON Kari,ISL,False,F,0,2,2,0,6,0.0,0:00,0.0,0:00,2,0:00,1,0:00,3,0:00,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30942/1-bul-vs-isl,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30942/1-bul-vs-isl
16,KRISTVEIGARSON Heidar,ISL,False,F,0,1,1,0,2,0.0,0:00,0.0,0:00,0,0:00,2,0:00,0,0:00,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30942/1-bul-vs-isl,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30942/1-bul-vs-isl
17,JOHANNESSON Bjarki,ISL,False,D,0,0,0,0,1,0.0,0:00,0.0,0:00,0,0:00,0,0:00,1,0:00,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30942/1-bul-vs-isl,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30942/1-bul-vs-isl
3,OLAFARSON Markus,ISL,False,D,0,0,0,0,1,2.0,0:00,0.0,0:00,1,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30942/1-bul-vs-isl,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30942/1-bul-vs-isl
7,SIGURDSSON Robert,ISL,False,F,2,1,3,2,5,2.0,0:00,0.0,0:00,2,0:00,2,0:00,1,0:00,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30942/1-bul-vs-isl,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30942/1-bul-vs-isl
10,SIGURDARSON Bjorn,ISL,False,F,1,3,4,0,2,2.0,0:00,0.0,0:00,0,0:00,0,0:00,2,0:00,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30942/1-bul-vs-isl,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30942/1-bul-vs-isl
21,ORONGAN Axel,ISL,False,F,1,1,2,0,7,2.0,0:00,0.0,0:00,5,0:00,2,0:00,0,0:00,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30942/1-bul-vs-isl,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30942/1-bul-vs-isl
24,SVEINSSON Atli,ISL,False,D,0,0,0,0,0,2.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wmiib/gamecenter/statistics/30942/1-bul-vs-isl,https://www.iihf.com//en/events/2022/wmiib/gamecenter/playbyplay/30942/1-bul-vs-isl
