jersey_number,name,team,home,pos,sog,ga,svs,svs%,statistics_url,game_url
1,BOZACI Tolga,TUR,True,GK,28,3,25,89.29,https://www.iihf.com//en/events/2019/wmiii/gamecenter/statistics/6416/1-tur-vs-lux,https://www.iihf.com//en/events/2019/wmiii/gamecenter/playbyplay/6416/1-tur-vs-lux
25,KARAGUL Muhammed,TUR,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wmiii/gamecenter/statistics/6416/1-tur-vs-lux,https://www.iihf.com//en/events/2019/wmiii/gamecenter/playbyplay/6416/1-tur-vs-lux
1,ANSELM Marcus,LUX,False,GK,36,2,34,94.44,https://www.iihf.com//en/events/2019/wmiii/gamecenter/statistics/6416/1-tur-vs-lux,https://www.iihf.com//en/events/2019/wmiii/gamecenter/playbyplay/6416/1-tur-vs-lux
20,CRUCHTEN Sven,LUX,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wmiii/gamecenter/statistics/6416/1-tur-vs-lux,https://www.iihf.com//en/events/2019/wmiii/gamecenter/playbyplay/6416/1-tur-vs-lux
1,MYRADOV Rahman,TKM,True,GK,10,3,7,70.0,https://www.iihf.com//en/events/2019/wmiii/gamecenter/statistics/6417/2-tkm-vs-tpe,https://www.iihf.com//en/events/2019/wmiii/gamecenter/playbyplay/6417/2-tkm-vs-tpe
20,CHARYYEV Keremli,TKM,True,GK,12,2,10,83.33,https://www.iihf.com//en/events/2019/wmiii/gamecenter/statistics/6417/2-tkm-vs-tpe,https://www.iihf.com//en/events/2019/wmiii/gamecenter/playbyplay/6417/2-tkm-vs-tpe
1,HOU Ta-Yu,TPE,False,GK,36,4,32,88.89,https://www.iihf.com//en/events/2019/wmiii/gamecenter/statistics/6417/2-tkm-vs-tpe,https://www.iihf.com//en/events/2019/wmiii/gamecenter/playbyplay/6417/2-tkm-vs-tpe
25,HE Wei-Chih,TPE,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wmiii/gamecenter/statistics/6417/2-tkm-vs-tpe,https://www.iihf.com//en/events/2019/wmiii/gamecenter/playbyplay/6417/2-tkm-vs-tpe
1,DIMITROV Dimitar,BUL,True,GK,25,2,23,92.0,https://www.iihf.com//en/events/2019/wmiii/gamecenter/statistics/6418/3-bul-vs-rsa,https://www.iihf.com//en/events/2019/wmiii/gamecenter/playbyplay/6418/3-bul-vs-rsa
25,STOYNOV Ivan,BUL,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2019/wmiii/gamecenter/statistics/6418/3-bul-vs-rsa,https://www.iihf.com//en/events/2019/wmiii/gamecenter/playbyplay/6418/3-bul-vs-rsa
1,PRETORIUS Charl,RSA,False,GK,32,12,20,62.5,https://www.iihf.com//en/events/2019/wmiii/gamecenter/statistics/6418/3-bul-vs-rsa,https://www.iihf.com//en/events/2019/wmiii/gamecenter/playbyplay/6418/3-bul-vs-rsa
