jersey_number,Name,Pos,line_number,team,home,lineups_url,game_url
1.0,BOZACI Tolga,GK,0,TUR,True,https://www.iihf.com//en/events/2019/wmiii/gamecenter/lineup/6416/1-tur-vs-lux,https://www.iihf.com//en/events/2019/wmiii/gamecenter/playbyplay/6416/1-tur-vs-lux
25.0,KARAGUL Muhammed,GK,0,TUR,True,https://www.iihf.com//en/events/2019/wmiii/gamecenter/lineup/6416/1-tur-vs-lux,https://www.iihf.com//en/events/2019/wmiii/gamecenter/playbyplay/6416/1-tur-vs-lux
21.0,FANER Fatih,D,1,TUR,True,https://www.iihf.com//en/events/2019/wmiii/gamecenter/lineup/6416/1-tur-vs-lux,https://www.iihf.com//en/events/2019/wmiii/gamecenter/playbyplay/6416/1-tur-vs-lux
9.0,SAVAS Emrah,D,1,TUR,True,https://www.iihf.com//en/events/2019/wmiii/gamecenter/lineup/6416/1-tur-vs-lux,https://www.iihf.com//en/events/2019/wmiii/gamecenter/playbyplay/6416/1-tur-vs-lux
18.0,HALIL Yusuf,F,1,TUR,True,https://www.iihf.com//en/events/2019/wmiii/gamecenter/lineup/6416/1-tur-vs-lux,https://www.iihf.com//en/events/2019/wmiii/gamecenter/playbyplay/6416/1-tur-vs-lux
12.0,UZUNALI Ogun,F,1,TUR,True,https://www.iihf.com//en/events/2019/wmiii/gamecenter/lineup/6416/1-tur-vs-lux,https://www.iihf.com//en/events/2019/wmiii/gamecenter/playbyplay/6416/1-tur-vs-lux
24.0,BAKAL Ferhat,F,1,TUR,True,https://www.iihf.com//en/events/2019/wmiii/gamecenter/lineup/6416/1-tur-vs-lux,https://www.iihf.com//en/events/2019/wmiii/gamecenter/playbyplay/6416/1-tur-vs-lux
23.0,KARS Kenan,D,2,TUR,True,https://www.iihf.com//en/events/2019/wmiii/gamecenter/lineup/6416/1-tur-vs-lux,https://www.iihf.com//en/events/2019/wmiii/gamecenter/playbyplay/6416/1-tur-vs-lux
22.0,SALT Hakan,D,2,TUR,True,https://www.iihf.com//en/events/2019/wmiii/gamecenter/lineup/6416/1-tur-vs-lux,https://www.iihf.com//en/events/2019/wmiii/gamecenter/playbyplay/6416/1-tur-vs-lux
11.0,FANER Emre,D,2,TUR,True,https://www.iihf.com//en/events/2019/wmiii/gamecenter/lineup/6416/1-tur-vs-lux,https://www.iihf.com//en/events/2019/wmiii/gamecenter/playbyplay/6416/1-tur-vs-lux
15.0,OZMEN Emrah,F,2,TUR,True,https://www.iihf.com//en/events/2019/wmiii/gamecenter/lineup/6416/1-tur-vs-lux,https://www.iihf.com//en/events/2019/wmiii/gamecenter/playbyplay/6416/1-tur-vs-lux
7.0,HARS Ahmet,F,2,TUR,True,https://www.iihf.com//en/events/2019/wmiii/gamecenter/lineup/6416/1-tur-vs-lux,https://www.iihf.com//en/events/2019/wmiii/gamecenter/playbyplay/6416/1-tur-vs-lux
16.0,AKTURK Savas,D,3,TUR,True,https://www.iihf.com//en/events/2019/wmiii/gamecenter/lineup/6416/1-tur-vs-lux,https://www.iihf.com//en/events/2019/wmiii/gamecenter/playbyplay/6416/1-tur-vs-lux
14.0,ELAKAS Alp,D,3,TUR,True,https://www.iihf.com//en/events/2019/wmiii/gamecenter/lineup/6416/1-tur-vs-lux,https://www.iihf.com//en/events/2019/wmiii/gamecenter/playbyplay/6416/1-tur-vs-lux
5.0,KAVAZ Sefa,F,3,TUR,True,https://www.iihf.com//en/events/2019/wmiii/gamecenter/lineup/6416/1-tur-vs-lux,https://www.iihf.com//en/events/2019/wmiii/gamecenter/playbyplay/6416/1-tur-vs-lux
17.0,BINGOL Sait,F,3,TUR,True,https://www.iihf.com//en/events/2019/wmiii/gamecenter/lineup/6416/1-tur-vs-lux,https://www.iihf.com//en/events/2019/wmiii/gamecenter/playbyplay/6416/1-tur-vs-lux
8.0,KARS Omer,F,3,TUR,True,https://www.iihf.com//en/events/2019/wmiii/gamecenter/lineup/6416/1-tur-vs-lux,https://www.iihf.com//en/events/2019/wmiii/gamecenter/playbyplay/6416/1-tur-vs-lux
10.0,GUMUS Serkan,F,4,TUR,True,https://www.iihf.com//en/events/2019/wmiii/gamecenter/lineup/6416/1-tur-vs-lux,https://www.iihf.com//en/events/2019/wmiii/gamecenter/playbyplay/6416/1-tur-vs-lux
19.0,CIPLAK Cengiz,F,4,TUR,True,https://www.iihf.com//en/events/2019/wmiii/gamecenter/lineup/6416/1-tur-vs-lux,https://www.iihf.com//en/events/2019/wmiii/gamecenter/playbyplay/6416/1-tur-vs-lux
13.0,TAYGAR Fatih,F,4,TUR,True,https://www.iihf.com//en/events/2019/wmiii/gamecenter/lineup/6416/1-tur-vs-lux,https://www.iihf.com//en/events/2019/wmiii/gamecenter/playbyplay/6416/1-tur-vs-lux
,McADAMS Keith,He. Co.,5,TUR,True,https://www.iihf.com//en/events/2019/wmiii/gamecenter/lineup/6416/1-tur-vs-lux,https://www.iihf.com//en/events/2019/wmiii/gamecenter/playbyplay/6416/1-tur-vs-lux
1.0,ANSELM Marcus,GK,0,LUX,False,https://www.iihf.com//en/events/2019/wmiii/gamecenter/lineup/6416/1-tur-vs-lux,https://www.iihf.com//en/events/2019/wmiii/gamecenter/playbyplay/6416/1-tur-vs-lux
20.0,CRUCHTEN Sven,GK,0,LUX,False,https://www.iihf.com//en/events/2019/wmiii/gamecenter/lineup/6416/1-tur-vs-lux,https://www.iihf.com//en/events/2019/wmiii/gamecenter/playbyplay/6416/1-tur-vs-lux
14.0,SCHEIER Ronny,D,1,LUX,False,https://www.iihf.com//en/events/2019/wmiii/gamecenter/lineup/6416/1-tur-vs-lux,https://www.iihf.com//en/events/2019/wmiii/gamecenter/playbyplay/6416/1-tur-vs-lux
23.0,GREIN Sebastian,D,1,LUX,False,https://www.iihf.com//en/events/2019/wmiii/gamecenter/lineup/6416/1-tur-vs-lux,https://www.iihf.com//en/events/2019/wmiii/gamecenter/playbyplay/6416/1-tur-vs-lux
7.0,BACKES Sacha,F,1,LUX,False,https://www.iihf.com//en/events/2019/wmiii/gamecenter/lineup/6416/1-tur-vs-lux,https://www.iihf.com//en/events/2019/wmiii/gamecenter/playbyplay/6416/1-tur-vs-lux
