jersey_number,name,team,home,pos,sog,ga,svs,svs%,statistics_url,game_url
1,AL SUWAIDI Khaled,UAE,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/statistics/29772/1-uae-vs-tkm,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/playbyplay/29772/1-uae-vs-tkm
25,AL DHAHERI Ahmed,UAE,True,GK,28,4,24,85.71,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/statistics/29772/1-uae-vs-tkm,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/playbyplay/29772/1-uae-vs-tkm
1,MYRADOV Rahman,TKM,False,GK,25,3,22,88.0,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/statistics/29772/1-uae-vs-tkm,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/playbyplay/29772/1-uae-vs-tkm
20,CHARYYEV Keremli,TKM,False,GK,13,7,6,46.15,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/statistics/29772/1-uae-vs-tkm,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/playbyplay/29772/1-uae-vs-tkm
1,BOZACI Tolga,TUR,True,GK,21,2,19,90.48,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/statistics/29773/2-tur-vs-lux,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/playbyplay/29773/2-tur-vs-lux
25,KARAGUL Muhammed,TUR,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/statistics/29773/2-tur-vs-lux,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/playbyplay/29773/2-tur-vs-lux
20,LEPAGE Philippe,LUX,False,GK,53,7,46,86.79,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/statistics/29773/2-tur-vs-lux,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/playbyplay/29773/2-tur-vs-lux
25,CRUCHTEN Sven,LUX,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/statistics/29773/2-tur-vs-lux,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/playbyplay/29773/2-tur-vs-lux
1,LEE Yi-Cheng,TPE,True,GK,33,3,30,90.91,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/statistics/29774/3-tpe-vs-uae,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/playbyplay/29774/3-tpe-vs-uae
25,HE Wei-Chih,TPE,True,GK,22,7,15,68.18,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/statistics/29774/3-tpe-vs-uae,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/playbyplay/29774/3-tpe-vs-uae
1,AL SUWAIDI Khaled,UAE,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/statistics/29774/3-tpe-vs-uae,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/playbyplay/29774/3-tpe-vs-uae
25,AL DHAHERI Ahmed,UAE,False,GK,26,2,24,92.31,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/statistics/29774/3-tpe-vs-uae,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/playbyplay/29774/3-tpe-vs-uae
1,LEE Yi-Cheng,TPE,True,GK,31,5,26,83.87,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/statistics/29775/4-tpe-vs-tur,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/playbyplay/29775/4-tpe-vs-tur
25,HE Wei-Chih,TPE,True,GK,2,0,2,100.0,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/statistics/29775/4-tpe-vs-tur,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/playbyplay/29775/4-tpe-vs-tur
1,BOZACI Tolga,TUR,False,GK,24,2,22,91.67,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/statistics/29775/4-tpe-vs-tur,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/playbyplay/29775/4-tpe-vs-tur
