period,team,shooter_number,opponent,goalie_number,x,y,team1,team2,game_url,shot_chart_url
1,UAE,13,TKM,20,4.337917194182944,1.4061460202894547,UAE,TKM,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/playbyplay/29772/1-uae-vs-tkm,https://www.iihf.com//pdf/5/ihm005901_77a_4_1
1,UAE,6,TKM,20,5.382043836905888,1.4446176436277862,UAE,TKM,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/playbyplay/29772/1-uae-vs-tkm,https://www.iihf.com//pdf/5/ihm005901_77a_4_1
1,UAE,19,TKM,20,5.232882739413255,1.9436143012938034,UAE,TKM,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/playbyplay/29772/1-uae-vs-tkm,https://www.iihf.com//pdf/5/ihm005901_77a_4_1
1,UAE,15,TKM,20,5.456624385652204,2.250689496851913,UAE,TKM,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/playbyplay/29772/1-uae-vs-tkm,https://www.iihf.com//pdf/5/ihm005901_77a_4_1
1,TKM,16,UAE,25,0.7207629092360927,2.365842160070293,UAE,TKM,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/playbyplay/29772/1-uae-vs-tkm,https://www.iihf.com//pdf/5/ihm005901_77a_4_1
1,TKM,22,UAE,25,0.3478631554431727,3.1720889961974663,UAE,TKM,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/playbyplay/29772/1-uae-vs-tkm,https://www.iihf.com//pdf/5/ihm005901_77a_4_1
2,TKM,23,UAE,25,-0.02504126843736538,2.1354490746240544,UAE,TKM,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/playbyplay/29772/1-uae-vs-tkm,https://www.iihf.com//pdf/5/ihm005901_77a_4_1
2,UAE,7,TKM,1,0.2732815411232366,3.8981562046154816,UAE,TKM,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/playbyplay/29772/1-uae-vs-tkm,https://www.iihf.com//pdf/5/ihm005901_77a_4_1
2,UAE,19,TKM,20,3.0327596819270695,0.4082399288509886,UAE,TKM,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/playbyplay/29772/1-uae-vs-tkm,https://www.iihf.com//pdf/5/ihm005901_77a_4_1
2,UAE,6,TKM,20,5.307463568006388,0.7536989887379506,UAE,TKM,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/playbyplay/29772/1-uae-vs-tkm,https://www.iihf.com//pdf/5/ihm005901_77a_4_1
