jersey_number,Name,Pos,line_number,team,home,lineups_url,game_url
1.0,AL SUWAIDI Khaled,GK,0,UAE,True,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/lineup/29772/1-uae-vs-tkm,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/playbyplay/29772/1-uae-vs-tkm
25.0,AL DHAHERI Ahmed,GK,0,UAE,True,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/lineup/29772/1-uae-vs-tkm,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/playbyplay/29772/1-uae-vs-tkm
15.0,SHAPAVALAU Dzmitry,D,1,UAE,True,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/lineup/29772/1-uae-vs-tkm,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/playbyplay/29772/1-uae-vs-tkm
21.0,SAUKO Vitali,D,1,UAE,True,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/lineup/29772/1-uae-vs-tkm,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/playbyplay/29772/1-uae-vs-tkm
8.0,AL MAHROOQI Khalifa,F,1,UAE,True,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/lineup/29772/1-uae-vs-tkm,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/playbyplay/29772/1-uae-vs-tkm
13.0,USENKO Alexander,F,1,UAE,True,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/lineup/29772/1-uae-vs-tkm,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/playbyplay/29772/1-uae-vs-tkm
19.0,ZAINUTDINOV Artur,F,1,UAE,True,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/lineup/29772/1-uae-vs-tkm,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/playbyplay/29772/1-uae-vs-tkm
3.0,AL DHAHERI Mohammed,D,2,UAE,True,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/lineup/29772/1-uae-vs-tkm,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/playbyplay/29772/1-uae-vs-tkm
23.0,REMESS Nils,D,2,UAE,True,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/lineup/29772/1-uae-vs-tkm,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/playbyplay/29772/1-uae-vs-tkm
7.0,AL DHAHERI Juma,F,2,UAE,True,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/lineup/29772/1-uae-vs-tkm,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/playbyplay/29772/1-uae-vs-tkm
22.0,ZAKHARAU Maksim,F,2,UAE,True,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/lineup/29772/1-uae-vs-tkm,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/playbyplay/29772/1-uae-vs-tkm
6.0,CHUIKOV Ilia,F,2,UAE,True,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/lineup/29772/1-uae-vs-tkm,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/playbyplay/29772/1-uae-vs-tkm
12.0,AL YAFEAI Salem,F,3,UAE,True,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/lineup/29772/1-uae-vs-tkm,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/playbyplay/29772/1-uae-vs-tkm
5.0,AL HADDAD Ali,D,3,UAE,True,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/lineup/29772/1-uae-vs-tkm,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/playbyplay/29772/1-uae-vs-tkm
11.0,AL MAZROUEI Mubarak,F,3,UAE,True,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/lineup/29772/1-uae-vs-tkm,https://www.iihf.com//en/events/2022/wmiiia/gamecenter/playbyplay/29772/1-uae-vs-tkm
