jersey_number,name,team,home,pos,sog,ga,svs,svs%,statistics_url,game_url
1,BOYD Ryan,RSA,True,GK,19,3,16,84.21,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29789/1-rsa-vs-bih,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih
20,BYWATER Alistair,RSA,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29789/1-rsa-vs-bih,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih
1,AHMETOVSKI Karim,BIH,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29789/1-rsa-vs-bih,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih
20,PASOVIC Dino,BIH,False,GK,30,8,22,73.33,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29789/1-rsa-vs-bih,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih
1,AHMETOVSKI Karim,BIH,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29790/2-bih-vs-tha,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29790/2-bih-vs-tha
20,PASOVIC Dino,BIH,True,GK,40,8,32,80.0,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29790/2-bih-vs-tha,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29790/2-bih-vs-tha
20,KLEINECHAY Benjamin David,THA,False,GK,33,4,29,87.88,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29790/2-bih-vs-tha,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29790/2-bih-vs-tha
25,UNGKULPATTANASUK Pattarapol,THA,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29790/2-bih-vs-tha,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29790/2-bih-vs-tha
1,BOYD Ryan,RSA,True,GK,23,2,21,91.3,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29791/3-rsa-vs-tha,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29791/3-rsa-vs-tha
20,BYWATER Alistair,RSA,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29791/3-rsa-vs-tha,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29791/3-rsa-vs-tha
20,KLEINECHAY Benjamin David,THA,False,GK,46,5,41,89.13,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29791/3-rsa-vs-tha,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29791/3-rsa-vs-tha
25,UNGKULPATTANASUK Pattarapol,THA,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29791/3-rsa-vs-tha,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29791/3-rsa-vs-tha
1,AHMETOVSKI Karim,BIH,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29792/4-bih-vs-rsa,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29792/4-bih-vs-rsa
20,PASOVIC Dino,BIH,True,GK,51,6,45,88.24,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29792/4-bih-vs-rsa,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29792/4-bih-vs-rsa
1,BOYD Ryan,RSA,False,GK,20,2,18,90.0,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29792/4-bih-vs-rsa,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29792/4-bih-vs-rsa
20,BYWATER Alistair,RSA,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29792/4-bih-vs-rsa,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29792/4-bih-vs-rsa
20,KLEINECHAY Benjamin David,THA,True,GK,43,3,40,93.02,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29793/5-tha-vs-bih,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29793/5-tha-vs-bih
