jersey_number,Name,Pos,line_number,team,home,lineups_url,game_url
1.0,BOYD Ryan,GK,0,RSA,True,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/lineup/29789/1-rsa-vs-bih,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih
20.0,BYWATER Alistair,GK,0,RSA,True,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/lineup/29789/1-rsa-vs-bih,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih
18.0,BIRRELL Cameron,D,1,RSA,True,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/lineup/29789/1-rsa-vs-bih,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih
12.0,VENTER John,D,1,RSA,True,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/lineup/29789/1-rsa-vs-bih,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih
9.0,GIOT Marc,F,1,RSA,True,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/lineup/29789/1-rsa-vs-bih,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih
10.0,CARELSE Luke,F,1,RSA,True,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/lineup/29789/1-rsa-vs-bih,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih
24.0,SAMAAI Uthman,F,1,RSA,True,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/lineup/29789/1-rsa-vs-bih,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih
5.0,MAGMOED Deen,D,2,RSA,True,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/lineup/29789/1-rsa-vs-bih,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih
19.0,PHAKATHI Dion,D,2,RSA,True,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/lineup/29789/1-rsa-vs-bih,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih
13.0,van DOESBURGH Jean-Michel,F,2,RSA,True,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/lineup/29789/1-rsa-vs-bih,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih
